"Status";"File";"TitlePrimary";"AuthorsPrimary";"PeriodicalFull";"PubYear";"Volume";"Issue";"StartPage";"OtherPages";"Comment"
"NA";"Traugott-Olsen1985";"Five new Elachista species from Sierra Nevada.";"Traugott-Olsen,E.";"SHILAP Revista de Lepidopterologia";1985;"13";"1";73,00;"76";"SHILAP available in their website only from 2004 onwards, author missing in the net"
"NA";"Traugott-Olsen1985b";"Three new Elachista-species & supplement to the description of the five n. sp. from Sierra Nevada: Shilap Revta. Lepid. Vol. 13 no. 49 (1985): 73-79.";"Traugott-Olsen,E.";"SHILAP Revista de Lepidopterologia";1985;"13";"3";169,00;"174";"SHILAP available in their website only from 2004 onwards, author missing in the net"
"NA";"Traugott-Olsen1985c";"Una neuva cita de Earias vernana (Huebner 1799) para la peninsula iberica.";"Traugott-Olsen,E.";"SHILAP Revista de Lepidopterologia";1985;"13";"3";231,00;" ";"SHILAP available in their website only from 2004 onwards, author missing in the net"
"Facil acceso";"AGUILAR RUIZ1986";"Classification Problems of some Soils in the Sierra Nevada Spain";"Aguilar Ruiz,J.;Fernandez Garcia,J.;Rodriguez Rebollo,T.;Sierra Ruiz De La Fuente,C.";"Anales de Edafologia y Agrobiologia";1986;"45";"07-Aug";949,00;"960";"Correo"
"Facil acceso";"Avila1986";"Contribucion al estudio de los escarabeidos coprofagos de Sierra Nevada. 2. Relaciones con la vertiente, naturaleza del suelo y el grado de dureza, humedad y vegetacion del sustrato (Coleoptera, Scarabaeoidea).";"Avila,J. M.;Pascual,F.";"Boletim da Sociedade Portuguesa de Entomologia";1986;" ";" ";1,00;"14";"Correo"
"Facil acceso";"LOSA QUINTANA1986";"The Rupicolous Communities of the Malacitano-Almijarense Sector of Sierra Nevada Granada Spain";"Losa Quintana,J. M.;Perez Raya,F.";"Boletin de la Real Sociedad Espanola de Historia Natural Seccion Biologica";1986;"81";"01-Apr";51,00;"60";"Correo"
"Facil acceso";"MOTA1986";"New Data for the Flora of Sierra Nevada Andalusia Spain";"Mota,J. F.;Valle,F.";"Webbia";1986;"40";"2";323,00;"334";"Correo"
"Facil acceso";"ORTEGA1986";"Contribution to the Mycological Catalogue of the Sierra Nevada Granada Spain";"Ortega,A.;Buendia,A. G.";"International Journal of Mycology and Lichenology";1986;"3";"1";17,00;"54";"Correo"
"Facil acceso";"VELILLA1986";"The Composition and Zoning of Metabasite Garnets in the Sierra-Nevada (Betic-Cordillera, Se Spain)";"VELILLA,N.;HACHALI,PF";"Neues Jahrbuch Fur Mineralogie-Abhandlungen";1986;"154";"1";41,00;"56";"Correo"
"Facil acceso";"Avila Sanchez-Jofre1987";"Contribucion al estudio de los escarabeidos coprofagos de Sierra Nevada (Granada). 6. Autoecologia de las especies. Familia Aphodiidae (Coleoptera, Scarabaeoidea).";"Avila Sanchez-Jofre,J. M.;Pascual Torres,F.";"Boletim da Sociedade Portuguesa de Entomologia";1987;" ";" ";1,00;"18";"Correo"
"Facil acceso";"CALVOFLORES1987";"Analysis of some Changes in Soils of Sierra-Nevada (Granada, Spain) Induced by Reforestation with Conifers";"CALVOFLORES,RD;CALVOFLORES,GD;MOLINA,ES;MARTINEZ,JP";"Agrochimica";1987;"31";"3";211,00;"225";"Correo"
"NA";"d'Hondt1985";"Liste des lepidopteres rhopaloceres captures ou observes dans la Sierra Nevada (Espagne). (Fin juillet 1983 et pendant le premiere moitie de juillet 1985).";"d'Hondt,J. -P";"Cercle des Lepidopteristes de Belgique Bulletin";1985;"14";"6";107,00;"111";"Journal sin publicaciones en website"
"Facil acceso";"Madero1985";"Distribucion altitudinal de lo vespidos en Sierra Nevada (Granada, Espana) Hymenoptera, Vespidae).";"Madero,A.;Tinaut,A.";"Actas do Congresso Iberico de Entomologia";1985;"2";"3";383,00;"392";"Correo"
"Facil acceso";"Sainz-Cantero1985";"Datos de distribucion y autoecologia de los coleopteros Dryopoidea en Sierra Nevada (Espana).";"Sainz-Cantero,C. E.;Sanchez-Ortega,A.;Alba-Tercedor,J.";"Actas do Congresso Iberico de Entomologia";1985;"2";"4";333,00;"341";"Correo"
