Reference Type	Authors, Primary	Title Primary	Periodical Full	Periodical Abbrev	Pub Year	Pub Date Free From	Volume	Issue	Start Page	Other Pages	Keywords	Abstract	Notes	Personal Notes	Authors, Secondary	Title Secondary	Edition	Publisher	Place Of Publication	Authors, Tertiary	Authors, Quaternary	Authors, Quinary	Title, Tertiary	ISSN/ISBN	Availability	Author/Address	Accession Number	Language	Classification	Sub file/Database	Original Foreign Title	Links	URL	DOI	PMID	PMCID	Call Number	Database	Data Source	Identifying Phrase	Retrieved Date	Shortened Title	User 1	User 2	User 3	User 4	User 5	User 6	User 7	User 8	User 9	User 10	User 11	User 12	User 13	User 14	User 15
Journal Article	"Aguilar Ruiz,J.;Fernandez Garcia,J.;Rodriguez Rebollo,T.;Sierra Ruiz De La Fuente,C."	Classification Problems of some Soils in the Sierra Nevada Spain	Anales de Edafologia y Agrobiologia	 	1986	 	45	07-Aug	949	960	"Meteorology & Atmospheric Sciences;Agriculture"	The process of melanization and hydromorphy are characteristic of the types of soils which appear at the edges of river and small stream of Sierra Nevada (Spain) between 1,600 and 2,200 m on the sea level. The morphology and development of these soils are due to the action of the climate of high mountain with big stational contrast, a vegetation which is typical of the edges of river with some nitrate accumulator species and the parent material, micaschist. The accumulation and the degree of humifidication of organic matter is related with the contribution of high amounts of roots and other plant residues as were on the action and quantities of worms. The hydromorphy of these soils is reduced to the presence of red mottled of iron near of the stones and gravel. The soil type gley evolve in a reductor regimen of moisture which is not present in our soils because of the water in the voids of these soils is not a stagnant water but a water which circulates and whose contribution is linked to the thaw of the snow of Sierra Nevada and so is a water that contains O2. The hydromorphologic process are indicated by their low chromas and red mottles, due to the characteristics and weathering of the original material. The creation of a new subgroupat the F.A.O. System: Lithochromic gleysols is proposed for these soils.	PT: J	 		 	 	 	 				 	0365-1797 ER	 	"AGUILAR RUIZ J; DPTO EDAFOL FAC DE CIENCIAS, GRANADA, SPAIN"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Alba Tercedor,J.	Characteristics of Phenology and Distribution of the Plecopteran Species from Sierra Nevada Spain Insecta Plecoptera	Boletin de la Asociacion Espanola de Entomologia	Bol.Asoc.Esp.Entomol.	1989	 	13	 	213	230	"Environmental Sciences & Ecology;Marine & Freshwater Biology;Physiology"	According with a sampling program of differents streams from the Sierra Nevada mountains (Spain), the phenology, altitudinal distribution and characteristics of the zones where plecopteran species were caught, are studied.	PT: J	 		 	 	 	 				 	0210-8984 ER	 	"SANCHEZ-ORTEGA A; DEP BIOL ANIM ECOL Y GENETICA, FAC CIENCIAS, UNIV GRANADA, 18071 GRANADA, GRENADA"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alba-Tercedor J;Sanchez-Ortega a"	Presence of the Genus Torleya Insecta Ephemeroptera Ephemerellidae on the Iberian Peninsula	Boletin de la Real Sociedad Espanola de Historia Natural Seccion Biologica	 	1982	 	80	01-Feb	81	88	"Life Sciences & Biomedicine - Other Topics;Developmental Biology;Anatomy & Morphology"	 	PT: J	 		 	 	 	 				 	0366-3272 ER	 	"ALBA-TERCEDOR J; DEPARTAMENTO DE ZOOLOGIA, FACULTAD DE CIENCIAS, UNIVERSIDAD DE GRANADA, SPAIN"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Arroyo Nombela,J. J.;Rodriguez Murcia,C.;Abaigar,T.;Vericad,J. R."	Cytogenetic Analysis Gtg Cbg and nor Bands of a Wild Boar Population Sus-Scrofa-Scrofa with Chromosomal Polymorphism in the South-East of Spain	Genetics Selection Evolution (Paris)	 	1990	 	22	1	1	10	"Agriculture;Cell Biology;Genetics & Heredity"	The karyotypes of 12 wild boars (4 .male., 8 .female.) from populations in Sierra Nevada and Sierra de Baza (Almeria) were analysed. Chromosomal polymorphism giving rise to 3 variants in the diploid number [2n = 38 (1.male.), 2n = 37 (2 .male., 1 .female.) and 2n = 36 (1 .male., 7 .female.)] was observed. By means of GTC-band analysis, this polymorphism proved to be the consequence of a Robertsonian translocation between members of pairs 15 and 17 of karyotypes with 2n = 38, thereby creating a long submetacentric chromosome (15/17) together with 2 free acrocentric chromosomes, (15 and 17) in individuals with 2n = 27, and a pair of long submetacentric chromosomes (15.17) in 2n = 36 specimens. CBG-band analysis revealed 2 types of staining for heterochromatin: a dark staining, characteristic of acrocentric chromosomes and occasionally present in the submetacentric (15/17), and a pale staining, characteristic of the rest of the submetacentric chromosomes. The Y-chromosome presented dark heterochromatin over the entire length of its long arm. The nucleolus organizers were observed on pairs 8 and 10 and showed heteromorphism of the size of the silver block and in the distribution in both pairs.	PT: J	 		 	 	 	 				 	0999-193X ER	 	"ARROYO NOMBELA J J; LABORATORIO CITOGENETICA ANIMAL, CSIC, C/SERRANO 113, 28006 MADRID, SPAIN"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Asselbergs,J. E. F.	Bradyrrhoa adrianae Asselbergs, sp. n., from Spain. Epischidia (Epischidia) fulvostrigella (Eversmann, 1844) and Ancylosis (Ancylosis) maculifera Staudinger, 1870 new to the Spanish fauna (Lepidoptera: Pyralidae, Phycitinae).	SHILAP Revista de Lepidopterologia	 	2002	30 Diciembre, 2002	30	120	291	295	Life Sciences & Biomedicine - Other Topics	Bradyrrhoa adrianae Asselbergs, sp. n. from Spain, Sierra Nevada, is described. Epischidia (Epischidia) fulvostrigella (Eversmann, 1844) and Ancylosis (Ancylosis) maculifera Staudinger, 1870, both new to Spain, are mentioned with some remarks.	PT: J ME: print	 		 	 	 	 				 	0300-5267 ER	 	"Asselbergs, J. E. F.; Neerland, 20, NL-4614 GD, Bergen Op Zoom, Netherlands"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Avila,J. M.	Comparative Analysis of Coprophagous Scarabaeoidea Coleoptera in the Faecal Pellets of Rabbit Oryctolagus-Cuniculus and in the Excrements of Other Mammals Preliminary Report	EOS-Revista Espanola de Entomologia	 	1991	 	67	NOV	23	34	"Life Sciences & Biomedicine - Other Topics;Gastroenterology & Hepatology;Environmental Sciences & Ecology;Physiology"	Records about coprophagous scarabs from faecal pellets of rabbit are reported. Faunistic composition of faecal pellets is studied during the period from December 1986 to January 1989 in Chiclana de la Frontera (Cadiz) [Spain]. The characterization of this fauna and the relationship with other data reported by the same authors in the same area of study are commented in relation with bovine and equine sediment scarabs fauna and the results from rabbit excrements from Granada province. The relationship between faunistic composition from different sort of excrements (equine, bovine, ovine/caprine, rabbit) and different localities (Chiclana de la Frontera, Sierra Nevada, Sierra de Alfacar, Pujaire and provinces of Granada and Albacete) as the results of our sampling and the records of the bibliography are studied. We conclude the existence of a fauna associated to rabbit faecal pellets and the influence of geographic factors and the characteristics of excrements on coprophagous scarabs.	PT: J	 		 	 	 	 				 	0013-9440 ER	 	"SANCHEZ-PINERO F; DEP BIOLOGIA ANIMAL, ECOLOGIA GENETICA, FACULTAD CIENCIAS, UNIV GRANADA, 18071 GRANADA, GRENADA"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Avila,J. M.;Pascual,F."	Space-Temporal Distribution Models of Dung Scarabs of Sierra Nevada Granada Spain Coleoptera Scarabaeoidea	Elytron (Barcelona)	 	1990	 	4	 	67	74	"Meteorology & Atmospheric Sciences;Environmental Sciences & Ecology;Mathematical & Computational Biology;Physiology"	Dung beetles from equine and bovine droppings were sampled in the Sierra Nevada (Granada, Spain) from March 1981 to February 1983. On the basis of the space-temporal distribution observed, six basic models of altitudinal distribution as a function of time have been established. Three of these models apply to species with broad requirements capable of supporting both the high temperatures of the lowlands and the cool temperatures of the highlands. The other three models apply to species with narrower requirements incapable of supporting very high and/or low temperatures. Some of them are unable to support the summer period of the mediterranean climate.	PT: J	 		 	 	 	 				 	0214-1353 ER	 	"AVILA J M; DEP BIOLOGIA ANIMAL ECOLOGIA GENETICA, FACULTAD CIENCIAS, UNIV GRANADA, 18071 GRANADA, SPAIN"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Avila,J. M.;Pascual,F."	Contribution to the Knowledge of Coprophagous Scarabs Coleoptera Scarabaeoidea of the Sierra Nevada Spain Iii. Altitudinal and Temporal Distribution	Museo Regionale di Scienze Naturali Bollettino (Turin)	 	1988	 	6	1	217	240	"Meteorology & Atmospheric Sciences;Environmental Sciences & Ecology;Physiology"	Altitude, year month and hour of capture, as a part of variables influencing the distribution of coprophagous scarabs, are analyzed according to the results of a sampling carried out in semi-fresh bovine and equine excrements in Sierra Nevada. Respect to altitude, preferences of different species are shown which allow as differentiate groups of low, medium and high mountain, however some species lives in a wide range of altitudes. Their distribution during the year is very different: few species are present during all the year. Each season, or even each short seasonal period has its own faune. Typically explosive species appear between the end of summer and the beginning of autumn. They are progressively present at different altitudes in all excrements and generally with high number of specimens. The greatest abundance at the different hours of the day is in relation with the activity of different species.	PT: J	 		 	 	 	 				 	0392-758X ER	 	"AVILA J M; UNIV GRANADA, DEP BIOL ANIMAL, ECOL GENETICA, FAC CIENCIAS, 18071 GRANADA, SPAIN"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Avila,J. M.;Pascual,F."	Contribution to the Study of the Coprophagous Scarabaeoidea from the Sierra Nevada Spain I. Introduction and Species List Coleoptera Scarabaeoidea	Boletin de la Asociacion Espanola de Entomologia	Bol.Asoc.Esp.Entomol.	1987	 	11	 	81	86	Life Sciences & Biomedicine - Other Topics	A biannual sampling, from March 1981 to February 1983, was carried in Sierra Nevada (Granada, Spain) to know the fauna of the dung beetles, superfamily Scarabaeoidea, from equine and bovine sediments. A number of 7794 exemplars, belonging to 55 species in 13 genus of the families Scarabaeidae, Aphodiidae and Geotropidae was captured. In the present paper, it is shown, in taxonomical order, the different species of dung beetles found, and their localization in Sierra Nevada.	PT: J	 		 	 	 	 				 	0210-8984 ER	 	"AVILA J M; DEPARTAMENTO DE BIOLOGIA ANIMAL, ECOLOGIA Y GENETICA, FACULTAD DE CIENCIAS, UNIVERSIDAD DE GRANADA, 18071 GRANADA, GRENADA"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Avila,J. M.;Pascual,Y. F."	Contribution to the Study of the Coprophagous Scarabaeidae from the Sierra Nevada Spain V. Autoecology of Species of the Families Scarabaeidae and Geotrupidae Coleoptera Scarabaeoidea	EOS-Revista Espanola de Entomologia	 	1988	 	64	1	15	38	"Life Sciences & Biomedicine - Other Topics;Physiology;Developmental Biology;Environmental Sciences & Ecology;Mathematical & Computational Biology"	In Sierra Nevada (Granada, Spain), from March of 1981 to February of 1983, semifresh equine and bovine feces were samples. 3357 specimens of the families Scarabaeidae and Geotrupidae were caught (corresponding to 12 genera and 24 species). The relationships between different species of dung beetles and different ecological parameters (topographic, temporal and biological factors) were analyzed. The phenology and space distribution is discussed in the most abundant species. On the other hand, general models of fenology of these beetles are presented. Possible causes of the high altitudinal distribution abserved in Sierra Nevada mountains are discussed.	PT: J	 		 	 	 	 				 	0013-9440 ER	 	"AVILA J M; DEP BIOLOGIA ANIMAL, ECOLOGIA GENETICA, FAC CIENCIAS, UNIV GRANADA, 18071 GRANADA, SPAIN"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
