"Journal";"ISSN";"Cites";"IFactor";"5IFactor";"Index";"Articles";"HalfLife";"Eigenfactor";"Influence";"Categoria"
"ACTA CHIROPTEROL";"1508-1109";526;1.133;1.127;0.077;39;"6.5";0.00115;0.341;"ZOOLOGY"
"ACTA ETHOL";"0873-9749";279;1;1.039;0.37;27;"7.4";0.00058;0.356;"ZOOLOGY"
"ACTA HERPETOL";"1827-9635";114;0.603;0.583;0.032;31;"4.6";0.00039;0.176;"ZOOLOGY"
"ACTA ICHTHYOL PISCAT";"0137-1592";262;0.577;0.846;0.049;41;"5.0";0.00061;0.221;"ZOOLOGY"
"ACTA THERIOL";"0001-7051";1193;1.2;1.218;0.21;62;">10.0";0.00113;0.344;"ZOOLOGY"
"ACTA ZOOL ACAD SCI H";"1217-8837";457;0.5;0.453;0.115;26;">10.0";0.00036;0.167;"ZOOLOGY"
"ACTA ZOOL BULGAR";"0324-0770";263;0.532;0.42;0.219;128;"3.8";4e-04;0.086;"ZOOLOGY"
"ACTA ZOOL-STOCKHOLM";"0001-7272";972;1.258;1.256;0.279;43;">10.0";0.00154;0.407;"ZOOLOGY"
"AFR INVERTEBR";"1681-5556";151;0.464;0.467;0.062;16;"7.2";0.00035;0.164;"ZOOLOGY"
"AFR J HERPETOL";"2156-4574";121;0.792;0.612;0.214;14;"8.6";0.00023;0.214;"ZOOLOGY"
"AFR ZOOL";"1562-7020";353;0.612;0.838;0.138;29;"6.5";0.00073;0.256;"ZOOLOGY"
"AM J PRIMATOL";"0275-2565";3912;2.435;2.462;0.692;104;"8.3";0.00603;0.705;"ZOOLOGY"
"AM MALACOL BULL";"0740-2783";430;0.939;1.103;0.074;27;"10.0";0.00066;0.355;"ZOOLOGY"
"AM MUS NOVIT";"0003-0082";2218;2.186;2.127;0.517;29;">10.0";0.00195;0.819;"ZOOLOGY"
"AMPHIBIA-REPTILIA";"0173-5373";1129;0.887;1.017;0.357;42;"9.3";0.00154;0.33;"ZOOLOGY"
"ANIM BEHAV";"0003-3472";23456;3.137;3.423;0.592;311;">10.0";0.02971;1.151;"ZOOLOGY"
"ANIM BIOL";"1570-7555";312;0.597;0.76;0.037;27;"7.1";0.00063;0.232;"ZOOLOGY"
"ANIM CELLS SYST";"1976-8354";99;0.44;0.355;0;54;"";0.00033;0.082;"ZOOLOGY"
"ANIM COGN";"1435-9448";2560;2.582;2.903;0.58;131;"5.5";0.00685;0.931;"ZOOLOGY"
"ANIM WELFARE";"0962-7286";1586;1.314;1.622;0.333;45;"7.9";0.00246;0.454;"ZOOLOGY"
"ANN CARNEGIE MUS";"0097-4463";385;0.724;0.862;0;10;">10.0";0.00032;0.305;"ZOOLOGY"
"ANN ZOOL";"0003-4541";641;1.161;0.822;0.324;37;"8.8";0.00107;0.273;"ZOOLOGY"
