Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA AGR SCAND A-AN;0906-4702;433;0.631;0.603;0.000;19;>10.0;0.00040;0.167
ANIM BIOTECHNOL;1049-5398;307;0.755;0.712;0.280;25;8.5;0.00035;0.167
ANIM FEED SCI TECH;0377-8401;6945;1.997;2.109;0.267;202;8.5;0.00921;0.599
ANIM GENET;0268-9146;3364;2.207;2.611;0.351;131;6.4;0.00610;0.645
ANIM NUTR FEED TECHN;0972-2963;81;0.133;0.234;0.016;63;;0.00017;0.057
ANIM REPROD;1806-9614;243;0.784;;0.048;42;4.8;0.00073;
ANIM REPROD SCI;0378-4320;5912;1.511;1.863;0.186;226;7.9;0.00854;0.473
ANIM SCI J;1344-3941;899;0.960;0.993;0.221;136;4.7;0.00215;0.250
ANIM SCI PAP REP;0860-4037;337;0.718;1.017;0.000;34;5.7;0.00063;0.218
ANIMAL;1751-7311;3146;1.841;2.040;0.506;253;4.1;0.01107;0.609
ANN ANIM SCI;2300-8733;210;0.613;0.553;0.123;81;3.7;0.00045;0.105
APPL ANIM BEHAV SCI;0168-1591;6948;1.691;2.225;0.291;151;9.8;0.00709;0.571
ARCH ANIM NUTR;1745-039X;714;1.000;1.199;0.143;35;8.7;0.00099;0.334
ARCH GEFLUGELKD;0003-9098;387;0.531;0.612;;0;9.1;0.00043;0.133
ARCH TIERZUCHT;0003-9438;456;0.503;0.522;0.061;33;6.7;0.00080;0.132
ASIAN AUSTRAL J ANIM;1011-2367;2173;0.541;0.757;0.097;226;7.3;0.00328;0.188
AVIAN BIOL RES;1758-1559;119;0.928;0.678;0.286;28;2.6;0.00040;0.175
BRAZ J POULTRY SCI;1516-635X;367;0.429;0.557;0.047;64;7.7;0.00056;0.159
BRIT POULTRY SCI;0007-1668;3537;0.936;1.203;0.073;109;>10.0;0.00236;0.302
BUFFALO BULL;0125-6726;68;0.027;0.073;0.000;56;;0.00019;0.023
CAN J ANIM SCI;0008-3984;2011;1.081;1.146;0.200;75;>10.0;0.00171;0.356
CZECH J ANIM SCI;1212-1819;680;1.183;1.073;0.106;66;5.9;0.00122;0.243
DOMEST ANIM ENDOCRIN;0739-7240;1888;2.171;2.150;0.283;53;8.8;0.00244;0.577
EUR POULTRY SCI;1612-9199;4;;;0.042;71;;0.00000;
FOURRAGES;0429-2766;256;0.667;0.518;0.467;45;6.5;0.00014;0.045
GENET SEL EVOL;0999-193X;1928;3.821;4.404;0.574;68;5.8;0.00413;1.166
INDIAN J ANIM RES;0367-6722;77;0.044;0.060;0.000;129;;0.00013;0.019
INDIAN J ANIM SCI;0367-8318;853;0.160;0.169;0.014;276;>10.0;0.00073;0.030
INRA PROD ANIM;0990-0632;158;0.726;0.938;0.958;24;3.2;0.00024;0.160
ITAL J ANIM SCI;1594-4077;886;0.718;0.641;0.177;124;5.8;0.00198;0.176
ITEA-INF TEC ECON AG;1699-6887;61;0.357;0.306;0.080;25;;0.00018;0.096
J ANIM BREED GENET;0931-2668;1184;1.566;1.653;0.298;57;7.5;0.00201;0.484
J ANIM FEED SCI;1230-1388;561;0.543;0.694;0.133;45;8.4;0.00081;0.183
J ANIM PHYSIOL AN N;0931-2439;1612;1.406;1.417;0.171;140;5.5;0.00364;0.389
J ANIM SCI;0021-8812;26964;2.108;2.586;0.430;572;>10.0;0.02444;0.584
J ANIM SCI BIOTECHNO;2049-1891;186;1.681;;0.200;55;1.9;0.00071;
J APPL ANIM RES;0971-2119;279;0.435;0.353;0.064;78;5.2;0.00053;0.077
J APPL POULTRY RES;1056-6171;1492;0.586;0.939;0.121;91;9.0;0.00173;0.258
J DAIRY RES;0022-0299;2831;1.598;1.590;0.359;64;>10.0;0.00255;0.474
J DAIRY SCI;0022-0302;33985;2.573;3.071;0.489;771;9.6;0.03486;0.643
J POULT SCI;1346-7395;437;0.802;0.810;0.131;61;6.0;0.00085;0.207
J REPROD DEVELOP;0916-8818;1664;1.515;1.591;0.125;72;6.0;0.00365;0.444
LARGE ANIM REV;1124-4593;57;0.168;0.143;0.000;36;;0.00011;0.034
LIVEST SCI;1871-1413;3720;1.171;1.620;0.198;333;4.8;0.01166;0.479
MLJEKARSTVO;0026-704X;121;0.481;0.472;0.031;32;4.9;0.00022;0.084
POULTRY SCI;0032-5791;13707;1.672;1.936;0.290;369;>10.0;0.01233;0.420
REPROD DOMEST ANIM;0936-6768;3303;1.515;1.512;0.222;203;5.2;0.00755;0.382
REV BRAS ZOOTECN;1806-9290;2985;0.359;0.638;0.021;96;7.9;0.00528;0.210
REV COLOMB CIENC PEC;0120-0690;106;0.353;0.348;0.000;32;4.2;0.00036;0.110
REV MEX CIENC PECU;2007-1124;67;0.400;0.397;0.188;32;;0.00020;0.084
REV MVZ CORDOBA;0122-0268;88;0.104;0.225;0.053;38;;0.00033;0.074
S AFR J ANIM SCI;0375-1589;644;0.504;0.543;0.095;63;9.5;0.00061;0.111
SMALL RUMINANT RES;0921-4488;4343;1.125;1.252;0.278;205;7.7;0.00569;0.329
TROP ANIM HEALTH PRO;0049-4747;1936;0.817;0.895;0.224;223;4.8;0.00488;0.235
WORLD POULTRY SCI J;0043-9339;1412;1.089;1.450;0.121;58;10.0;0.00157;0.396
WORLD RABBIT SCI;1257-5011;392;0.821;0.901;0.188;32;9.3;0.00040;0.192
ZUCHTUNGSKUNDE;0044-5401;136;0.507;0.308;0.034;29;6.7;0.00022;0.077;

