Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA ASTRONOM;0001-5237;1021;1.980;2.295;0.417;24;>10.0;0.00252;1.298
ADV ASTRON;1687-7969;363;1.657;;0.143;14;4.2;0.00266;
ADV SPACE RES;0273-1177;7959;1.358;1.332;0.432;426;8.3;0.01543;0.498
ANN GEOPHYS-GERMANY;0992-7689;5618;1.709;1.741;0.398;123;8.3;0.01370;0.797
ANNU REV ASTRON ASTR;0066-4146;8462;33.346;33.914;4.929;14;>10.0;0.02538;22.835
ANNU REV EARTH PL SC;0084-6597;5801;8.582;9.950;1.133;30;>10.0;0.01202;6.310
ASTROBIOLOGY;1531-1074;2034;2.585;2.621;0.983;58;5.2;0.00735;1.096
ASTRON ASTROPHYS;0004-6361;101265;4.378;4.158;2.041;1735;7.5;0.28018;1.889
ASTRON ASTROPHYS REV;0935-4956;1209;17.737;13.872;0.500;10;5.4;0.00683;9.154
ASTRON GEOPHYS;1366-8781;149;0.324;0.442;0.093;43;5.9;0.00056;0.213
ASTRON J;0004-6256;32068;4.024;4.251;1.152;296;>10.0;0.07435;2.534
ASTRON LETT+;1063-7737;1065;1.432;1.025;0.247;77;7.6;0.00306;0.474
ASTRON NACHR;0004-6337;1772;0.922;0.984;0.414;128;6.4;0.00777;0.606
ASTRON REP+;1063-7729;1369;0.943;0.669;0.189;90;>10.0;0.00203;0.250
ASTROPART PHYS;0927-6505;3202;3.584;3.103;1.273;66;5.9;0.01028;1.303
ASTROPHYS BULL;1990-3413;228;0.873;0.868;0.273;44;3.7;0.00076;0.252
ASTROPHYS J;0004-637X;195795;5.993;5.636;1.741;2785;7.6;0.52082;2.388
ASTROPHYS J LETT;2041-8205;44743;5.339;4.854;1.584;669;7.8;0.16895;3.008
ASTROPHYS J SUPPL S;0067-0049;23963;11.215;12.267;3.277;159;7.4;0.09109;7.355
ASTROPHYS SPACE SCI;0004-640X;6456;2.263;1.769;0.607;521;6.0;0.01347;0.514
ASTROPHYSICS+;0571-7256;393;0.707;0.519;0.157;51;9.5;0.00060;0.145
B ASTRON SOC INDIA;0304-9523;215;0.894;1.274;0.000;7;5.5;0.00136;0.904
BALT ASTRON;1392-0049;304;0.654;0.603;0.148;27;7.1;0.00098;0.295
CELEST MECH DYN ASTR;0923-2958;2202;1.600;1.644;0.359;64;>10.0;0.00370;0.685
CLASSICAL QUANT GRAV;0264-9381;14876;3.168;2.840;1.133;430;6.7;0.03919;1.096
CONTRIB ASTRON OBS S;1335-1842;85;0.591;0.395;0.113;97;;0.00017;0.143
COSMIC RES+;0010-9525;355;0.510;0.358;0.093;54;>10.0;0.00070;0.157
CR PHYS;1631-0705;1392;2.035;1.769;0.427;82;6.2;0.00553;0.959
EARTH MOON PLANETS;0167-9295;598;0.667;0.822;0.040;25;>10.0;0.00128;0.447
EXP ASTRON;0922-6435;568;1.990;1.520;0.391;46;3.6;0.00295;0.737
GEN RELAT GRAVIT;0001-7701;4430;1.771;1.727;0.517;207;9.4;0.00805;0.612
GEOPHYS ASTRO FLUID;0309-1929;698;1.062;0.828;0.121;33;>10.0;0.00118;0.458
GRAVIT COSMOL-RUSSIA;0202-2893;419;0.716;0.575;0.229;48;7.7;0.00063;0.151
ICARUS;0019-1035;18248;3.038;3.217;1.242;429;8.6;0.04440;1.438
INT J ASTROBIOL;1473-5504;350;1.256;1.063;0.343;35;5.1;0.00103;0.371
INT J MOD PHYS D;0218-2718;2916;1.741;1.205;0.578;161;8.0;0.00598;0.403
J ASTROPHYS ASTRON;0250-6335;282;0.711;0.495;0.692;13;8.4;0.00062;0.205
J COSMOL ASTROPART P;1475-7516;17560;5.810;5.002;2.514;623;3.3;0.06293;1.644
J KOREAN ASTRON SOC;1225-4614;172;0.837;0.972;0.031;32;4.7;0.00065;0.388
J SPACE WEATHER SPAC;2115-7251;174;2.558;2.509;0.857;35;1.8;0.00089;0.989
KINEMAT PHYS CELEST+;0884-5913;126;0.282;0.264;0.118;34;7.3;0.00018;0.064
LIVING REV SOL PHYS;1614-4961;840;17.636;21.111;1.250;4;4.7;0.00604;14.080
MON NOT R ASTRON SOC;0035-8711;109141;5.107;4.734;1.657;2790;5.4;0.35431;1.953
NEW ASTRON;1384-1076;1314;1.146;1.172;0.467;92;7.5;0.00432;0.616
NEW ASTRON REV;1387-6473;865;6.429;2.491;0.400;5;8.4;0.00280;1.605
OBSERVATORY;0029-7704;207;0.156;0.138;;;>10.0;0.00010;0.081
PHYS DARK UNIVERSE;2212-6864;324;8.571;8.571;0.767;30;1.8;0.00227;4.091
PHYS REV D;1550-7998;143353;4.643;3.865;1.776;3409;6.8;0.26512;1.092
PLANET SPACE SCI;0032-0633;6007;1.875;1.907;0.626;219;8.9;0.01469;0.884
PUBL ASTRON SOC AUST;1323-3580;997;2.653;2.151;0.375;48;5.2;0.00451;1.159
PUBL ASTRON SOC JPN;0004-6264;4813;2.066;2.032;0.601;153;7.4;0.01394;1.087
PUBL ASTRON SOC PAC;0004-6280;8796;3.496;3.433;0.556;90;>10.0;0.02318;2.343
RADIO SCI;0048-6604;3693;1.439;1.278;0.233;103;>10.0;0.00485;0.574
RES ASTRON ASTROPHYS;1674-4527;830;1.640;1.166;0.807;140;2.5;0.00600;0.617
REV MEX ASTRON ASTR;0185-1101;622;2.456;1.671;0.029;34;7.7;0.00229;0.989
SERB ASTRON J;1450-698X;69;0.704;;0.000;17;;0.00014;
SOL PHYS;0038-0938;10016;4.039;3.214;1.189;264;>10.0;0.02515;1.601
SOLAR SYST RES+;0038-0946;383;0.647;0.487;0.108;65;7.7;0.00093;0.184
SPACE SCI REV;0038-6308;7430;6.283;5.087;1.085;59;7.1;0.02750;3.280
SPACE WEATHER;1542-7390;850;2.149;1.894;0.491;57;4.9;0.00269;0.689;

