Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACS CHEM NEUROSCI;1948-7193;1877;4.362;4.363;1.024;126;2.4;0.00839;1.321
ACS COMB SCI;2156-8952;921;3.032;3.106;0.698;96;2.5;0.00292;0.672
ACS MED CHEM LETT;1948-5875;2385;3.120;3.166;0.823;226;2.6;0.00960;0.872
ANNU REP MED CHEM;0065-7743;477;1.356;1.695;0.000;27;6.0;0.00123;0.548
ANTI-CANCER AGENT ME;1871-5206;2273;2.469;2.974;0.744;133;4.2;0.00590;0.697
ARCH PHARM;0365-6233;2252;1.531;1.680;0.340;97;8.7;0.00234;0.341
ARCH PHARM RES;0253-6269;5360;2.046;2.031;0.675;166;6.6;0.00825;0.454
ARZNEIMITTELFORSCH;0004-4172;2292;0.701;0.662;;0;>10.0;0.00095;0.142
BIOORG MED CHEM LETT;0960-894X;36575;2.420;2.317;0.496;1115;6.2;0.05964;0.508
BIOORGAN MED CHEM;0968-0896;27492;2.793;2.970;0.589;688;6.4;0.04348;0.663
CHEM BIOL DRUG DES;1747-0277;2601;2.485;2.410;0.524;145;3.9;0.00739;0.602
CHEM NAT COMPD+;0009-3130;2360;0.509;0.668;0.096;376;7.8;0.00209;0.102
CHEM PHARM BULL;0009-2363;12761;1.164;1.461;0.222;180;>10.0;0.00711;0.341
CHEM RES TOXICOL;0893-228X;10791;3.529;3.620;0.657;210;7.4;0.01686;0.971
CHEMBIOCHEM;1439-4227;10228;3.088;3.162;0.809;329;5.8;0.02654;1.056
CHEMMEDCHEM;1860-7179;4563;2.968;2.831;0.767;270;4.4;0.01242;0.748
CHIRALITY;0899-0042;3079;1.886;1.911;0.473;110;6.8;0.00519;0.487
CURR COMPUT-AID DRUG;1573-4099;334;1.268;1.369;0.250;16;4.5;0.00062;0.276
CURR MED CHEM;0929-8673;14629;3.853;4.115;0.852;297;5.8;0.02853;1.006
CURR TOP MED CHEM;1568-0266;5642;3.402;3.632;0.621;203;4.9;0.01233;0.907
DRUG DES DEV THER;1177-8881;899;3.028;3.033;0.259;220;2.0;0.00328;0.762
DRUG DEV IND PHARM;0363-9045;4611;2.101;1.943;0.392;194;8.1;0.00476;0.343
DRUG DEVELOP RES;0272-4391;1219;0.767;0.918;0.153;72;>10.0;0.00107;0.221
EUR J MED CHEM;0223-5234;20438;3.447;3.946;0.786;816;4.7;0.03869;0.720
EXPERT OPIN THER PAT;1354-3776;2275;4.297;3.335;0.634;101;3.9;0.00708;0.895
FITOTERAPIA;0367-326X;5590;2.345;2.466;0.410;266;6.7;0.00867;0.531
FUTURE MED CHEM;1756-8919;2097;3.744;3.789;0.574;108;3.2;0.00899;1.056
J ASIAN NAT PROD RES;1028-6020;1506;0.913;0.988;0.112;160;5.4;0.00279;0.210
J CHEM INF MODEL;1549-9596;11653;3.738;3.916;0.724;308;6.4;0.01955;0.909
J ENZYM INHIB MED CH;1475-6366;2111;2.332;1.752;0.692;120;5.1;0.00412;0.388
J ETHNOPHARMACOL;0378-8741;24381;2.998;3.261;0.504;678;7.2;0.02789;0.577
J GINSENG RES;1226-8453;592;2.815;;0.419;43;2.8;0.00139;
J LABELLED COMPD RAD;0362-4803;1434;1.273;1.093;0.310;113;8.3;0.00202;0.269
