Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACCOUNTS CHEM RES;0001-4842;53349;22.323;24.373;4.422;353;6.4;0.11435;7.573
ACS COMB SCI;2156-8952;921;3.032;3.106;0.698;96;2.5;0.00292;0.672
ACS NANO;1936-0851;78579;12.881;14.412;2.216;1328;3.4;0.31021;3.979
ACS SUSTAIN CHEM ENG;2168-0485;1314;4.642;4.642;1.011;354;1.3;0.00292;0.900
ACTA CHIM SINICA;0567-7351;2453;1.426;0.709;0.571;147;4.5;0.00363;0.118
ACTA CHIM SLOV;1318-0207;1156;0.686;0.774;0.054;112;6.7;0.00161;0.161
ACTA PHARMACOL SIN;1671-4083;6417;2.912;2.825;0.372;164;6.9;0.01026;0.675
ADV FUNCT MATER;1616-301X;51895;11.805;12.311;2.234;813;4.6;0.13186;3.120
ADV MATER;0935-9648;128805;17.493;18.172;3.441;966;5.0;0.29956;4.750
ADV MATER INTERFACES;2196-7350;161;;;0.859;170;0.6;0.00003;
AFINIDAD;0001-9704;128;0.075;0.183;0.077;39;7.4;0.00013;0.031
ANGEW CHEM INT EDIT;1433-7851;242023;11.261;12.060;2.610;2405;5.8;0.53069;3.390
APPL SCI-BASEL;2076-3417;145;1.484;1.474;0.152;33;2.0;0.00071;0.473
ARAB J CHEM;1878-5352;945;3.725;3.390;0.418;146;2.9;0.00233;0.596
ARCH PHARM;0365-6233;2252;1.531;1.680;0.340;97;8.7;0.00234;0.341
ARZNEIMITTELFORSCH;0004-4172;2292;0.701;0.662;;0;>10.0;0.00095;0.142
AUST J CHEM;0004-9425;5689;1.558;1.658;1.037;216;>10.0;0.00689;0.405
B CHEM SOC ETHIOPIA;1011-3924;353;0.577;0.637;0.094;53;5.8;0.00053;0.120
B CHEM SOC JPN;0009-2673;10786;2.210;1.658;0.399;158;>10.0;0.00567;0.393
B KOREAN CHEM SOC;0253-2964;5890;0.797;0.818;0.138;679;5.4;0.00961;0.157
BIOCONJUGATE CHEM;1043-1802;14391;4.513;4.676;0.861;245;6.5;0.02542;1.195
BULG CHEM COMMUN;0324-1130;138;0.201;;0.017;118;3.6;0.00044;
