Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM T AUTON ADAP SYS;1556-4665;235;0.922;1.307;0.100;20;5.4;0.00082;0.452
ACM T INTEL SYST TEC;2157-6904;1540;1.252;7.525;0.357;28;3.4;0.01004;3.162
ADAPT BEHAV;1059-7123;465;0.859;1.107;0.462;26;7.9;0.00087;0.391
ADV ELECTR COMPUT EN;1582-7445;189;0.529;0.476;0.074;81;3.5;0.00047;0.082
ADV ENG INFORM;1474-0346;981;1.627;2.100;0.150;40;5.0;0.00284;0.663
AI COMMUN;0921-7126;330;0.547;0.738;0.000;32;>10.0;0.00070;0.340
AI EDAM;0890-0604;389;0.604;1.075;0.148;27;7.8;0.00110;0.520
AI MAG;0738-4602;713;0.595;0.927;0.051;39;>10.0;0.00129;0.493
ANN MATH ARTIF INTEL;1012-2443;580;0.691;0.744;0.351;37;>10.0;0.00139;0.448
APPL ARTIF INTELL;0883-9514;506;0.527;0.671;0.190;42;9.9;0.00064;0.186
APPL ONTOL;1570-5838;113;0.615;1.131;0.111;9;4.8;0.00033;0.339
APPL SOFT COMPUT;1568-4946;6210;2.810;3.222;0.291;492;3.5;0.01796;0.729
ARTIF INTELL;0004-3702;6137;3.371;3.726;0.500;62;>10.0;0.00868;1.612
ARTIF INTELL MED;0933-3657;1475;2.019;2.037;0.353;51;7.9;0.00250;0.586
ARTIF INTELL REV;0269-2821;996;2.111;2.707;0.308;78;7.2;0.00207;0.796
ARTIF LIFE;1064-5462;593;1.386;1.453;0.417;24;>10.0;0.00076;0.454
AUTON AGENT MULTI-AG;1387-2532;583;1.254;1.474;0.533;30;6.6;0.00184;0.741
AUTON ROBOT;0929-5593;1350;2.066;2.170;0.191;47;8.3;0.00361;0.992
CHEMOMETR INTELL LAB;0169-7439;6189;2.321;2.770;0.459;183;>10.0;0.00756;0.726
COGN COMPUT;1866-9956;373;1.440;1.731;0.485;68;3.3;0.00108;0.353
COGN SYST RES;1389-0417;408;0.831;1.311;0.526;19;6.0;0.00117;0.496
COMPUT INFORM;1335-9150;246;0.504;0.531;0.047;64;4.4;0.00052;0.102
COMPUT INTELL-US;0824-7935;475;0.673;1.088;0.276;29;>10.0;0.00090;0.503
COMPUT LINGUIST;0891-2017;1407;1.226;1.775;0.724;29;>10.0;0.00157;0.821
COMPUT SPEECH LANG;0885-2308;954;1.753;1.789;0.438;73;8.2;0.00134;0.423
COMPUT VIS IMAGE UND;1077-3142;3662;1.540;1.848;0.357;126;7.7;0.00644;0.736
CONNECT SCI;0954-0091;276;0.842;0.729;0.091;22;>10.0;0.00031;0.278
CONSTRAINTS;1383-7133;291;1.257;1.452;0.333;18;6.2;0.00082;0.558
DATA KNOWL ENG;0169-023X;1276;1.115;1.594;0.200;5;7.0;0.00308;0.678
DATA MIN KNOWL DISC;1384-5810;2064;1.987;2.767;0.458;48;>10.0;0.00394;1.409
DECIS SUPPORT SYST;0167-9236;5149;2.313;2.933;0.235;183;6.4;0.01066;0.846
ENG APPL ARTIF INTEL;0952-1976;3329;2.207;2.503;0.442;199;4.8;0.00797;0.645
EVOL COMPUT;1063-6560;1887;2.366;3.009;0.818;11;>10.0;0.00247;1.376
EXPERT SYST;0266-4720;351;0.761;0.940;0.154;39;7.4;0.00047;0.200
EXPERT SYST APPL;0957-4174;19810;2.240;2.571;0.795;709;4.0;0.05840;0.594
FUZZY OPTIM DECIS MA;1568-4539;495;2.163;2.613;0.083;24;5.6;0.00109;0.618
GENET PROGRAM EVOL M;1389-2576;172;0.903;1.224;0.263;19;5.3;0.00054;0.448
IEEE COMPUT INTELL M;1556-603X;600;2.571;3.483;2.647;17;5.4;0.00161;1.138
IEEE INTELL SYST;1541-1672;1696;2.340;2.479;0.268;41;8.3;0.00336;0.966
IEEE T AFFECT COMPUT;1949-3045;347;2.675;3.187;0.118;34;2.8;0.00175;1.029
IEEE T AUTON MENT DE;1943-0604;256;1.478;2.205;0.450;20;4.1;0.00125;0.704
IEEE T COMP INTEL AI;1943-068X;212;1.481;1.637;0.258;31;3.5;0.00142;0.723
IEEE T CYBERNETICS;2168-2267;723;3.469;3.475;0.341;226;1.5;0.00283;0.994
IEEE T EVOLUT COMPUT;1089-778X;6769;3.654;6.290;0.586;58;>10.0;0.00832;1.879
IEEE T FUZZY SYST;1063-6706;8581;8.746;7.881;0.993;139;6.7;0.01281;1.660
IEEE T HUM-MACH SYST;2168-2291;114;1.982;1.982;0.043;69;1.5;0.00029;0.331
IEEE T IMAGE PROCESS;1057-7149;18836;3.625;4.482;0.438;404;7.7;0.04037;1.583
IEEE T KNOWL DATA EN;1041-4347;5561;2.067;2.873;0.363;223;7.4;0.01397;1.160
IEEE T NEUR NET LEAR;2162-237X;11936;4.291;4.720;0.637;190;8.6;0.01965;1.378
IEEE T PATTERN ANAL;0162-8828;29822;5.781;7.762;0.705;190;>10.0;0.05103;3.320
IEEE T SYST MAN CY B;1083-4419;7317;6.220;6.184;;0;6.6;0.01829;2.158
IEEE T SYST MAN CY C;1094-6977;2459;2.171;2.962;;0;6.8;0.00592;1.088
IET BIOMETRICS;2047-4938;38;0.857;0.857;0.061;33;;0.00024;0.357
IET COMPUT VIS;1751-9632;232;0.963;1.021;0.015;68;3.3;0.00085;0.279
IMAGE VISION COMPUT;0262-8856;4051;1.587;2.384;0.221;95;8.7;0.00803;0.924
INF TECHNOL CONTROL;1392-124X;133;0.623;0.497;0.100;40;3.6;0.00029;0.095
INFORM FUSION;1566-2535;1402;3.681;3.459;1.493;75;6.4;0.00191;0.766
INT ARAB J INF TECHN;1683-3198;221;0.582;0.470;0.051;78;3.5;0.00038;0.070
INT J AP MAT COM-POL;1641-876X;778;1.227;1.284;0.145;69;5.6;0.00136;0.271
INT J APPROX REASON;0888-613X;2735;2.451;2.510;1.605;114;6.2;0.00476;0.683
INT J ARTIF INTELL T;0218-2130;282;0.393;0.371;0.123;57;6.8;0.00053;0.136
INT J BIO-INSPIR COM;1758-0366;467;3.969;2.778;0.032;31;2.9;0.00099;0.372
INT J COMPUT INT SYS;1875-6891;435;0.574;0.916;0.017;115;4.0;0.00135;0.198
INT J COMPUT VISION;0920-5691;10650;3.810;4.651;0.529;85;>10.0;0.01898;2.576
INT J DOC ANAL RECOG;1433-2833;355;1.000;1.078;0.111;27;7.6;0.00083;0.452
INT J FUZZY SYST;1562-2479;410;1.095;1.370;0.148;54;4.0;0.00056;0.164
INT J INF TECH DECIS;0219-6220;669;1.406;1.753;0.434;53;4.8;0.00161;0.432
INT J INTELL SYST;0884-8173;1830;1.886;2.512;0.316;57;7.9;0.00259;0.546
INT J NEURAL SYST;0129-0657;1154;6.507;4.265;0.478;46;3.7;0.00203;0.707
INT J PATTERN RECOGN;0218-0014;828;0.669;0.783;0.202;84;9.2;0.00127;0.218
INT J SEMANT WEB INF;1552-6283;247;0.903;3.000;0.000;7;5.5;0.00120;1.094
INT J SOFTW ENG KNOW;0218-1940;202;0.362;0.355;0.000;47;6.7;0.00050;0.128
INT J UNCERTAIN FUZZ;0218-4885;1141;0.954;1.299;0.167;48;9.1;0.00140;0.323
