Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA DERM-VENEREOL;0001-5555;4398;3.720;3.842;0.626;91;9.1;0.00702;1.143
ACTA DERMATOVENER CR;1330-027X;208;0.431;0.595;0.023;43;5.4;0.00040;0.130
ADV SKIN WOUND CARE;1527-7941;782;1.106;1.475;0.148;54;7.2;0.00129;0.399
AM J CLIN DERMATOL;1175-0561;1533;2.725;2.357;0.510;51;8.1;0.00254;0.664
AM J DERMATOPATH;0193-1091;2890;1.387;1.397;0.218;179;9.0;0.00442;0.375
AN BRAS DERMATOL;0365-0596;1077;0.723;0.918;0.130;154;4.1;0.00237;0.185
ANN DERMATOL;1013-9087;636;1.393;1.064;0.061;98;3.6;0.00269;0.300
ANN DERMATOL VENER;0151-9638;1381;0.919;0.733;0.112;98;8.3;0.00141;0.126
ARCH DERMATOL;0003-987X;11680;4.789;4.457;;0;>10.0;0.01262;1.499
ARCH DERMATOL RES;0340-3696;2883;1.902;2.180;0.412;102;8.6;0.00436;0.570
AUSTRALAS J DERMATOL;0004-8380;1110;1.106;1.178;0.208;77;7.8;0.00203;0.340
BRIT J DERMATOL;0007-0963;20484;4.275;3.984;1.065;339;8.3;0.03247;1.169
BURNS;0305-4179;5256;1.880;2.088;0.384;229;7.8;0.00713;0.487
CLIN DERMATOL;0738-081X;2758;2.470;2.556;0.853;95;7.3;0.00435;0.683
CLIN EXP DERMATOL;0307-6938;3878;1.092;1.285;0.271;144;8.2;0.00655;0.367
CONTACT DERMATITIS;0105-1873;5249;3.747;3.492;1.130;77;>10.0;0.00437;0.663
CUTIS;0011-4162;1653;0.719;0.828;0.286;77;>10.0;0.00157;0.222
DERMATITIS;1710-3568;580;1.629;1.484;0.238;42;5.3;0.00141;0.403
DERMATOL CLIN;0733-8635;1531;1.690;1.672;0.196;51;8.6;0.00307;0.560
DERMATOL SIN;1027-8117;144;0.879;0.715;0.205;44;3.3;0.00047;0.196
DERMATOL SURG;1076-0512;6268;2.109;2.083;0.279;154;7.8;0.00943;0.552
DERMATOL THER;1396-0296;1361;1.599;1.881;0.128;86;5.7;0.00308;0.523
DERMATOLOGY;1018-8665;4583;1.569;1.818;0.144;111;>10.0;0.00522;0.525
EUR J DERMATOL;1167-1122;2667;1.990;2.333;0.426;61;6.6;0.00509;0.631
EXP DERMATOL;0906-6705;4919;3.762;3.459;0.604;255;4.8;0.01155;0.887
GIORN ITAL DERMAT V;0392-0488;312;0.677;0.650;0.172;64;4.4;0.00088;0.161
HAUTARZT;0017-8470;1001;0.564;0.512;0.089;123;>10.0;0.00106;0.110
HONG KONG J DERMATOL;1814-7453;12;0.091;0.072;0.000;17;;0.00002;0.018
INDIAN J DERMATOL VE;0378-6323;1252;1.387;1.368;0.294;51;6.0;0.00245;0.346
INT J COSMETIC SCI;0142-5463;1132;1.377;;0.181;72;7.2;0.00169;
INT J DERMATOL;0011-9059;5454;1.312;1.434;0.307;293;8.9;0.00748;0.406
INT J LOW EXTR WOUND;1534-7346;411;0.928;1.099;0.182;44;6.4;0.00082;0.303
INT WOUND J;1742-4801;1262;2.150;1.977;0.425;113;4.4;0.00316;0.517
J AM ACAD DERMATOL;0190-9622;20034;4.449;4.523;1.103;263;9.7;0.02571;1.293
J COSMET DERMATOL-US;1473-2130;591;0.876;1.129;0.068;44;6.2;0.00108;0.285
J COSMET LASER THER;1476-4172;585;1.110;1.295;0.121;58;5.3;0.00167;0.418
J COSMET SCI;1525-7886;375;0.722;0.381;;;9.1;0.00042;0.087
J CUTAN MED SURG;1203-4754;623;0.935;0.920;0.143;63;7.1;0.00118;0.270
J CUTAN PATHOL;0303-6987;3516;1.582;1.485;0.403;119;7.4;0.00574;0.412
J DERMATOL;0385-2407;2715;2.252;2.073;0.285;172;6.2;0.00556;0.569
J DERMATOL SCI;0923-1811;3655;3.419;3.817;0.781;105;5.9;0.00796;1.079
J DERMATOL TREAT;0954-6634;1131;1.669;1.481;0.699;113;5.6;0.00256;0.464
J DRUGS DERMATOL;1545-9616;2022;1.446;1.382;0.300;203;4.4;0.00507;0.341
J DTSCH DERMATOL GES;1610-0379;1475;2.050;1.753;0.566;76;4.6;0.00369;0.431
J EUR ACAD DERMATOL;0926-9959;6077;2.826;2.976;0.578;256;5.0;0.01553;0.828
J INVEST DERMATOL;0022-202X;25658;7.216;6.706;2.184;277;8.6;0.04269;2.087
J TISSUE VIABILITY;0965-206X;217;1.129;;0.235;17;4.8;0.00061;
J WOUND CARE;0969-0700;1336;1.069;;0.198;81;6.9;0.00254;
JAMA DERMATOL;2168-6068;701;4.426;4.426;0.846;130;1.4;0.00304;1.482
LEPROSY REV;0305-7518;579;0.671;0.856;0.061;33;9.4;0.00064;0.206
MELANOMA RES;0960-8931;1929;2.282;2.145;0.280;82;8.2;0.00328;0.638
MYCOSES;0933-7407;2637;2.239;1.883;0.550;129;6.9;0.00491;0.523
PEDIATR DERMATOL;0736-8046;2915;1.015;1.157;0.208;240;7.1;0.00522;0.321
PHOTODERMATOL PHOTO;0905-4383;1242;1.259;1.330;0.432;37;8.8;0.00170;0.354
PIGM CELL MELANOMA R;1755-1471;3873;4.619;5.055;0.736;91;6.4;0.00891;1.612
POSTEP DERM ALERGOL;1642-395X;190;0.845;0.413;0.178;73;2.1;0.00024;0.039
SEMIN CUTAN MED SURG;1085-5629;950;1.341;2.395;0.062;48;5.9;0.00240;0.736
SKIN PHARMACOL PHYS;1660-5527;1427;2.366;2.662;0.714;42;7.5;0.00209;0.635
SKIN RES TECHNOL;0909-752X;1354;1.309;1.331;0.412;68;7.0;0.00212;0.335
TURKDERM-ARCH TURK D;1019-214X;71;0.071;0.105;0.000;40;;0.00008;0.015
VET DERMATOL;0959-4493;1493;1.732;1.820;0.467;60;5.8;0.00289;0.444
WOUND REPAIR REGEN;1067-1927;4207;2.745;3.425;0.463;95;6.9;0.00706;0.964
WOUNDS;1044-7946;401;0.538;0.476;0.021;48;8.7;0.00059;0.137;

