Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA OECOL;1146-609X;2502;1.617;1.915;0.564;94;7.8;0.00470;0.631
ADV ECOL RES;0065-2504;1620;4.040;4.818;1.917;12;>10.0;0.00172;1.968
AFR J ECOL;0141-6707;1501;0.824;0.821;0.062;65;9.9;0.00209;0.277
AFR J RANGE FOR SCI;1022-0119;294;0.971;0.781;0.739;23;9.1;0.00029;0.193
AGR ECOSYST ENVIRON;0167-8809;13607;3.402;3.987;0.854;329;7.8;0.02188;1.159
AM MIDL NAT;0003-0031;3369;0.773;0.821;0.097;62;>10.0;0.00166;0.302
AM NAT;0003-0147;27149;3.832;4.959;0.905;169;>10.0;0.03134;2.250
ANIM CONSERV;1367-9430;2503;2.852;3.206;0.682;66;6.8;0.00600;1.177
ANN ZOOL FENN;0003-455X;1568;0.855;1.219;0.217;46;>10.0;0.00122;0.433
ANNU REV ECOL EVOL S;1543-592X;16942;10.562;19.826;0.185;27;>10.0;0.01679;8.737
APPL ECOL ENV RES;1589-1623;292;0.557;0.737;0.031;65;6.5;0.00041;0.154
APPL VEG SCI;1402-2001;1435;2.548;2.406;0.881;67;6.3;0.00265;0.657
AQUAT ECOL;1386-2588;1461;1.422;1.916;0.103;39;7.0;0.00290;0.615
AQUAT INVASIONS;1798-6540;864;1.613;;0.500;44;4.9;0.00230;
AQUAT MICROB ECOL;0948-3055;4250;1.967;2.508;0.388;49;9.8;0.00566;0.855
AUSTRAL ECOL;1442-9985;2983;1.837;1.850;0.167;96;8.9;0.00469;0.616
B AM MUS NAT HIST;0003-0090;2583;7.316;5.103;2.300;10;>10.0;0.00255;2.061
B PEABODY MUS NAT HI;0079-032X;194;2.588;1.404;0.643;14;7.0;0.00040;0.446
BASIC APPL ECOL;1439-1791;2289;1.942;2.699;0.286;77;6.3;0.00620;0.989
BEHAV ECOL;1045-2249;8176;3.177;3.350;0.989;174;7.9;0.01672;1.204
BEHAV ECOL SOCIOBIOL;0340-5443;10652;2.350;2.929;0.590;195;>10.0;0.01511;1.023
BIOCHEM SYST ECOL;0305-1978;3509;0.967;1.131;0.154;259;9.7;0.00366;0.248
BIODIVERS CONSERV;0960-3115;8334;2.365;2.676;0.537;201;7.6;0.01562;0.902
BIOGEOSCIENCES;1726-4170;9204;3.978;4.668;0.651;467;3.6;0.04417;1.733
BIOL CONSERV;0006-3207;21429;3.762;4.697;0.672;305;7.9;0.04419;1.692
BIOL INVASIONS;1387-3547;5978;2.586;2.876;0.716;211;5.1;0.01725;0.900
BIOL LETTERS;1744-9561;7170;3.248;3.670;0.463;190;5.0;0.02768;1.484
BIOTROPICA;0006-3606;5457;2.084;2.493;0.337;89;>10.0;0.00645;0.855
BMC ECOL;1472-6785;657;2.360;;0.393;28;4.8;0.00224;
CHEM ECOL;0275-7540;801;1.047;1.169;0.138;65;6.8;0.00124;0.258
CHEMOECOLOGY;0937-7409;836;1.923;1.752;0.346;26;9.4;0.00123;0.580
COMMUNITY ECOL;1585-8553;495;1.214;1.655;0.148;27;6.2;0.00108;0.490
COMPOST SCI UTIL;1065-657X;531;0.583;0.801;0.042;24;>10.0;0.00046;0.204
CONSERV BIOL;0888-8892;17614;4.165;5.199;0.935;168;>10.0;0.02386;2.073
CONTEMP PROBL ECOL+;1995-4255;174;0.185;0.172;0.030;101;5.5;0.00035;0.043
DIVERS DISTRIB;1366-9516;5279;3.667;5.355;0.600;120;5.5;0.01633;1.930
ECO MONT;2073-106X;35;0.394;0.395;0.053;19;;0.00013;0.093
ECOGRAPHY;0906-7590;7852;4.774;5.565;1.108;130;6.9;0.01907;2.042
ECOHYDROLOGY;1936-0584;1234;2.426;3.086;0.602;123;3.5;0.00495;0.954
ECOL APPL;1051-0761;18027;4.093;5.508;0.711;159;9.5;0.03026;2.058
ECOL COMPLEX;1476-945X;954;1.931;2.857;0.192;73;4.6;0.00324;0.858
ECOL ECON;0921-8009;12802;2.720;3.929;0.339;239;7.1;0.02573;1.296
ECOL ENG;0925-8574;7675;2.580;3.231;0.510;478;5.0;0.01610;0.742
ECOL EVOL;2045-7758;1863;2.320;2.343;0.350;391;1.9;0.00976;0.838
ECOL INFORM;1574-9541;854;1.727;2.175;0.397;78;4.1;0.00253;0.569
ECOL LETT;1461-023X;22999;10.689;16.783;1.521;163;6.7;0.06860;7.397
ECOL MODEL;0304-3800;14825;2.321;2.725;0.687;300;8.4;0.02122;0.827
ECOL MONOGR;0012-9615;9207;6.980;10.106;1.655;29;>10.0;0.00949;4.238
ECOL RES;0912-3814;2732;1.296;1.777;0.317;104;7.4;0.00531;0.564
