Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA ASTRONAUT;0094-5765;3470;1.122;1.117;0.306;470;5.7;0.00751;0.316
AERONAUT J;0001-9240;550;0.405;0.479;0.059;68;9.6;0.00106;0.201
AEROSP SCI TECHNOL;1270-9638;1405;0.940;1.130;0.153;177;6.9;0.00333;0.388
AEROSPACE AM;0740-722X;65;0.023;0.034;0.011;93;;0.00032;0.041
AIAA J;0001-1452;12214;1.207;1.372;0.217;249;>10.0;0.01334;0.629
AIRCR ENG AEROSP TEC;1748-8842;251;0.352;0.479;0.136;66;6.9;0.00048;0.141
CHINESE J AERONAUT;1000-9361;908;1.070;1.105;0.103;175;4.1;0.00248;0.269
COSMIC RES+;0010-9525;355;0.510;0.358;0.093;54;>10.0;0.00070;0.157
ESA BULL-EUR SPACE;0376-4265;508;0.795;0.716;0.095;21;>10.0;0.00064;0.367
IEEE AERO EL SYS MAG;0885-8985;661;0.963;0.751;0.102;49;8.3;0.00147;0.288
IEEE T AERO ELEC SYS;0018-9251;7070;1.757;2.053;0.098;246;>10.0;0.01025;0.692
INT J AEROACOUST;1475-472X;209;0.403;0.741;0.037;27;5.9;0.00102;0.447
INT J AERONAUT SPACE;2093-274X;105;0.494;;0.152;33;3.2;0.00062;
INT J AEROSPACE ENG;1687-5966;59;0.481;;0.000;23;;0.00032;
INT J MICRO AIR VEH;1756-8293;72;0.486;0.857;0.000;17;;0.00043;0.325
INT J SATELL COMM N;1542-0973;224;0.744;0.835;0.406;32;7.1;0.00047;0.303
INT J TURBO JET ENG;0334-0082;103;0.317;0.328;0.000;33;6.9;0.00010;0.049
J AEROS COMP INF COM;1940-3151;140;1.000;0.652;;0;6.7;0.00036;0.249
J AEROSP INFORM SYST;1940-3151;15;0.213;0.213;0.051;59;;0.00003;0.047
J AEROSPACE ENG;0893-1321;660;0.839;0.986;0.202;109;6.7;0.00158;0.348
J AIRCRAFT;0021-8669;3360;0.556;0.763;0.138;188;>10.0;0.00508;0.290
J AM HELICOPTER SOC;0002-8711;615;0.796;0.821;0.229;35;>10.0;0.00113;0.458
J GUID CONTROL DYNAM;0731-5090;5814;1.291;1.557;0.208;207;>10.0;0.00766;0.517
J PROPUL POWER;0748-4658;3251;0.873;1.100;0.202;183;9.7;0.00456;0.384
J SPACECRAFT ROCKETS;0022-4650;2271;0.533;0.820;0.167;174;>10.0;0.00255;0.261
MICROGRAVITY SCI TEC;0938-0108;459;0.910;0.852;0.094;53;5.7;0.00134;0.290
NAVIGATION-US;0028-1522;178;0.562;;0.000;24;8.4;0.00053;
P I MECH ENG G-J AER;0954-4100;716;0.678;0.661;0.105;209;5.5;0.00200;0.223
PROG AEROSP SCI;0376-0421;1702;2.540;3.689;0.828;29;>10.0;0.00298;1.771
T JPN SOC AERONAUT S;0549-3811;156;0.337;0.312;0.048;42;7.2;0.00038;0.117;

