Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AMBIO;0044-7447;5261;2.641;3.291;0.881;101;9.8;0.00642;1.023
APPL CATAL B-ENVIRON;0926-3373;33001;7.435;7.490;2.539;685;5.3;0.05334;1.477
B ENG GEOL ENVIRON;1435-9529;882;0.760;1.112;0.160;94;7.2;0.00155;0.323
BUILD ENVIRON;0360-1323;10723;3.341;3.598;0.772;325;5.9;0.01807;0.790
CHEM ENG J;1385-8947;34076;4.321;4.621;1.048;1255;3.7;0.07967;0.945
CLEAN TECHNOL ENVIR;1618-954X;1029;1.934;2.052;0.400;155;3.4;0.00202;0.349
COLD REG SCI TECHNOL;0165-232X;2280;1.367;1.680;0.618;110;6.7;0.00414;0.461
ECOL ENG;0925-8574;7675;2.580;3.231;0.510;478;5.0;0.01610;0.742
ENVIRON CHEM LETT;1610-3653;1207;2.573;2.441;0.414;58;5.2;0.00256;0.573
ENVIRON ENG GEOSCI;1078-7275;343;0.977;0.824;0.167;24;>10.0;0.00060;0.320
ENVIRON ENG SCI;1092-8758;1603;0.991;1.026;0.263;76;6.9;0.00280;0.284
ENVIRON GEOCHEM HLTH;0269-4042;2047;2.566;2.755;0.188;85;6.3;0.00391;0.710
ENVIRON MODELL SOFTW;1364-8152;7249;4.420;4.359;0.845;264;5.3;0.01547;1.110
ENVIRON PROG SUSTAIN;1944-7442;774;1.403;1.745;0.170;176;3.3;0.00266;0.396
ENVIRON PROT ENG;0324-8828;227;0.652;0.557;0.132;38;4.6;0.00051;0.110
ENVIRON SCI TECHNOL;0013-936X;116924;5.330;6.326;0.789;1694;7.1;0.20084;1.690
FRONT ENV SCI ENG;2095-2201;576;1.357;1.302;0.212;104;3.0;0.00202;0.338
GEFAHRST REINHALT L;0949-8036;186;0.328;0.322;0.141;64;5.0;0.00044;0.083
GREENH GASES;2152-3878;290;2.147;2.674;0.604;53;2.6;0.00123;0.818
INDOOR AIR;0905-6947;2937;4.904;4.351;0.914;58;7.9;0.00537;1.397
INDOOR BUILT ENVIRON;1420-326X;835;1.225;1.280;0.152;92;5.2;0.00125;0.230
INT J GREENH GAS CON;1750-5836;5416;3.946;4.727;0.504;256;3.5;0.01709;1.195
INT J LIFE CYCLE ASS;0948-3349;4256;3.988;4.378;0.581;155;5.8;0.00853;1.128
IRAN J ENVIRON HEALT;1735-1979;442;1.651;1.564;;0;4.9;0.00086;0.267
J AIR WASTE MANAGE;1096-2247;4248;1.342;1.560;0.256;129;9.3;0.00518;0.487
J AM WATER RESOUR AS;1093-474X;4275;1.348;2.226;0.591;110;9.5;0.00546;0.699
J CLEAN PROD;0959-6526;11854;3.844;4.167;0.893;801;4.4;0.02008;0.781
J COLD REG ENG;0887-381X;151;0.583;0.538;0.000;10;>10.0;0.00015;0.184
J ENVIRON ENG;0733-9372;4391;1.267;1.485;0.163;98;>10.0;0.00567;0.455
J ENVIRON HEALTH SCI;2052-336X;53;0.500;0.500;0.108;148;;0.00008;0.071
J ENVIRON SCI HEAL A;1093-4529;3340;1.164;1.239;0.278;187;7.2;0.00501;0.305
J HAZARD MATER;0304-3894;61547;4.529;5.277;0.657;711;5.4;0.12885;1.108
J POLYM ENVIRON;1566-2543;2128;1.671;2.061;0.190;63;6.3;0.00330;0.421
J RESIDUALS SCI TECH;1544-8053;82;0.156;0.231;0.053;19;;0.00012;0.060
J TERRAMECHANICS;0022-4898;716;1.417;1.695;0.022;45;7.9;0.00120;0.460
J WATER REUSE DESAL;2220-1319;31;0.277;0.333;0.036;28;;0.00012;0.086
OCHR SR;1230-6169;141;0.392;0.379;0.108;37;5.0;0.00026;0.079
OZONE-SCI ENG;0191-9512;1013;0.953;1.028;0.082;49;9.3;0.00111;0.276
PROCESS SAF ENVIRON;0957-5820;1586;2.551;2.441;0.602;98;6.9;0.00272;0.656
RESOUR CONSERV RECY;0921-3449;4891;2.564;3.280;0.543;162;6.3;0.00928;0.853
STOCH ENV RES RISK A;1436-3240;1900;2.086;2.348;0.421;159;4.7;0.00481;0.595
WASTE MANAGE;0956-053X;10259;3.220;3.522;0.498;299;5.7;0.01945;0.804
WASTE MANAGE RES;0734-242X;2067;1.297;1.526;0.177;141;6.0;0.00379;0.360
WATER ENVIRON RES;1061-4303;2170;0.865;0.946;0.053;150;8.4;0.00285;0.241
WATER RES;0043-1354;53631;5.528;6.279;0.966;667;8.2;0.07745;1.592
WATER SCI TECH-W SUP;1606-9749;702;0.394;;0.015;135;7.9;0.00111;
WATER SCI TECHNOL;0273-1223;16194;1.106;1.208;0.167;603;>10.0;0.01690;0.305;

