Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA GEOTECH;1861-1125;386;2.493;1.778;0.395;81;2.7;0.00147;0.643
ACTA GEOTECH SLOV;1854-0171;24;0.476;0.385;0.000;12;;0.00009;0.113
B EARTHQ ENG;1570-761X;1146;1.884;2.094;0.416;125;3.9;0.00511;0.843
B ENG GEOL ENVIRON;1435-9529;882;0.760;1.112;0.160;94;7.2;0.00155;0.323
CAN GEOTECH J;0008-3674;5020;1.332;1.478;0.278;115;>10.0;0.00616;0.703
COMPUT GEOTECH;0266-352X;2368;1.632;1.960;0.357;171;5.9;0.00767;0.830
EARTHQ ENG ENG VIB;1671-3664;566;0.729;0.951;0.029;70;6.5;0.00153;0.363
EARTHQ ENG STRUCT D;0098-8847;5739;2.305;2.502;0.306;124;>10.0;0.00861;1.043
EARTHQ SPECTRA;8755-2930;2643;1.321;1.474;2.096;83;7.9;0.00468;0.798
EARTHQ STRUCT;2092-7614;137;0.693;0.827;0.119;67;2.5;0.00057;0.228
ENG GEOL;0013-7952;6140;1.744;2.259;0.431;202;8.8;0.00865;0.675
ENVIRON ENG GEOSCI;1078-7275;343;0.977;0.824;0.167;24;>10.0;0.00060;0.320
EUR J ENVIRON CIV EN;1964-8189;229;0.514;0.503;0.288;66;3.2;0.00115;0.189
GEOMECH ENG;2005-307X;71;0.604;0.504;0.164;73;;0.00018;0.098
GEOSYNTH INT;1072-6349;631;1.676;1.591;0.483;29;6.4;0.00101;0.361
GEOTECH LETT;2049-825X;94;1.000;1.100;0.119;42;;0.00081;0.636
GEOTECH TEST J;0149-6115;1088;0.654;0.786;0.092;87;>10.0;0.00223;0.385
GEOTECHNIQUE;0016-8505;7006;1.868;2.242;0.379;87;>10.0;0.00747;1.034
INT J GEOMECH;1532-3641;885;1.199;;0.162;74;6.1;0.00238;
INT J NUMER ANAL MET;0363-9061;2867;1.377;1.590;0.293;99;9.7;0.00623;0.741
INT J PHYS MODEL GEO;1346-213X;114;0.640;;0.455;11;>10.0;0.00030;
INT J ROCK MECH MIN;1365-1609;8085;1.686;2.312;0.220;227;>10.0;0.00841;0.694
J EARTHQ ENG;1363-2469;1215;1.175;1.355;0.186;59;7.9;0.00339;0.703
J ENVIRON ENG GEOPH;1083-1363;316;0.629;0.762;0.045;22;9.6;0.00038;0.287
J GEOTECH GEOENVIRON;1090-0241;5485;1.600;1.921;0.366;175;9.0;0.01083;0.817
LANDSLIDES;1612-510X;1310;2.870;3.205;0.329;85;5.4;0.00304;0.875
MAR GEORESOUR GEOTEC;1064-119X;213;0.644;0.637;0.083;24;8.1;0.00039;0.217
P I CIVIL ENG-GEOTEC;1353-2618;419;0.933;0.897;1.234;47;6.3;0.00089;0.340
Q J ENG GEOL HYDROGE;1470-9236;783;1.013;0.947;0.407;27;>10.0;0.00081;0.269
ROCK MECH ROCK ENG;0723-2632;1871;2.420;2.373;0.224;156;6.5;0.00442;0.770
SOIL DYN EARTHQ ENG;0267-7261;3073;1.215;1.668;0.189;185;7.5;0.00749;0.628
SOIL MECH FOUND ENG+;0038-0741;77;0.158;0.133;0.000;46;;0.00006;0.022;

