Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
APPL ERGON;0003-6870;3629;2.023;2.143;0.364;198;8.7;0.00565;0.597
CIRP ANN-MANUF TECHN;0007-8506;6790;2.542;2.971;0.113;151;8.3;0.00902;0.745
COGN TECHNOL WORK;1435-5558;362;1.308;;0.250;40;5.9;0.00068;
COMPUT IND ENG;0360-8352;5700;1.783;2.412;0.206;238;5.8;0.01397;0.703
COMPUT OPER RES;0305-0548;7363;1.861;2.454;0.358;232;6.8;0.01931;0.970
EMJ-ENG MANAG J;1042-9247;209;0.319;0.542;0.087;23;9.2;0.00019;0.102
ENG ECON;0013-791X;280;0.844;0.795;0.000;14;9.7;0.00023;0.176
ERGONOMICS;0014-0139;5758;1.556;1.804;0.209;148;>10.0;0.00555;0.539
EUR J IND ENG;1751-5254;166;0.736;0.866;0.103;29;3.9;0.00050;0.221
HUM FACTORS;0018-7208;3482;1.694;2.037;0.349;106;>10.0;0.00360;0.701
IEEE IND APPL MAG;1077-2618;492;0.352;0.628;0.136;44;>10.0;0.00109;0.303
IEEE T ENG MANAGE;0018-9391;1799;1.103;1.526;0.200;60;>10.0;0.00207;0.489
IIE TRANS;0740-817X;3208;1.371;1.582;0.115;87;>10.0;0.00465;0.765
IND MANAGE DATA SYST;0263-5577;1348;1.226;1.544;0.148;81;7.0;0.00197;0.351
IND ROBOT;0143-991X;551;0.635;0.750;0.102;59;7.1;0.00090;0.194
INT J IND ENG-THEORY;1943-670X;193;0.396;0.404;0.000;29;6.6;0.00017;0.054
INT J IND ERGONOM;0169-8141;2169;1.070;1.366;0.204;103;9.6;0.00210;0.329
INT J PROD ECON;0925-5273;11102;2.752;3.069;0.402;348;6.4;0.02024;0.810
INT J PROD RES;0020-7543;9095;1.477;1.770;0.229;441;7.5;0.01319;0.412
INT J SIMUL MODEL;1726-4529;142;2.083;;0.225;40;2.6;0.00032;
ISSUES SCI TECHNOL;0748-5492;216;0.508;0.516;0.241;29;7.7;0.00058;0.234
J CONSTR ENG M;0733-9364;3325;0.842;1.363;0.146;151;9.5;0.00466;0.405
J ENG TECHNOL MANAGE;0923-4748;694;2.060;2.081;0.333;36;9.3;0.00068;0.431
J MANAGE ENG;0742-597X;706;0.928;1.474;0.164;73;7.8;0.00098;0.361
J MANUF SYST;0278-6125;946;1.682;2.078;0.290;62;8.6;0.00137;0.450
J MATER PROCESS TECH;0924-0136;21097;2.236;2.660;0.359;329;9.1;0.02179;0.754
J PROD INNOVAT MANAG;0737-6782;3548;1.696;2.926;0.266;94;9.6;0.00492;0.823
J QUAL TECHNOL;0022-4065;2046;1.152;2.096;0.261;23;>10.0;0.00181;0.912
P I MECH ENG O-J RIS;1748-006X;243;0.860;0.907;0.200;55;3.5;0.00097;0.298
PROBAB ENG INFORM SC;0269-9648;398;0.460;0.565;0.069;29;9.7;0.00103;0.403
PROD PLAN CONTROL;0953-7287;1525;1.466;1.733;0.140;86;8.5;0.00132;0.281
QUAL ENG;0898-2112;510;0.553;0.807;0.432;37;>10.0;0.00092;0.338
QUAL RELIAB ENG INT;0748-8017;1180;1.191;1.217;0.108;111;7.1;0.00294;0.447
QUAL TECHNOL QUANT M;1684-3703;113;0.583;0.550;0.029;35;4.2;0.00061;0.256
R&D MAG;0746-9179;34;0.180;0.142;0.030;33;;0.00010;0.042
RELIAB ENG SYST SAFE;0951-8320;6527;2.410;2.693;0.559;220;7.6;0.01131;0.826
RES ENG DES;0934-9839;615;1.233;1.906;0.158;19;>10.0;0.00082;0.537
RES TECHNOL MANAGE;0895-6308;560;1.017;0.966;0.192;26;>10.0;0.00074;0.317
S AFR J IND ENG;2224-7890;32;0.061;0.112;0.000;32;;0.00007;0.022
SAFETY SCI;0925-7535;3959;1.831;2.210;0.491;230;5.4;0.01003;0.662
SYSTEMS ENG;1098-1241;328;0.700;0.793;0.121;33;7.4;0.00057;0.241
TECHNOVATION;0166-4972;2986;2.526;3.636;0.567;67;7.8;0.00391;0.880
TRAV HUMAIN;0041-1868;156;0.533;0.775;0.375;16;6.8;0.00023;0.183;

