Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA ICHTHYOL PISCAT;0137-1592;262;0.577;0.846;0.049;41;5.0;0.00061;0.221
AQUAC RES;1355-557X;4606;1.376;1.509;0.304;194;7.6;0.00773;0.429
AQUACULT ECON MANAG;1365-7305;275;1.762;;0.600;20;5.7;0.00053;
AQUACULT ENG;0144-8609;1285;1.181;1.502;0.150;60;8.9;0.00128;0.383
AQUACULT ENV INTERAC;1869-215X;221;1.964;2.443;0.200;30;2.9;0.00083;0.592
AQUACULT INT;0967-6120;1278;0.984;1.118;0.138;145;7.7;0.00222;0.330
AQUACULT NUTR;1353-5773;1951;1.395;1.730;0.139;72;7.0;0.00371;0.492
AQUACULTURE;0044-8486;24398;1.878;2.341;0.361;488;>10.0;0.02234;0.586
AQUAT LIVING RESOUR;0990-7440;1400;1.014;1.439;0.125;16;>10.0;0.00153;0.471
B EUR ASSOC FISH PAT;0108-0288;643;0.373;0.554;0.043;23;>10.0;0.00042;0.167
BOL INST PESCA;0046-9939;396;0.474;0.627;0.053;57;8.0;0.00048;0.144
CAL COOP OCEAN FISH;0575-3317;517;1.120;1.385;0.083;12;>10.0;0.00044;0.424
CALIF FISH GAME;0008-1078;316;0.243;0.302;0.211;19;>10.0;0.00015;0.110
CAN J FISH AQUAT SCI;0706-652X;16689;2.287;2.764;0.376;170;>10.0;0.01297;0.970
CCAMLR SCI;1023-4063;185;1.000;1.000;0.500;4;8.5;0.00030;0.359
DIS AQUAT ORGAN;0177-5103;5419;1.752;1.993;0.377;130;>10.0;0.00634;0.594
ECOL FRESHW FISH;0906-6691;1481;1.701;1.964;0.518;56;6.9;0.00339;0.701
FISH B-NOAA;0090-0656;3375;1.694;1.883;0.130;23;>10.0;0.00198;0.698
FISH FISH;1467-2960;2526;8.258;8.083;2.027;37;6.1;0.00677;2.959
FISH OCEANOGR;1054-6006;2012;2.543;2.788;0.457;35;9.8;0.00272;0.958
FISH PATHOL;0388-788X;734;1.064;0.718;0.037;27;>10.0;0.00041;0.197
FISH PHYSIOL BIOCHEM;0920-1742;2692;1.622;1.791;0.307;163;8.9;0.00448;0.477
FISH RES;0165-7836;6064;1.903;2.034;0.622;185;8.0;0.00964;0.606
FISH SHELLFISH IMMUN;1050-4648;8732;2.674;2.996;0.367;376;5.3;0.01364;0.548
FISHERIES;0363-2415;1756;1.781;2.848;0.781;32;>10.0;0.00208;0.950
FISHERIES MANAG ECOL;0969-997X;1123;1.760;1.566;0.140;50;7.4;0.00222;0.510
FISHERIES SCI;0919-9268;2679;0.878;0.980;0.291;134;9.7;0.00310;0.297
ICES J MAR SCI;1054-3139;8113;2.377;2.576;1.030;237;8.3;0.01352;0.839
INDIAN J FISH;0970-6011;504;0.220;0.264;0.020;100;>10.0;0.00040;0.061
IRAN J FISH SCI;1562-2916;138;0.372;0.410;0.024;41;3.3;0.00046;0.101
ISR J AQUACULT-BAMID;0792-156X;340;0.403;0.466;0.059;51;8.6;0.00040;0.102
J APPL ICHTHYOL;0175-8659;3029;0.867;1.077;0.278;277;7.1;0.00521;0.283
J AQUAT ANIM HEALTH;0899-7659;955;0.986;1.172;0.083;36;>10.0;0.00087;0.325
J FISH BIOL;0022-1112;12230;1.658;1.857;0.464;263;>10.0;0.01444;0.595
J FISH DIS;0140-7775;3750;2.056;2.112;0.378;119;9.9;0.00509;0.590
J SHELLFISH RES;0730-8000;2213;0.791;0.987;0.029;69;>10.0;0.00255;0.304
J WORLD AQUACULT SOC;0893-8849;1551;0.732;0.937;0.055;73;>10.0;0.00211;0.279
KNOWL MANAG AQUAT EC;1961-9502;215;0.928;0.980;0.208;48;3.4;0.00084;0.259
LAT AM J AQUAT RES;0718-560X;293;0.564;0.654;0.343;99;3.0;0.00103;0.182
MAR COAST FISH;1942-5120;360;1.592;2.112;0.125;24;3.4;0.00217;0.809
MAR FRESHWATER RES;1323-1650;3868;1.474;2.141;0.255;106;8.8;0.00710;0.699
MAR RESOUR ECON;0738-1360;740;2.071;2.179;0.364;22;8.6;0.00145;0.813
N AM J AQUACULT;1522-2055;619;0.675;0.719;0.119;59;8.1;0.00086;0.170
N AM J FISH MANAGE;0275-5947;3460;0.954;1.232;0.333;99;>10.0;0.00378;0.386
NEW ZEAL J MAR FRESH;0028-8330;1632;0.800;1.042;0.512;43;>10.0;0.00126;0.331
NIPPON SUISAN GAKK;0021-5392;1605;0.153;0.178;0.040;75;>10.0;0.00060;0.073
REV AQUACULT;1753-5123;355;3.923;4.481;0.471;17;3.5;0.00171;1.400
REV FISH BIOL FISHER;0960-3166;2407;2.726;2.970;0.918;49;>10.0;0.00308;0.976
REV FISH SCI;1064-1262;1095;1.867;2.877;;0;8.2;0.00209;1.080
REV FISH SCI AQUAC;2330-8249;4;;;0.190;21;;0.00000;
T AM FISH SOC;0002-8487;6765;1.468;1.879;0.311;135;>10.0;0.00673;0.605
TURK J FISH AQUAT SC;1303-2712;443;0.566;0.711;0.045;88;4.4;0.00121;0.186;

