Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ABDOM IMAGING;0942-8925;2471;1.630;1.660;0.326;132;7.3;0.00453;0.482
ACTA GASTRO-ENT BELG;0001-5644;493;0.912;0.858;0.102;49;6.0;0.00097;0.216
ALIMENT PHARM THER;0269-2813;16005;5.727;5.273;2.609;230;6.6;0.03088;1.518
AM J GASTROENTEROL;0002-9270;30570;10.755;9.145;1.676;179;8.1;0.05452;2.915
AM J PHYSIOL-GASTR L;0193-1857;14354;3.798;3.865;0.559;229;8.0;0.02467;1.224
ANN HEPATOL;1665-2681;1239;2.065;2.035;0.253;95;3.9;0.00405;0.594
BEST PRACT RES CL GA;1521-6918;2540;3.478;3.379;0.388;85;6.2;0.00520;0.920
BMC GASTROENTEROL;1471-230X;2733;2.365;2.737;0.266;222;4.0;0.00888;0.750
CAN J GASTROENTEROL;0835-7900;1862;1.981;1.949;0.545;66;7.0;0.00328;0.552
CLIN GASTROENTEROL H;1542-3565;11534;7.896;7.394;2.381;236;5.0;0.03592;2.674
CLIN LIVER DIS;1089-3261;1764;3.660;3.038;0.627;59;6.8;0.00341;0.902
CLIN RES HEPATOL GAS;2210-7401;644;1.638;1.804;0.352;105;2.6;0.00265;0.498
COLORECTAL DIS;1462-8910;4930;2.351;2.356;0.738;187;4.1;0.01599;0.733
CURR OPIN GASTROEN;0267-1379;2313;4.289;3.696;1.035;86;4.4;0.00729;1.171
DIGEST DIS;0257-2753;1994;2.181;2.689;0.102;127;4.4;0.00622;0.737
DIGEST DIS SCI;0163-2116;13298;2.613;2.495;0.475;366;7.5;0.02362;0.690
DIGEST ENDOSC;0915-5635;1290;2.058;1.976;0.963;135;3.3;0.00404;0.518
DIGEST LIVER DIS;1590-8658;4348;2.963;2.968;0.708;178;5.2;0.01069;0.867
DIGEST SURG;0253-4886;1748;2.162;1.973;0.164;61;7.5;0.00325;0.623
DIGESTION;0012-2823;2513;2.097;2.247;0.265;68;9.1;0.00396;0.610
DIS COLON RECTUM;0012-3706;13256;3.749;3.685;0.481;189;9.8;0.01908;1.166
DIS ESOPHAGUS;1120-8694;1953;1.782;1.784;0.432;118;5.6;0.00502;0.559
ENDOSC ULTRASOUND;2303-9027;79;1.353;1.353;0.294;34;;0.00015;0.179
ENDOSCOPY;0013-726X;8546;5.104;4.874;1.030;133;6.7;0.01608;1.317
ENDOSKOPIE HEUTE;0933-811X;33;0.047;0.094;0.162;37;;0.00005;0.017
ESOPHAGUS-TOKYO;1612-9059;151;0.325;0.713;0.094;32;5.3;0.00046;0.194
EUR J GASTROEN HEPAT;0954-691X;5477;2.253;2.197;0.568;199;7.1;0.01026;0.623
EXPERT REV GASTROENT;1747-4124;879;2.417;;0.476;82;3.6;0.00324;
GASTRIC CANCER;1436-3291;2566;3.719;4.692;1.287;94;4.8;0.00506;1.155
GASTROENT HEPAT-BARC;0210-5705;481;0.838;0.664;0.227;44;5.6;0.00090;0.150
GASTROENT RES PRACT;1687-6121;932;1.749;1.799;0.209;139;2.6;0.00371;0.469
GASTROENTEROL CLIN N;0889-8553;1731;2.824;2.944;0.113;53;7.3;0.00338;0.845
GASTROENTEROL NURS;1042-895X;308;0.688;0.887;0.028;36;6.8;0.00071;0.279
GASTROENTEROLOGY;0016-5085;66614;16.716;13.811;5.669;245;7.9;0.13821;5.132
GASTROINTEST ENDOSC;0016-5107;19228;5.369;5.225;1.826;219;7.2;0.03382;1.433
GUT;0017-5749;34911;14.660;12.553;4.834;187;8.6;0.06215;4.199
GUT LIVER;1976-2283;854;1.810;1.644;0.398;93;3.3;0.00323;0.450
GUT PATHOG;1757-4749;353;2.281;2.608;0.261;46;3.4;0.00132;0.638
HELICOBACTER;1083-4389;2674;4.106;3.926;0.667;69;5.6;0.00419;0.747
HEPAT MON;1735-143X;852;1.932;1.861;0.308;104;2.9;0.00230;0.352
HEPATO-GASTROENTEROL;0172-6390;5379;0.928;0.933;0.036;333;8.1;0.00753;0.228
HEPATOB PANCREAT DIS;1499-3872;1396;1.517;1.481;0.179;84;5.8;0.00262;0.344
HEPATOL INT;1936-0533;1181;1.780;2.658;0.241;58;4.6;0.00372;0.735
HEPATOL RES;1386-6346;3276;2.735;2.403;0.594;212;5.1;0.00660;0.579
HEPATOLOGY;0270-9139;58031;11.055;12.054;3.052;382;6.9;0.12798;3.945
HPB;1365-182X;2535;2.675;3.018;0.606;142;4.3;0.00839;0.934
INFLAMM BOWEL DIS;1078-0998;11218;4.464;5.216;0.779;267;4.8;0.02924;1.407
INT J COLORECTAL DIS;0179-1958;4565;2.449;2.587;0.333;183;5.6;0.01126;0.761
J CLIN GASTROENTEROL;0192-0790;6993;3.498;3.397;0.949;158;7.3;0.01299;1.013
J CROHNS COLITIS;1873-9946;2946;6.234;5.425;1.415;188;2.6;0.00931;1.272
J DIGEST DIS;1751-2972;937;1.959;2.066;0.219;96;3.4;0.00308;0.514
J GASTROEN HEPATOL;0815-9319;10763;3.504;3.550;0.683;281;6.0;0.02140;0.929
J GASTROENTEROL;0944-1174;6336;4.523;4.215;1.182;154;5.6;0.01327;1.094
J GASTROINTEST LIVER;1841-8724;1028;2.202;2.272;0.333;57;4.5;0.00284;0.571
J GASTROINTEST SURG;1091-255X;8561;2.798;2.806;0.495;287;5.9;0.02158;0.892
J HEPATO-BIL-PAN SCI;1868-6974;2928;2.994;2.616;0.809;141;5.6;0.00629;0.697
J HEPATOL;0168-8278;27739;11.336;10.305;2.843;313;5.2;0.07232;3.246
J NEUROGASTROENTEROL;2093-0879;566;2.296;;0.424;59;3.1;0.00206;
J PEDIATR GASTR NUTR;0277-2116;8829;2.625;2.758;0.639;288;7.0;0.01716;0.798
J VIRAL HEPATITIS;1352-0504;4742;3.909;3.753;1.178;135;5.1;0.01273;1.150
LIVER INT;1478-3223;6383;4.850;4.481;1.301;216;4.1;0.02028;1.340
LIVER TRANSPLANT;1527-6465;9357;4.241;3.921;0.899;159;7.3;0.01759;1.213
NAT REV GASTRO HEPAT;1759-5045;3345;12.610;11.693;2.048;62;3.0;0.01718;3.948
NEUROGASTROENT MOTIL;1350-1925;5356;3.587;3.519;0.693;189;4.7;0.01449;0.981
PANCREAS;0885-3177;5670;2.959;3.214;0.353;184;6.0;0.01265;0.922
PANCREATOLOGY;1424-3903;1966;2.837;2.693;0.140;86;5.4;0.00516;0.812
REV ESP ENFERM DIG;1130-0108;873;1.414;1.289;0.268;56;5.6;0.00169;0.304
SAUDI J GASTROENTERO;1319-3767;429;1.121;;0.327;52;3.8;0.00125;
SCAND J GASTROENTERO;0036-5521;7995;2.361;2.423;0.457;186;>10.0;0.00989;0.677
SEMIN LIVER DIS;0272-8087;3747;4.949;6.841;0.814;43;8.6;0.00695;2.316
TECH COLOPROCTOL;1123-6337;1164;2.044;1.687;0.459;146;4.5;0.00277;0.448
THER ADV GASTROENTER;1756-283X;575;3.925;;0.826;23;3.0;0.00223;
TURK J GASTROENTEROL;1300-4948;637;0.779;0.801;0.340;106;4.5;0.00120;0.173
