Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA GEOL POL;0001-5709;565;0.839;0.939;0.083;24;>10.0;0.00075;0.317
ACTA PETROL SIN;1000-0569;5799;1.455;1.745;0.498;279;6.1;0.00837;0.342
ANDEAN GEOL;0718-7106;205;1.745;1.619;0.375;24;2.9;0.00094;0.522
ANN SOC GEOL POL;0208-9068;272;0.633;0.504;0.000;16;>10.0;0.00030;0.143
ATL GEOL;0843-5561;189;0.318;0.783;0.000;13;>10.0;0.00020;0.209
B GEOL SOC FINLAND;0367-5211;158;0.833;0.842;0.000;6;>10.0;0.00018;0.292
B SOC GEOL MEX;1405-3322;172;0.432;;0.054;37;5.6;0.00046;
BALTICA;0067-3064;131;0.579;0.581;0.435;23;5.1;0.00025;0.148
CARBONATE EVAPORITE;0891-2556;274;0.375;0.653;0.067;30;>10.0;0.00041;0.175
CARNETS GEOL;1634-0744;92;0.406;;0.357;14;;0.00020;
CRETACEOUS RES;0195-6671;2466;1.904;1.857;0.324;102;7.7;0.00457;0.589
ESTUD GEOL-MADRID;0367-0449;313;0.457;0.795;0.048;21;>10.0;0.00049;0.274
FACIES;0172-9179;1191;1.448;1.607;0.415;53;9.8;0.00149;0.491
GEOFLUIDS;1468-8115;855;2.046;2.522;0.400;30;6.3;0.00294;1.164
GEOGR ANN A;0435-3676;1070;1.150;1.489;0.378;37;>10.0;0.00103;0.474
GEOL ACTA;1695-6133;543;1.367;1.821;0.250;24;5.9;0.00159;0.664
GEOL BELG;1374-8505;303;0.782;1.021;0.562;32;5.4;0.00079;0.353
GEOL ORE DEPOSIT+;1075-7015;501;0.476;0.549;0.082;49;8.1;0.00103;0.213
GEOL Q;1641-7291;511;1.000;1.000;0.088;57;7.5;0.00082;0.234
GEOL SURV DEN GREENL;1604-8156;143;0.700;0.738;0.042;24;5.2;0.00048;0.284
GEOLOGY;0091-7613;29882;4.884;4.962;1.078;269;>10.0;0.05275;2.280
GFF;1103-5897;610;1.309;1.281;0.330;88;9.3;0.00069;0.383
HIMAL GEOL;0971-8966;145;0.075;0.247;;;>10.0;0.00011;0.078
INT GEOL REV;0020-6814;2814;1.708;2.299;0.425;106;9.8;0.00418;0.703
J GEOL;0022-1376;6185;2.689;3.021;0.486;35;>10.0;0.00336;1.085
J IBER GEOL;1698-6180;290;1.667;1.648;1.000;32;4.4;0.00076;0.547
J METAMORPH GEOL;0263-4929;4923;4.147;4.434;1.400;50;>10.0;0.00606;1.521
J SEDIMENT RES;1527-1404;4637;1.786;2.896;0.182;77;>10.0;0.00526;1.041
LITHOL MINER RESOUR+;0024-4902;334;0.397;0.393;0.118;34;>10.0;0.00035;0.128
LITHOSPHERE-US;1941-8264;498;3.013;2.743;0.545;33;3.0;0.00341;1.227
NEW ZEAL J GEOL GEOP;0028-8306;1351;2.096;1.277;0.886;35;>10.0;0.00126;0.581
NEWSL STRATIGR;0078-0421;397;3.200;3.614;0.357;14;9.4;0.00092;1.320
OFIOLITI;0391-2612;351;1.000;1.222;0.000;6;>10.0;0.00028;0.394
ORE GEOL REV;0169-1368;2872;3.558;4.070;1.266;173;5.9;0.00532;1.110
P GEOLOGIST ASSOC;0016-7878;861;1.146;1.182;0.333;57;>10.0;0.00106;0.304
P YORKS GEOL SOC;0044-0604;285;0.480;0.750;0.000;11;>10.0;0.00017;0.188
PALAIOS;0883-1351;2765;1.511;1.863;0.109;55;>10.0;0.00340;0.597
PERMAFROST PERIGLAC;1045-6740;1413;2.119;3.146;0.194;31;8.6;0.00266;1.108
RESOUR GEOL;1344-1698;498;1.151;1.225;0.074;27;8.5;0.00084;0.372
RIV ITAL PALEONTOL S;0035-6883;692;0.938;0.809;0.037;27;>10.0;0.00049;0.237
S AFR J GEOL;1012-0750;701;0.830;;0.100;10;>10.0;0.00067;
SCOT J GEOL;0036-9276;357;0.810;0.870;0.071;14;>10.0;0.00022;0.204
SEDIMENT GEOL;0037-0738;7948;2.665;2.640;0.547;95;>10.0;0.00985;0.880
SEDIMENTOLOGY;0037-0746;6692;2.948;3.270;0.928;83;>10.0;0.00822;1.227
STRATIGR GEO CORREL+;0869-5938;499;0.805;0.843;0.114;44;8.0;0.00107;0.322
STRATIGRAPHY;1547-139X;217;0.400;1.034;0.100;10;6.5;0.00055;0.396;

