Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV COMPOS LETT;0963-6935;114;0.270;0.419;0.000;19;7.3;0.00013;0.075
ADV COMPOS MATER;0924-3046;252;0.929;0.677;0.056;36;7.1;0.00040;0.152
APPL COMPOS MATER;0929-189X;784;1.048;1.234;0.222;54;7.8;0.00145;0.357
BETON- STAHLBETONBAU;0005-9900;417;0.510;0.455;0.272;92;5.5;0.00172;0.247
CEM WAPNO BETON;1425-8129;92;0.304;0.324;0.143;42;;0.00024;0.071
CEMENT CONCRETE COMP;0958-9465;5794;3.330;3.770;0.611;157;7.5;0.01178;1.245
COMPOS INTERFACE;0927-6440;643;0.726;0.783;0.246;69;7.7;0.00074;0.163
COMPOS PART A-APPL S;1359-835X;11833;3.071;4.045;0.617;248;7.1;0.01830;0.995
COMPOS PART B-ENG;1359-8368;8049;2.983;3.242;0.861;596;3.2;0.01868;0.774
COMPOS SCI TECHNOL;0266-3538;20504;3.569;4.479;0.658;316;7.7;0.02668;1.126
COMPOS STRUCT;0263-8223;13479;3.318;3.500;0.825;578;5.7;0.02625;0.884
J COMPOS CONSTR;1090-0268;2413;2.483;2.457;0.329;82;7.5;0.00440;0.717
J COMPOS MATER;0021-9983;5378;1.173;1.342;0.243;301;>10.0;0.00675;0.372
J REINF PLAST COMP;0731-6844;2737;1.503;1.323;0.128;188;5.9;0.00428;0.261
J SANDW STRUCT MATER;1099-6362;371;1.235;1.178;0.214;28;5.9;0.00088;0.353
J THERMOPLAST COMPOS;0892-7057;831;1.250;1.278;0.252;115;5.8;0.00129;0.264
MECH ADV MATER STRUC;1537-6494;540;0.773;0.862;0.274;84;5.8;0.00137;0.291
MECH COMPOS MATER;0191-5665;838;0.473;0.575;0.156;77;>10.0;0.00073;0.153
PLAST RUBBER COMPOS;1465-8011;580;0.583;0.654;0.109;46;8.9;0.00087;0.171
POLYM COMPOSITE;0272-8397;4200;1.632;1.606;0.367;275;6.2;0.00636;0.329
POLYM POLYM COMPOS;0967-3911;335;0.271;0.311;0.043;117;6.7;0.00046;0.067
PROG RUBBER PLAST RE;1477-7606;40;0.452;0.301;0.000;16;;0.00007;0.058
SCI ENG COMPOS MATER;0792-1233;140;0.515;0.475;0.071;70;3.5;0.00032;0.112
STEEL COMPOS STRUCT;1229-9367;355;0.964;0.922;0.169;89;3.7;0.00084;0.228;

