Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AATCC REV;1532-8813;194;0.254;0.267;0.059;17;9.7;0.00015;0.055
AUTEX RES J;1470-9589;233;0.220;;0.108;37;8.4;0.00015;
CELLULOSE;0969-0239;5929;3.573;4.285;0.655;388;4.6;0.00994;0.773
COLOR TECHNOL;1472-3581;852;1.262;1.251;0.150;60;7.0;0.00103;0.229
DYES PIGMENTS;0143-7208;9981;3.966;3.700;1.042;360;5.8;0.01277;0.629
FIBER POLYM;1229-9197;1689;0.881;1.146;0.103;360;4.4;0.00313;0.200
FIBRE CHEM+;0015-0541;308;0.224;0.208;0.013;79;10.0;0.00017;0.029
FIBRES TEXT EAST EUR;1230-3666;1013;0.667;0.802;0.065;124;6.1;0.00139;0.143
IND TEXTILA;1222-5347;103;0.570;0.371;0.167;54;2.3;0.00014;0.037
INDIAN J FIBRE TEXT;0971-0426;499;0.634;0.983;0.060;67;5.5;0.00087;0.190
INT J CLOTH SCI TECH;0955-6222;379;0.350;0.493;0.000;35;9.9;0.00025;0.109
J AM LEATHER CHEM AS;0002-9726;455;0.495;0.589;0.065;46;>10.0;0.00034;0.095
J ENG FIBER FABR;1558-9250;359;0.986;1.253;0.049;81;3.8;0.00107;0.312
J IND TEXT;1528-0837;377;1.349;1.471;0.120;50;6.1;0.00064;0.334
J NAT FIBERS;1544-0478;105;0.460;0.492;0.000;26;5.6;0.00021;0.115
J SOC LEATH TECH CH;0144-0322;312;0.264;0.408;0.000;38;>10.0;0.00022;0.076
J TEXT I;0040-5000;1396;0.722;0.876;0.138;145;8.7;0.00189;0.192
J VINYL ADDIT TECHN;1083-5601;424;0.859;1.099;0.054;37;6.3;0.00052;0.181
SEN-I GAKKAISHI;0037-9875;330;0.315;0.236;0.055;110;8.8;0.00020;0.030
TEKST KONFEKSIYON;1300-3356;133;0.264;0.380;0.036;56;4.2;0.00026;0.060
TEXT RES J;0040-5175;5780;1.599;1.926;0.189;190;>10.0;0.00571;0.376
WOOD FIBER SCI;0735-6161;1632;0.773;1.098;0.123;57;>10.0;0.00109;0.278;

