Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA CLIN BELG;1784-3286;490;0.518;0.570;0.062;97;6.5;0.00090;0.144
ACTA CLIN CROAT;0353-9466;233;0.342;0.417;0.020;49;4.1;0.00058;0.086
ACTA MEDICA MEDITERR;0393-6384;35;0.113;0.088;0.032;158;;0.00005;0.011
ACTA MEDICA PORT;1646-0758;360;0.360;0.374;0.169;118;4.5;0.00076;0.091
AFR HEALTH SCI;1680-6905;871;0.722;0.955;1.033;150;3.9;0.00194;0.263
AM FAM PHYSICIAN;0002-838X;4767;2.175;2.401;0.260;104;9.5;0.00595;0.693
AM J CHINESE MED;0192-415X;2258;2.755;2.167;0.255;98;6.4;0.00263;0.345
AM J MANAG CARE;1088-0224;3176;2.264;2.652;0.282;85;5.7;0.01140;1.134
AM J MED;0002-9343;22662;5.003;5.258;1.661;165;>10.0;0.02750;1.975
AM J MED SCI;0002-9629;4238;1.389;1.361;0.389;149;9.7;0.00718;0.442
AM J PREV MED;0749-3797;15857;4.527;5.395;1.140;215;6.7;0.04177;2.132
AMYLOID;1350-6129;941;2.010;2.163;0.556;36;6.8;0.00186;0.618
ANN ACAD MED SINGAP;0304-4602;2141;1.151;1.506;0.083;60;8.5;0.00300;0.421
ANN FAM MED;1544-1709;3556;5.434;5.886;2.952;62;5.7;0.01116;2.431
ANN INTERN MED;0003-4819;48356;17.810;17.469;5.134;157;>10.0;0.10629;8.134
ANN MED;0785-3890;3881;3.886;4.170;0.692;78;8.0;0.00802;1.451
ANN SAUDI MED;0256-4947;992;0.486;0.865;0.065;31;6.8;0.00186;0.226
ARCH INTERN MED;0003-9926;38021;17.333;13.098;;0;9.6;0.06673;5.869
ARCH IRAN MED;1029-2977;1087;0.936;1.115;0.681;144;4.7;0.00221;0.254
ARCH MED SCI;1734-1922;1321;2.030;1.656;0.138;160;3.1;0.00362;0.307
ATEN PRIM;0212-6567;763;0.953;0.740;0.283;53;8.6;0.00089;0.157
AUST FAM PHYSICIAN;0300-8495;1269;0.714;0.723;0.544;114;6.4;0.00241;0.208
AVIAT SPACE ENVIR MD;0095-6562;3409;0.875;1.005;0.172;134;>10.0;0.00292;0.277
B ACAD NAT MED PARIS;0001-4079;424;0.085;0.178;;;>10.0;0.00035;0.037
BALK MED J;2146-3123;43;0.164;0.178;0.058;52;;0.00013;0.038
BMC FAM PRACT;1471-2296;1947;1.669;2.060;0.184;206;4.2;0.00679;0.656
BMC MED;1741-7015;5708;7.356;7.770;1.288;170;3.1;0.02410;2.546
BMJ OPEN;2044-6055;4487;2.271;2.338;0.378;1026;2.0;0.02587;0.936
BMJ-BRIT MED J;1756-1833;89031;17.445;16.814;10.349;241;>10.0;0.16922;6.979
BRATISL MED J;0006-9248;620;0.439;0.406;0.041;147;5.9;0.00114;0.094
BRIT J GEN PRACT;0960-1643;4520;2.294;2.684;1.464;97;8.0;0.00888;0.961
BRIT J HOSP MED;1750-8460;517;0.376;0.305;0.090;145;6.1;0.00113;0.090
BRIT MED BULL;0007-1420;3502;3.658;4.420;0.194;36;>10.0;0.00493;1.500
CAN FAM PHYSICIAN;0008-350X;2016;1.336;1.536;1.264;110;6.2;0.00394;0.457
CAN MED ASSOC J;0820-3946;12121;5.959;6.912;2.120;83;8.7;0.02326;2.678
CENT EUR J MED;1895-1058;150;0.153;0.183;0.023;129;4.2;0.00048;0.049
CHINESE MED J-PEKING;0366-6999;6666;1.053;1.082;0.194;710;4.8;0.01524;0.266
CLEV CLIN J MED;0891-1150;1987;2.712;3.590;0.698;43;6.4;0.00457;1.205
CLIN MED;1470-2118;997;1.487;1.320;0.216;111;5.7;0.00253;0.424
CLINICS;1807-5932;2108;1.185;1.368;0.181;149;3.8;0.00706;0.365
COCHRANE DB SYST REV;1469-493X;43592;6.035;6.539;1.007;801;4.8;0.14928;2.365
COLOMB MEDICA;1657-9534;106;0.364;0.215;0.000;29;6.3;0.00016;0.044
CROAT MED J;0353-9504;1296;1.305;1.563;0.423;71;7.2;0.00202;0.381
CURR MED RES OPIN;0300-7995;5966;2.653;2.442;0.781;242;5.8;0.01365;0.715
DAN MED J;2245-1919;393;1.072;1.078;0.192;151;2.2;0.00175;0.330
DEUT MED WOCHENSCHR;0012-0472;1754;0.542;0.462;0.152;250;>10.0;0.00182;0.094
DM-DIS MON;0011-5029;432;0.945;0.954;0.121;33;7.2;0.00080;0.259
DTSCH ARZTEBL INT;1866-0452;2016;3.518;3.288;1.375;96;3.5;0.00642;0.792
EUR J CLIN INVEST;0014-2972;5526;2.734;2.741;0.580;131;8.3;0.00975;0.828
EUR J GEN PRACT;1381-4788;358;1.217;1.169;0.170;47;6.1;0.00082;0.365
EUR J INTERN MED;0953-6205;2549;2.891;2.425;0.577;163;3.9;0.00787;0.700
FAM MED;0742-3225;2071;1.172;1.500;0.384;86;9.6;0.00306;0.564
FAM PRACT;0263-2136;3495;1.861;1.998;0.356;87;9.7;0.00510;0.676
GAC MED MEX;0016-3813;328;0.274;0.239;0.026;114;9.7;0.00032;0.053
GENDER MED;1550-8579;776;2.262;2.247;;0;5.6;0.00223;0.738
HIPPOKRATIA;1108-4189;362;0.365;0.709;0.050;60;4.6;0.00104;0.179
HONG KONG MED J;1024-2708;991;0.872;;0.195;82;6.8;0.00188;
INDIAN J MED RES;0971-5916;4199;1.396;1.926;0.256;172;6.8;0.00726;0.503
INT J CLIN PRACT;1368-5031;4718;2.566;2.513;0.580;181;5.7;0.01167;0.766
INT J MED SCI;1449-1907;1586;2.003;2.064;0.366;161;3.1;0.00465;0.536
INT J OSTEOPATH MED;1746-0689;177;1.200;1.000;0.893;28;3.9;0.00021;0.131
INTERN EMERG MED;1828-0447;995;2.624;2.254;0.639;97;3.2;0.00338;0.620
INTERN MED J;1444-0903;2430;1.644;1.613;0.485;194;5.2;0.00633;0.502
INTERNAL MED;0918-2918;4705;0.904;1.034;0.123;454;5.9;0.01023;0.284
INTERNIST;0020-9554;321;0.306;0.271;0.099;111;5.6;0.00046;0.048
IRAN RED CRESCENT ME;2074-1804;371;0.634;0.533;0.031;295;2.7;0.00119;0.117
IRISH J MED SCI;0021-1265;848;0.827;0.666;0.281;96;5.4;0.00191;0.186
ISR MED ASSOC J;1565-1088;1887;1.013;0.955;0.370;165;6.6;0.00337;0.262
J AM BOARD FAM MED;1557-2625;2335;1.981;2.239;1.436;94;5.8;0.00577;0.764
J CACHEXIA SARCOPENI;2190-5991;713;7.315;7.523;2.167;30;2.5;0.00208;1.521
J CHIN MED ASSOC;1726-4901;908;0.845;0.825;0.430;107;5.0;0.00201;0.216
J EVAL CLIN PRACT;1356-1294;2136;1.084;1.258;0.350;100;5.6;0.00632;0.450
J FAM PRACTICE;0094-3509;2129;0.894;0.699;0.136;88;>10.0;0.00121;0.220
J FORMOS MED ASSOC;0929-6646;2100;1.968;1.602;0.331;124;7.3;0.00324;0.386
J GEN INTERN MED;0884-8734;13886;3.449;3.906;0.950;219;8.0;0.03049;1.747
J HOSP MED;1553-5592;1682;2.304;2.371;0.469;128;4.0;0.00769;0.898
J INTERN MED;0954-6820;8802;6.063;5.622;2.250;100;8.1;0.01507;1.822
J INVEST MED;1081-5589;1284;1.688;1.829;0.315;54;5.9;0.00293;0.534
