Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA ONCOL;0284-186X;4981;2.997;3.081;0.811;164;6.2;0.01137;0.965
ADV CANCER RES;0065-230X;1956;5.321;5.829;0.250;40;8.3;0.00375;2.020
AM J CANCER RES;2156-6976;738;4.165;4.247;0.385;78;2.8;0.00332;1.261
AM J CLIN ONCOL-CANC;0277-3732;3480;3.062;2.323;0.575;106;8.7;0.00644;0.774
AM J TRANSL RES;1943-8141;788;3.402;3.519;0.425;80;3.3;0.00320;0.941
ANAL CELL PATHOL;2210-7177;274;0.846;1.330;0.026;39;>10.0;0.00078;0.489
ANN ONCOL;0923-7534;26807;7.040;6.885;1.736;345;4.9;0.08077;2.316
ANN SURG ONCOL;1068-9265;19490;3.930;4.532;0.717;629;4.9;0.05768;1.425
ANTI-CANCER AGENT ME;1871-5206;2273;2.469;2.974;0.744;133;4.2;0.00590;0.697
ANTI-CANCER DRUG;0959-4973;3511;1.784;2.095;0.609;138;7.6;0.00505;0.504
ANTICANCER RES;0250-7005;16453;1.826;1.920;0.344;909;7.1;0.02573;0.451
ASIA-PAC J CLIN ONCO;1743-7555;341;1.542;1.186;0.314;70;2.8;0.00133;0.338
ASIAN PAC J CANCER P;1513-7368;10260;2.514;2.267;0.846;1385;2.2;0.01338;0.238
B CANCER;0007-4551;974;0.604;0.533;0.111;126;7.1;0.00126;0.106
BBA-REV CANCER;0304-419X;3964;7.845;8.811;1.512;82;5.3;0.01037;2.688
BIODRUGS;1173-8804;1154;2.989;2.704;0.750;44;5.7;0.00246;0.727
BIRTH DEFECTS RES B;1542-9733;753;0.768;1.410;0.436;39;6.3;0.00145;0.390
BLOOD CANCER J;2044-5385;458;3.467;3.483;0.639;61;2.1;0.00211;1.105
BMC CANCER;1471-2407;15227;3.362;3.770;0.411;981;4.3;0.04892;1.058
BONE MARROW TRANSPL;0268-3369;10530;3.570;3.379;0.801;211;8.6;0.01717;1.049
BRACHYTHERAPY;1538-4721;1115;2.758;2.169;0.696;92;3.3;0.00324;0.596
BRAIN TUMOR PATHOL;1433-7398;419;1.224;1.445;0.289;45;4.2;0.00095;0.366
BREAST;0960-9776;2825;2.381;2.203;0.496;125;4.8;0.00819;0.737
BREAST CANCER RES;1465-542X;8885;5.490;6.281;0.617;175;5.2;0.02789;2.232
BREAST CANCER RES TR;0167-6806;16714;3.940;4.009;0.724;395;4.7;0.05347;1.314
BREAST CANCER-TOKYO;1340-6868;926;1.585;1.490;0.346;107;6.5;0.00173;0.424
BREAST CARE;1661-3791;259;0.627;0.687;0.176;51;3.7;0.00082;0.178
BREAST J;1075-122X;1883;1.411;1.625;0.260;77;6.6;0.00443;0.548
BRIT J CANCER;0007-0920;41425;4.836;5.305;1.051;625;8.0;0.07546;1.662
CA-CANCER J CLIN;0007-9235;18594;144.800;131.810;35.923;26;3.5;0.06273;39.508
CANCER BIOL THER;1538-4047;7260;3.072;3.617;0.701;177;5.7;0.01651;1.004
CANCER BIOMARK;1574-0153;682;1.721;1.802;0.204;54;4.2;0.00196;0.428
CANCER BIOTHER RADIO;1084-9785;1470;1.778;1.828;0.295;61;5.5;0.00317;0.446
CANCER CAUSE CONTROL;0957-5243;7478;2.735;3.056;0.576;165;7.0;0.01770;1.070
CANCER CELL;1535-6108;27283;23.523;27.252;4.707;116;5.7;0.10680;13.240
CANCER CELL INT;1475-2867;1127;2.766;2.728;0.267;131;3.6;0.00268;0.589
CANCER CHEMOTH PHARM;0344-5704;8406;2.769;2.653;0.502;285;6.3;0.01592;0.679
CANCER CONTROL;1073-2748;1228;3.500;3.263;0.475;40;7.2;0.00250;1.035
CANCER CYTOPATHOL;1934-662X;2035;3.737;3.971;0.720;100;5.9;0.00345;0.887
CANCER DISCOV;2159-8274;4605;19.453;20.259;5.761;92;2.1;0.03146;9.856
CANCER EPIDEM BIOMAR;1055-9965;20307;4.125;4.570;0.774;310;7.3;0.04450;1.693
CANCER EPIDEMIOL;1877-7821;1567;2.711;2.490;0.351;111;2.8;0.00696;0.721
CANCER GENE THER;0929-1903;2501;2.416;2.328;0.597;67;6.7;0.00460;0.616
CANCER GENET-NY;2210-7762;630;2.975;2.941;0.480;75;2.7;0.00312;0.972
CANCER GENOM PROTEOM;1109-6535;541;2.700;;0.423;26;4.3;0.00160;
CANCER IMAGING;1470-7330;785;2.066;2.460;0.138;29;5.2;0.00211;0.764
CANCER IMMUNOL IMMUN;0340-7004;5954;3.941;3.729;1.139;115;5.2;0.01496;1.061
CANCER IMMUNOL RES;2326-6066;361;3.857;3.857;1.331;127;1.1;0.00115;1.480
CANCER INVEST;0735-7907;2734;2.218;1.983;0.538;65;7.0;0.00426;0.496
CANCER J;1528-9117;2444;4.237;3.503;0.524;63;5.3;0.00749;1.247
CANCER LETT;0304-3835;22516;5.621;4.958;1.428;421;6.3;0.03931;1.238
CANCER MED-US;2045-7634;399;2.500;2.500;0.395;162;1.7;0.00165;0.774
CANCER METAST REV;0167-7659;5649;7.234;9.312;0.716;74;7.0;0.01105;2.784
CANCER NURS;0162-220X;2390;1.966;2.112;0.306;85;8.5;0.00399;0.673
CANCER PREV RES;1940-6207;4154;4.444;4.658;1.046;130;3.6;0.01846;1.468
CANCER RADIOTHER;1278-3218;802;1.411;1.040;0.241;116;3.7;0.00121;0.145
CANCER RES;0008-5472;142659;9.329;9.115;1.406;679;9.1;0.21155;3.126
CANCER RES TREAT;1598-2998;714;3.318;2.385;0.673;52;3.5;0.00213;0.653
CANCER SCI;1347-9032;10217;3.523;3.819;0.562;208;5.3;0.02553;1.031
CANCER TREAT REV;0305-7372;5719;7.588;6.611;2.786;126;5.0;0.01388;1.888
CANCER-AM CANCER SOC;0008-543X;63055;5.068;5.367;1.272;423;>10.0;0.09433;2.008
CARCINOGENESIS;0143-3334;22394;5.334;5.698;1.248;314;7.9;0.03534;1.562
CELL ONCOL;2211-3428;876;3.032;2.817;0.439;41;4.2;0.00204;0.635
CHEMOTHERAPY;0009-3157;1280;1.288;1.265;0.250;8;8.8;0.00161;0.302
CHIN J CANCER;1000-467X;981;2.155;;0.880;75;3.3;0.00304;
CHINESE J CANCER RES;1000-9604;442;1.935;1.256;0.326;92;2.2;0.00114;0.234
CL LYMPH MYELOM LEUK;2152-2650;1092;2.020;1.748;0.414;87;3.6;0.00468;0.603
CLIN BREAST CANCER;1526-8209;1423;2.107;2.439;0.492;63;5.2;0.00374;0.754
CLIN CANCER RES;1078-0432;72155;8.722;8.531;1.854;609;6.6;0.16125;2.824
CLIN COLORECTAL CANC;1533-0028;832;2.813;2.526;0.531;32;4.6;0.00219;0.717
CLIN EPIGENETICS;1868-7083;431;4.543;;0.586;29;2.9;0.00190;
CLIN EXP METASTAS;0262-0898;3632;3.491;3.771;0.654;81;6.7;0.00710;1.152
CLIN GENITOURIN CANC;1558-7673;604;2.322;2.157;0.260;96;2.5;0.00199;0.613
CLIN J ONCOL NURS;1092-1095;800;0.910;1.083;0.219;137;5.4;0.00164;0.276
CLIN LUNG CANCER;1525-7304;1353;3.104;2.785;0.687;67;3.9;0.00436;0.845
CLIN ONCOL-UK;0936-6555;2641;3.398;2.969;0.929;84;5.9;0.00710;1.057
CLIN TRANSL ONCOL;1699-048X;1480;2.077;1.604;0.455;145;3.6;0.00411;0.407
CRIT REV ONCOL HEMAT;1040-8428;5103;4.027;3.968;1.230;100;6.7;0.01043;1.235
CURR CANCER DRUG TAR;1568-0096;2629;3.522;3.572;0.444;63;5.5;0.00600;0.945
CURR HEMATOL MALIG R;1558-8211;351;2.200;;0.392;51;2.7;0.00181;
CURR ONCOL;1198-0052;1037;1.785;1.802;0.336;122;3.8;0.00398;0.585
CURR ONCOL REP;1523-3790;1146;2.891;2.545;0.404;57;4.1;0.00380;0.777
CURR OPIN ONCOL;1040-8746;2991;4.466;3.558;0.924;92;5.1;0.00814;1.122
CURR PROB CANCER;0147-0272;277;0.526;1.000;0.182;11;7.8;0.00051;0.389
CURR TREAT OPTION ON;1527-2729;763;2.822;2.426;0.415;53;5.4;0.00196;0.764
EJSO-EUR J SURG ONC;0748-7983;5891;3.009;2.953;0.422;232;6.5;0.01271;0.913
ENDOCR-RELAT CANCER;1351-0088;5382;4.805;5.217;1.078;128;5.9;0.01267;1.602
EUR J CANCER;0959-8049;23587;5.417;5.624;1.295;339;6.7;0.05596;1.882
EUR J CANCER CARE;0961-5423;1598;1.564;1.590;0.570;86;6.0;0.00363;0.483
EUR J CANCER PREV;0959-8278;2432;3.031;2.517;0.766;77;7.1;0.00467;0.772
EUR J GYNAECOL ONCOL;0392-2936;1197;0.611;0.595;0.054;147;7.3;0.00180;0.142
EUR J ONCOL NURS;1462-3889;1129;1.426;1.814;0.239;92;5.1;0.00296;0.517
EXP CELL RES;0014-4827;19452;3.246;3.377;0.681;310;>10.0;0.02588;1.100
EXPERT REV ANTICANC;1473-7140;2303;2.249;2.001;0.605;119;4.6;0.00650;0.568
FAM CANCER;1389-9600;1185;1.977;1.792;0.354;79;4.4;0.00478;0.689
FOLIA BIOL-PRAGUE;0015-5500;459;1.000;1.079;0.078;51;6.9;0.00067;0.238
FUTURE ONCOL;1479-6694;2311;2.477;2.886;0.403;236;4.2;0.00840;0.840
