Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA OTO-LARYNGOL;0001-6489;5876;1.099;1.164;0.142;190;>10.0;0.00634;0.357
ACTA OTORHINOLARYNGO;0392-100X;945;1.640;1.518;0.059;51;6.6;0.00166;0.370
AM J AUDIOL;1059-0889;461;1.280;1.301;0.171;41;7.0;0.00083;0.382
AM J OTOLARYNG;0196-0709;2035;0.984;1.113;0.156;167;8.9;0.00366;0.371
AM J RHINOL ALLERGY;1945-8924;2976;1.810;1.936;1.125;128;6.2;0.00482;0.453
ANN OTO RHINOL LARYN;0003-4894;5520;1.094;1.316;0.094;128;>10.0;0.00446;0.428
ARCH OTOLARYNGOL;0886-4470;8817;2.327;2.305;;0;>10.0;0.00855;0.790
AUDIOL NEURO-OTOL;1420-3030;1359;1.705;2.113;0.182;44;8.0;0.00261;0.711
AURIS NASUS LARYNX;0385-8146;1424;1.135;1.041;0.185;119;6.0;0.00333;0.318
B-ENT;0001-6497;273;0.431;0.465;0.000;53;5.6;0.00055;0.104
BRAZ J OTORHINOLAR;1808-8694;738;0.653;;0.111;72;5.2;0.00195;
CLIN EXP OTORHINOLAR;1976-8710;318;0.852;1.152;0.185;65;4.0;0.00126;0.336
CLIN OTOLARYNGOL;1749-4478;2311;2.113;2.727;0.303;33;>10.0;0.00293;0.901
CURR OPIN OTOLARYNGO;1068-9508;1577;1.838;1.982;0.188;80;5.9;0.00409;0.650
DYSPHAGIA;0179-051X;2032;2.033;2.244;0.250;76;>10.0;0.00248;0.577
EAR HEARING;0196-0202;3949;2.842;3.108;0.519;104;8.5;0.00649;0.985
ENT-EAR NOSE THROAT;0145-5613;1411;1.000;0.987;0.020;49;>10.0;0.00144;0.302
EUR ANN OTORHINOLARY;1879-7296;229;0.822;;0.123;65;3.2;0.00103;
EUR ARCH OTO-RHINO-L;0937-4477;4635;1.545;1.571;0.258;453;5.2;0.01153;0.452
FOLIA PHONIATR LOGO;1021-7762;736;0.592;0.949;1.000;8;>10.0;0.00108;0.349
HEAD NECK-J SCI SPEC;1043-3074;8217;2.641;2.732;0.644;292;6.7;0.01684;0.813
HEARING RES;0378-5955;8327;2.968;3.143;1.238;130;>10.0;0.01353;1.069
HNO;0017-6192;947;0.580;0.506;0.193;88;8.2;0.00100;0.089
INT FORUM ALLERGY RH;2042-6976;838;2.082;2.083;1.012;172;1.8;0.00281;0.563
INT J AUDIOL;1499-2027;2421;1.844;2.010;0.458;118;6.4;0.00488;0.586
INT J PEDIATR OTORHI;0165-5876;5266;1.186;1.350;0.198;450;6.7;0.00951;0.351
J AM ACAD AUDIOL;1050-0545;1633;1.583;1.860;0.179;78;8.3;0.00274;0.572
J INT ADV OTOL;1308-7649;45;0.077;0.124;0.016;62;;0.00020;0.035
J LARYNGOL OTOL;0022-2151;4432;0.672;0.743;0.373;225;>10.0;0.00501;0.228
J OTOLARYNGOL-HEAD N;1916-0216;1511;0.886;0.863;0.178;45;>10.0;0.00228;0.281
J VESTIBUL RES-EQUIL;0957-4271;676;1.190;1.374;0.133;30;>10.0;0.00093;0.447
J VOICE;0892-1997;2633;1.242;1.458;0.123;155;8.3;0.00382;0.339
JAMA OTOLARYNGOL;2168-6181;337;1.794;1.794;0.353;150;1.4;0.00156;0.636
JARO-J ASSOC RES OTO;1525-3961;1700;2.598;2.912;0.500;68;6.1;0.00493;1.133
LARYNGO RHINO OTOL;0935-8943;768;0.836;0.625;0.096;83;>10.0;0.00049;0.083
LARYNGOSCOPE;0023-852X;17729;2.144;2.328;0.426;561;9.4;0.02559;0.688
LOGOP PHONIATR VOCO;1401-5439;263;0.932;0.868;0.227;22;7.0;0.00061;0.318
ORL J OTO-RHINO-LARY;0301-1569;1068;0.880;0.940;0.149;47;9.8;0.00137;0.303
OTOL NEUROTOL;1531-7129;5060;1.787;2.016;0.248;330;6.0;0.01065;0.556
OTOLARYNG CLIN N AM;0030-6665;2020;1.490;1.758;0.078;64;9.4;0.00345;0.560
OTOLARYNG HEAD NECK;0194-5998;10487;2.020;1.974;0.389;324;8.9;0.01631;0.611
RHINOLOGY;0300-0729;1975;3.761;2.331;0.529;68;7.0;0.00352;0.601
TRENDS AMPLIF;1084-7138;464;1.923;;;;6.9;0.00100;
TRENDS HEAR;2331-2165;3;0.000;0.667;0.000;10;;0.00000;0.083;

