Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA PARASITOL;1230-2821;822;0.905;0.925;0.217;106;8.3;0.00127;0.261
ACTA TROP;0001-706X;5978;2.270;2.708;0.708;240;7.3;0.01026;0.731
ADV PARASIT;0065-308X;1702;6.226;4.435;1.350;20;8.8;0.00318;1.615
B MALARIOL SALUD AMB;1690-4648;58;0.058;0.248;0.000;13;;0.00011;0.050
CELL HOST MICROBE;1931-3128;9206;12.328;13.126;3.148;128;3.9;0.05185;6.243
COMP PARASITOL;1525-2647;378;0.700;0.714;0.095;42;7.2;0.00068;0.196
EXP PARASITOL;0014-4894;5056;1.638;1.840;0.277;173;7.1;0.00855;0.470
FOLIA PARASIT;0015-5683;1184;1.147;1.515;0.448;67;>10.0;0.00118;0.378
HELMINTHOLOGIA;0440-6605;367;0.678;0.660;0.059;51;7.2;0.00049;0.144
INT J PARASITOL;0020-7519;9454;3.872;3.601;0.832;113;9.7;0.01324;1.134
INT J PARASITOL-DRUG;2211-3207;217;3.294;3.519;0.675;40;2.3;0.00086;1.006
IRAN J PARASITOL;1735-7020;331;0.857;0.894;0.049;81;3.5;0.00076;0.168
J ARTHROPOD-BORNE DI;2322-1984;32;0.682;0.682;0.071;28;;0.00010;0.138
J HELMINTHOL;0022-149X;1572;1.421;1.333;0.382;68;>10.0;0.00184;0.352
J PARASITOL;0022-3395;8078;1.227;1.297;0.222;117;>10.0;0.00602;0.345
J VECTOR DIS;0972-9062;499;0.806;0.957;0.082;61;6.0;0.00100;0.249
KOREAN J PARASITOL;0023-4001;1225;1.151;1.262;0.093;107;7.2;0.00185;0.289
MALARIA J;1475-2875;9231;3.109;3.393;0.584;497;4.0;0.02925;0.928
MEM I OSWALDO CRUZ;0074-0276;5899;1.592;2.001;0.245;151;9.3;0.00859;0.545
MOL BIOCHEM PARASIT;0166-6851;6343;1.787;2.239;0.309;81;>10.0;0.00673;0.761
PARASITE;1252-607X;901;1.092;1.084;0.270;74;7.4;0.00108;0.287
PARASITE IMMUNOL;0141-9838;2406;2.143;2.220;0.208;72;9.0;0.00372;0.679
PARASITE VECTOR;1756-3305;4150;3.430;3.434;0.699;548;2.5;0.01318;0.784
PARASITOL INT;1383-5769;1881;1.859;2.055;0.485;132;5.1;0.00451;0.557
PARASITOL RES;0932-0113;10275;2.098;2.251;0.452;527;5.5;0.01714;0.453
PARASITOLOGY;0031-1820;8729;2.560;2.540;0.982;166;>10.0;0.01099;0.759
PATHOG GLOB HEALTH;2047-7724;221;1.656;1.656;0.082;49;2.2;0.00144;0.693
PLOS NEGLECT TROP D;1935-2735;11704;4.446;4.931;0.710;746;3.2;0.04693;1.435
PLOS PATHOG;1553-7366;30229;7.562;8.364;1.465;669;3.8;0.14902;3.280
REV BRAS PARASITOL V;1984-2961;705;0.869;0.982;0.067;90;5.4;0.00134;0.211
REV SOC BRAS MED TRO;0037-8682;2198;0.977;1.040;0.153;144;7.3;0.00352;0.264
SYST PARASITOL;0165-5752;1375;1.336;1.228;0.611;72;>10.0;0.00143;0.311
TICKS TICK-BORNE DIS;1877-959X;772;2.718;2.970;0.547;150;2.4;0.00235;0.641
TRENDS PARASITOL;1471-4922;5287;6.204;5.617;1.433;60;7.0;0.01175;1.902
TROP BIOMED;0127-5720;644;0.850;1.021;0.061;99;4.9;0.00146;0.245
VET PARASITOL;0304-4017;14372;2.460;2.635;0.661;434;6.7;0.02084;0.553;

