Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV ATOM MOL OPT PHY;1049-250X;766;5.875;4.070;0.333;6;>10.0;0.00178;2.607
ADV CHEM PHYS;0065-2385;2221;1.493;2.065;1.524;21;>10.0;0.00117;0.802
APPL MAGN RESON;0937-9347;1193;1.167;0.944;0.056;108;7.1;0.00249;0.312
ATOM DATA NUCL DATA;0092-640X;2828;2.458;2.254;0.455;33;>10.0;0.00166;0.830
CHEM PHYS;0301-0104;12844;1.652;1.696;0.436;218;>10.0;0.01330;0.578
CHEM PHYS LETT;0009-2614;52796;1.897;1.963;0.475;849;>10.0;0.04458;0.565
CHEMPHYSCHEM;1439-4235;13390;3.419;3.243;0.759;460;5.2;0.03731;1.046
CHINESE J CHEM PHYS;1674-0068;516;0.498;0.509;0.034;119;5.0;0.00115;0.124
CONCEPT MAGN RESON A;1546-6086;362;1.000;1.220;0.200;5;7.4;0.00083;0.478
CONCEPT MAGN RESON B;1552-5031;259;0.690;0.717;0.286;7;7.5;0.00058;0.371
EUR J MASS SPECTROM;1469-0667;545;1.000;0.950;0.233;43;6.0;0.00135;0.304
EUR PHYS J D;1434-6060;4354;1.228;1.240;0.323;350;6.4;0.01137;0.454
FULLER NANOTUB CAR N;1536-383X;543;0.836;0.853;0.243;107;4.3;0.00101;0.166
INT J MASS SPECTROM;1387-3806;7075;1.972;1.988;0.445;191;8.8;0.01214;0.666
INT J PHOTOENERGY;1110-662X;1743;1.563;1.720;0.247;316;2.8;0.00393;0.338
INT J QUANTUM CHEM;0020-7608;7862;1.432;1.191;0.959;172;>10.0;0.00993;0.335
INT REV PHYS CHEM;0144-235X;1553;7.034;6.282;0.750;16;9.1;0.00268;2.375
J CHEM PHYS;0021-9606;194961;2.952;3.017;0.731;2777;>10.0;0.18296;0.916
J CHEM THEORY COMPUT;1549-9618;17918;5.498;5.760;1.195;550;3.9;0.05994;1.761
J MAGN RESON;1090-7807;10908;2.510;2.423;0.704;226;>10.0;0.01523;0.826
J MOL LIQ;0167-7322;4563;2.515;2.154;0.800;545;3.9;0.00791;0.439
J MOL SPECTROSC;0022-2852;5410;1.482;1.164;0.655;110;>10.0;0.00370;0.390
J PHYS B-AT MOL OPT;0953-4075;13206;1.975;1.677;0.508;394;>10.0;0.02595;0.698
J PHYS CHEM A;1089-5639;57311;2.693;2.713;0.676;1274;7.6;0.09689;0.777
J PHYS CHEM LETT;1948-7185;20052;7.458;7.536;2.017;689;2.8;0.09524;2.425
MOL PHYS;0026-8976;12077;1.720;1.628;0.511;319;>10.0;0.01285;0.546
MOL SIMULAT;0892-7022;2006;1.133;1.078;0.618;123;7.6;0.00332;0.312
NUCL INSTRUM METH B;0168-583X;15706;1.124;1.226;0.254;619;9.2;0.02368;0.407
PHYS CHEM CHEM PHYS;1463-9076;60356;4.493;4.219;0.991;2880;3.9;0.17937;1.209
PHYS REV A;1050-2947;99436;2.808;2.628;0.782;2666;8.6;0.22113;1.020
PROG NUCL MAG RES SP;0079-6565;2127;7.237;6.281;1.684;19;8.7;0.00431;2.383
RADIAT PHYS CHEM;0969-806X;5789;1.380;1.404;0.403;506;8.7;0.00700;0.322
RUSS J PHYS CHEM B+;1990-7931;335;0.364;0.358;0.075;159;3.8;0.00071;0.060
SOLID STATE NUCL MAG;0926-2040;1126;2.266;2.195;0.538;26;8.7;0.00211;0.682;

