Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AM J PHYSIOL-LUNG C;1040-0605;13006;4.080;3.908;0.896;201;8.0;0.02016;1.226
AM J RESP CELL MOL;1044-1549;11279;3.985;4.416;1.091;197;7.7;0.02428;1.552
AM J RESP CRIT CARE;1073-449X;51902;12.996;11.718;3.056;250;9.1;0.09842;4.325
ANN THORAC MED;1817-1737;370;1.803;1.526;0.241;58;3.7;0.00106;0.348
ANN THORAC SURG;0003-4975;32052;3.849;4.104;0.811;586;8.6;0.06288;1.539
ARCH BRONCONEUMOL;0300-2896;1196;1.823;1.547;0.368;76;5.2;0.00231;0.348
BMC PULM MED;1471-2466;1173;2.404;;0.303;198;3.7;0.00454;
CAN RESPIR J;1198-2241;836;1.163;1.599;0.327;52;6.3;0.00197;0.535
CHEST;0012-3692;45169;7.483;6.558;1.771;345;9.4;0.07485;2.397
CHRON RESP DIS;1479-9723;481;2.694;;0.240;25;4.5;0.00128;
CLIN CHEST MED;0272-5231;1906;2.074;2.237;0.651;63;8.1;0.00359;0.755
CLIN RESPIR J;1752-6981;367;1.512;1.363;0.607;61;3.3;0.00143;0.466
COPD;1541-2555;1484;2.673;2.943;0.562;80;4.7;0.00477;0.947
CURR OPIN PULM MED;1070-5287;2137;2.756;2.738;0.693;88;5.2;0.00603;0.889
EUR J CARDIO-THORAC;1010-7940;12604;3.304;2.851;1.081;308;6.6;0.03310;1.087
EUR RESPIR J;0903-1936;28687;7.636;6.862;2.748;246;7.8;0.05317;2.162
EXP LUNG RES;0190-2148;1107;1.410;1.500;0.120;50;8.7;0.00195;0.430
EXPERT REV RESP MED;1747-6348;739;2.333;;0.350;60;3.5;0.00349;
HEART LUNG;0147-9563;1710;1.290;1.521;0.309;110;>10.0;0.00244;0.435
INT J CHRONIC OBSTR;1178-2005;1454;3.141;;0.386;127;3.9;0.00430;
INT J TUBERC LUNG D;1027-3719;6545;2.315;2.245;0.527;237;6.5;0.01603;0.775
J AEROSOL MED PULM D;1941-2711;845;2.798;3.219;0.586;58;4.2;0.00248;0.798
J ASTHMA;0277-0903;2819;1.802;1.824;0.414;145;5.5;0.00698;0.534
J BRAS PNEUMOL;1806-3713;1032;1.017;1.117;0.208;72;5.4;0.00260;0.299
J BREATH RES;1752-7155;1154;4.631;4.383;1.392;51;3.2;0.00232;0.726
J CARDIOTHOR VASC AN;1053-0770;2912;1.463;1.549;0.271;258;5.9;0.00614;0.429
J CYST FIBROS;1569-1993;2438;3.475;3.502;1.292;106;4.0;0.00758;1.100
J HEART LUNG TRANSPL;1053-2498;8562;6.650;4.914;1.576;144;5.5;0.02435;1.749
J THORAC CARDIOV SUR;0022-5223;23757;4.168;4.068;0.933;659;7.9;0.05422;1.590
J THORAC DIS;2072-1439;1180;1.783;;0.930;372;1.5;0.00282;
J THORAC ONCOL;1556-0864;8883;5.282;4.852;0.957;258;3.8;0.03523;1.597
LANCET RESP MED;2213-2600;925;9.629;9.661;4.681;69;1.2;0.00392;3.986
LUNG;0341-2040;1569;2.271;2.210;0.325;123;5.5;0.00373;0.642
LUNG CANCER;0169-5002;9003;3.958;3.684;0.786;252;5.4;0.02150;1.038
NPJ PRIM CARE RESP M;2055-1010;17;;;0.340;47;;0.00000;
PAEDIATR RESPIR REV;1526-0542;1189;2.196;2.598;0.516;62;6.4;0.00293;0.905
PEDIAT ALLER IMM PUL;2151-321X;98;0.657;0.692;0.194;31;;0.00052;0.248
PEDIATR PULM;8755-6863;5474;2.704;2.597;0.588;194;7.5;0.01117;0.865
PRIM CARE RESP J;1471-4418;985;2.504;;1.214;14;4.0;0.00320;
PULM PHARMACOL THER;1094-5539;2106;2.937;2.736;0.637;80;5.5;0.00484;0.750
RESP CARE;0020-1324;3256;1.838;2.103;0.472;229;5.3;0.00724;0.559
RESP MED;0954-6111;8528;3.086;3.064;0.579;216;6.3;0.01851;0.907
RESP PHYSIOL NEUROBI;1569-9048;6113;1.971;2.185;0.432;183;7.8;0.01038;0.625
RESP RES;1465-993X;4729;3.093;3.815;0.430;151;5.0;0.01355;1.177
RESPIRATION;0025-7931;3249;2.593;2.465;0.705;122;6.4;0.00644;0.689
RESPIROLOGY;1323-7799;3685;3.345;2.650;0.747;158;4.7;0.00983;0.758
REV MAL RESPIR;0761-8425;838;0.620;0.656;0.250;92;5.9;0.00109;0.112
REV PNEUMOL CLIN;0761-8417;180;0.248;0.281;0.029;69;5.8;0.00028;0.056
REV PORT PNEUMOL;0873-2159;273;1.167;0.670;0.429;42;3.5;0.00070;0.157
SARCOIDOSIS VASC DIF;1124-0490;831;1.169;1.810;0.208;48;9.7;0.00111;0.508
SEMIN RESP CRIT CARE;1069-3424;1535;2.712;2.575;0.232;69;4.8;0.00477;0.845
SLEEP BREATH;1520-9512;1797;2.482;2.376;0.463;108;3.3;0.00591;0.699
THER ADV RESPIR DIS;1753-4658;384;1.949;;0.056;18;3.9;0.00158;
THORAC CANCER;1759-7706;149;0.898;0.743;0.099;91;1.9;0.00032;0.108
THORAC CARDIOV SURG;0171-6425;1498;0.979;0.880;0.431;123;7.9;0.00317;0.307
THORAC SURG CLIN;1547-4127;503;0.933;;0.189;53;5.3;0.00151;
THORAX;0040-6376;19426;8.290;8.046;2.473;146;8.7;0.03594;2.822
TUBERCULOSIS;1472-9792;2416;2.711;3.085;0.774;93;5.6;0.00607;0.954;

