Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACSMS HEALTH FIT J;1091-5397;76;0.288;0.286;0.176;34;;0.00011;0.048
ADAPT PHYS ACT Q;0736-5829;650;1.324;1.542;0.250;20;>10.0;0.00063;0.413
AM J PHYS MED REHAB;0894-9115;4259;2.202;2.151;0.312;128;8.8;0.00686;0.680
AM J SPORT MED;0363-5465;20779;4.362;5.084;0.845;336;7.8;0.03707;1.525
APPL PHYSIOL NUTR ME;1715-5312;2706;2.339;2.680;0.486;173;4.7;0.00827;0.820
ARCH BUDO;1643-8698;197;1.238;1.014;0.359;39;3.2;0.00014;0.058
ARCH PHYS MED REHAB;0003-9993;18588;2.565;2.967;0.616;307;>10.0;0.02327;0.941
AVIAT SPACE ENVIR MD;0095-6562;3409;0.875;1.005;0.172;134;>10.0;0.00292;0.277
BIOL SPORT;0860-021X;279;0.789;0.605;0.146;48;5.9;0.00039;0.112
BRIT J SPORT MED;0306-3674;11360;5.025;5.100;1.647;249;6.4;0.02328;1.484
CLIN BIOMECH;0268-0033;6974;1.970;2.490;0.254;177;8.9;0.00979;0.790
CLIN J SPORT MED;1050-642X;2944;2.268;2.331;0.679;84;8.3;0.00479;0.762
CLIN SPORT MED;0278-5919;1833;1.220;2.179;0.060;50;9.9;0.00276;0.725
CURR SPORT MED REP;1537-890X;839;1.552;1.705;0.185;54;5.4;0.00220;0.518
EUR J APPL PHYSIOL;1439-6319;12927;2.187;2.633;0.389;244;8.8;0.01962;0.719
EUR J SPORT SCI;1746-1391;848;1.550;1.825;0.381;168;4.0;0.00211;0.456
EXERC IMMUNOL REV;1077-5552;529;4.176;6.071;0.000;8;6.6;0.00105;1.580
EXERC SPORT SCI REV;0091-6331;2532;4.259;5.444;1.000;24;9.7;0.00395;1.841
GAIT POSTURE;0966-6362;9407;2.752;3.185;0.560;334;6.5;0.01750;0.866
HIGH ALT MED BIOL;1527-0297;899;1.275;1.925;0.321;53;6.3;0.00162;0.482
HUM MOVEMENT SCI;0167-9457;3170;1.598;2.255;0.273;132;8.1;0.00504;0.673
INT J PERF ANAL SPOR;1474-8185;478;0.798;;0.097;72;6.1;0.00049;
INT J SPORT NUTR EXE;1526-484X;1738;2.442;2.592;0.806;67;7.2;0.00256;0.593
INT J SPORT PHYSIOL;1555-0265;1470;2.662;3.467;0.649;148;4.0;0.00360;0.785
INT J SPORT PSYCHOL;0047-0767;729;0.485;1.013;0.296;27;>10.0;0.00078;0.309
INT J SPORTS MED;0172-4622;6238;2.065;2.453;0.202;188;9.4;0.00710;0.582
ISOKINET EXERC SCI;0959-3020;315;0.488;0.658;0.024;42;7.8;0.00043;0.146
J AGING PHYS ACTIV;1063-8652;1042;1.966;2.785;0.328;61;7.2;0.00183;0.801
J APPL BIOMECH;1065-8483;1261;0.984;1.121;0.079;101;9.3;0.00203;0.367
J APPL PHYSIOL;8750-7587;42134;3.056;3.773;0.690;336;>10.0;0.03907;1.150
J APPL SPORT PSYCHOL;1041-3200;1175;1.062;1.787;0.250;32;>10.0;0.00137;0.511
J ATHL TRAINING;1062-6050;3335;2.017;2.643;0.224;98;7.7;0.00502;0.772
J ELECTROMYOGR KINES;1050-6411;4073;1.647;2.145;0.152;132;7.2;0.00748;0.612
J EXERC SCI FIT;1728-869X;131;0.333;0.890;0.071;14;5.5;0.00038;0.266
J HUM KINET;1640-5544;397;1.029;1.003;0.016;127;3.2;0.00110;0.201
J INT SOC SPORT NUTR;1550-2783;584;1.908;2.175;0.172;58;4.2;0.00134;0.445
J MOTOR BEHAV;0022-2895;2078;1.418;1.695;0.356;45;>10.0;0.00223;0.570
J ORTHOP SPORT PHYS;0190-6011;4579;3.011;3.627;0.453;95;8.2;0.00766;1.125
J ORTHOP TRAUMA;0890-5339;5797;1.803;2.192;0.276;214;8.5;0.00897;0.684
J REHABIL MED;1650-1977;3798;1.683;2.455;0.308;146;6.1;0.00893;0.761
J SCI MED SPORT;1440-2440;3467;3.194;3.834;0.606;127;5.2;0.00870;1.058
J SHOULDER ELB SURG;1058-2746;7578;2.289;2.740;0.323;300;7.1;0.01511;0.842
J SPORT EXERCISE PSY;0895-2779;2841;2.185;3.390;0.220;50;>10.0;0.00320;0.945
J SPORT HEALTH SCI;2095-2546;141;1.712;1.712;1.209;43;1.5;0.00045;0.542
J SPORT MANAGE;0888-4773;633;0.718;1.329;0.089;45;7.5;0.00077;0.286
J SPORT MED PHYS FIT;0022-4707;2068;0.972;1.276;0.167;102;>10.0;0.00213;0.331
J SPORT REHABIL;1056-6716;691;1.276;1.574;0.243;37;6.6;0.00167;0.540
J SPORT SCI;0264-0414;7385;2.246;3.001;0.330;224;7.6;0.01059;0.717
J SPORT SCI MED;1303-2968;1348;1.025;1.441;0.198;126;5.6;0.00274;0.350
J STRENGTH COND RES;1064-8011;10478;2.075;2.584;0.313;435;5.6;0.01592;0.461
J TEACH PHYS EDUC;0273-5024;652;0.740;1.213;0.067;30;>10.0;0.00066;0.342
KINESIOLOGY;1331-1441;155;0.585;0.595;0.000;47;6.7;0.00022;0.120
KNEE;0968-0160;2815;1.936;2.174;0.358;254;6.1;0.00634;0.670
KNEE SURG SPORT TR A;0942-2056;7933;3.053;2.996;0.641;418;4.5;0.02113;0.840
MED SCI SPORT EXER;0195-9131;28651;3.983;5.380;0.864;273;>10.0;0.03676;1.616
MED SPORT;0025-7826;139;0.235;0.346;0.077;39;5.4;0.00020;0.056
MOTOR CONTROL;1087-1640;638;1.233;1.541;0.185;27;7.6;0.00120;0.517
OPER TECHN SPORT MED;1060-1872;192;0.203;0.277;0.000;39;9.9;0.00024;0.089
P I MECH ENG P-J SPO;1754-3371;135;0.885;0.968;0.103;29;3.3;0.00027;0.134
PEDIATR EXERC SCI;0899-8493;1398;1.452;2.085;0.740;50;8.2;0.00228;0.644
PHYS MED REHAB KUROR;0940-6689;96;0.329;0.206;0.051;39;;0.00010;0.038
PHYS THER SPORT;1466-853X;539;1.653;1.959;0.342;38;4.9;0.00127;0.539
PHYSICIAN SPORTSMED;0091-3847;788;1.085;1.397;0.073;55;6.4;0.00204;0.463
PM&R;1934-1482;1442;1.534;2.507;0.285;130;3.6;0.00760;0.855
PSYCHOL SPORT EXERC;1469-0292;1986;1.896;2.390;0.500;88;5.6;0.00475;0.679
QUEST;0033-6297;730;1.017;1.212;0.029;34;>10.0;0.00086;0.358
RES Q EXERCISE SPORT;0270-1367;3131;1.566;1.778;0.509;55;>10.0;0.00290;0.493
RES SPORTS MED;1543-8627;333;1.704;1.492;0.235;34;5.5;0.00067;0.359
REV BRAS MED ESPORTE;1517-8692;404;0.288;0.341;0.000;90;7.8;0.00037;0.056
REV INT MED CIENC AC;1577-0354;81;0.146;0.283;0.021;48;;0.00017;0.052
SCAND J MED SCI SPOR;0905-7188;5093;2.896;3.837;0.763;194;5.6;0.01117;1.064
SCI SPORT;0765-1597;234;0.327;0.399;0.043;46;6.6;0.00038;0.094
SOCIOL SPORT J;0741-1235;607;0.750;1.151;0.091;22;>10.0;0.00091;0.479
SPORT BIOMECH;1476-3141;429;1.154;1.494;0.062;32;5.6;0.00093;0.358
SPORT EDUC SOC;1357-3322;718;1.288;1.667;0.254;63;7.4;0.00128;0.480
SPORT PSYCHOL;0888-4781;1068;0.882;1.371;0.125;32;>10.0;0.00078;0.327
SPORTS MED;0112-1642;8810;5.038;6.829;0.706;136;9.6;0.00985;1.863
SPORTS MED ARTHROSC;1062-8592;742;1.681;2.521;0.000;36;4.8;0.00262;0.860
SPORTVERLETZ SPORTSC;0932-0555;175;0.333;0.530;0.034;29;>10.0;0.00020;0.109
STRENGTH COND J;1524-1602;644;0.597;0.870;0.049;81;6.5;0.00097;0.177
WILD ENVIRON MED;1080-6032;616;1.196;1.159;0.014;70;6.2;0.00099;0.241;

