JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AGR ECOSYST ENVIRON;0167-8809;13607;3.402;3.987;0.854;329;7.8;0.02188;1.159;
AGR FOOD SCI;1459-6067;447;1.200;1.131;0.000;29;7.2;0.00077;0.287;
AGR HIST;0002-1482;248;0.194;0.356;0.091;22;>10.0;0.00049;0.353;
AGR HUM VALUES;0889-048X;1132;1.617;2.196;0.340;47;7.6;0.00222;0.760;
AGR SYST;0308-521X;3720;2.906;3.425;0.531;96;8.2;0.00585;1.043;
AGRARFORSCH SCHWEIZ+;1663-7852;30;0.099;0.090;0.100;50;;0.00005;0.012;
AGROCIENCIA-MEXICO;1405-3195;393;0.262;0.351;0.031;64;8.5;0.00050;0.085;
AGROECOL SUST FOOD;2168-3565;50;0.719;0.719;0.176;51;;0.00018;0.194;
ANIM PROD SCI;1836-0939;1381;1.286;1.652;0.656;273;3.5;0.00438;0.392;
ANN APPL BIOL;0003-4746;4166;2.000;2.274;0.405;74;>10.0;0.00351;0.606;
BER LANDWIRTSCH;2196-5099;49;0.310;0.230;0.000;16;;0.00007;0.041;
BIOSCI J;1981-3163;384;0.250;0.334;0.034;262;4.4;0.00118;0.098;
BIOSYST ENG;1537-5110;3355;1.619;1.960;0.378;156;6.7;0.00580;0.502;
BRAGANTIA;1678-4499;894;0.531;;0.018;57;7.3;0.00164;;
CAH AGRIC;1166-7699;285;0.264;0.444;0.513;39;5.8;0.00050;0.106;
CALIF AGR;0008-0845;623;0.951;1.015;0.312;16;>10.0;0.00069;0.333;
CHIL J AGR RES;0718-5839;349;0.697;0.785;0.056;72;3.8;0.00124;0.202;
CIENC AGROTEC;1413-7054;1370;0.640;0.715;0.017;60;6.8;0.00278;0.232;
CIENC INVESTIG AGRAR;0718-1620;195;0.318;0.436;0.024;41;5.8;0.00040;0.107;
COMPUT ELECTRON AGR;0168-1699;3358;1.761;2.091;0.309;181;6.0;0.00641;0.517;
CROP PASTURE SCI;1836-0947;965;1.483;1.586;0.784;116;3.5;0.00341;0.406;
CUAD DESARRO RURAL;0122-1450;25;0.151;0.152;0.059;17;;0.00006;0.037;
GRASSL SCI;1744-6961;275;0.627;;0.061;33;6.5;0.00053;;
ICELAND AGR SCI;1670-567X;68;0.188;0.632;0.000;9;;0.00008;0.137;
INDIAN J AGR SCI;0019-5022;898;0.141;0.254;0.019;266;9.3;0.00130;0.070;
INT J AGR SUSTAIN;1473-5903;449;1.659;2.537;0.552;29;3.9;0.00174;0.807;
IRISH J AGR FOOD RES;0791-6833;279;0.400;1.171;0.000;15;9.2;0.00051;0.419;
J AGR ENVIRON ETHIC;1187-7863;598;0.935;1.131;0.115;52;8.2;0.00092;0.304;
J AGR FOOD CHEM;0021-8561;84847;2.912;3.269;0.422;1498;8.9;0.09424;0.738;
J AGR SCI TECH-IRAN;1680-7073;573;0.699;0.877;0.106;141;3.5;0.00156;0.194;
J AGR SCI-CAMBRIDGE;0021-8596;2355;1.157;1.706;0.165;91;>10.0;0.00256;0.498;
J ANIM PLANT SCI;1018-7081;467;0.448;0.556;0.026;271;3.2;0.00131;0.111;
J FAC AGR KYUSHU U;0023-6152;243;0.255;0.247;0.069;58;8.1;0.00026;0.047;
J INTEGR AGR;2095-3119;512;0.833;0.850;0.342;292;2.0;0.00136;0.178;
J PLANT DIS PROTECT;1861-3829;384;0.679;0.927;0.097;31;6.4;0.00071;0.250;
J SCI FOOD AGR;0022-5142;14421;1.714;1.994;0.459;423;>10.0;0.01621;0.499;
J SUSTAIN AGR;1044-0046;542;1.372;0.893;;0;9.2;0.00068;0.228;
JARQ-JPN AGR RES Q;0021-3551;483;0.441;0.502;0.107;56;9.7;0.00055;0.141;
LANDBAUFORSCHUNG-GER;0458-6859;29;0.200;0.257;0.000;10;;0.00018;0.098;
NEW MEDIT;1594-5685;83;0.377;0.354;0.043;23;;0.00022;0.079;
NEW ZEAL J AGR RES;0028-8233;1292;0.782;1.239;0.429;28;>10.0;0.00078;0.315;
NJAS-WAGEN J LIFE SC;1573-5214;622;1.143;1.620;0.000;26;>10.0;0.00088;0.554;
OUTLOOK AGR;0030-7270;302;0.478;0.692;0.135;37;7.3;0.00055;0.190;
PAK J AGR SCI;0552-9034;473;1.049;;0.056;144;3.5;0.00077;;
PESQUI AGROPECU BRAS;0100-204X;3208;0.575;0.899;0.050;120;8.5;0.00495;0.282;
PHILIPP AGRIC SCI;0031-7454;201;0.256;0.400;0.056;54;6.7;0.00027;0.083;
PLANT PATHOLOGY J;1598-2254;444;0.718;0.733;0.143;56;5.8;0.00078;0.162;
PRECIS AGRIC;1385-2256;859;1.929;1.978;0.220;41;5.7;0.00182;0.506;
RENEW AGR FOOD SYST;1742-1705;476;1.355;1.399;0.156;32;6.2;0.00120;0.477;
REV CIENC AGRON;1806-6690;526;0.616;0.708;0.050;119;4.2;0.00180;0.218;
REV FAC CIENC AGRAR;1853-8665;82;0.467;0.332;0.000;38;;0.00014;0.047;
SCI AGR;0103-9016;1503;0.809;1.103;0.254;71;8.2;0.00236;0.346;
SEMIN-CIENC AGRAR;1676-546X;466;0.147;0.246;0.020;199;4.6;0.00135;0.072;
SPAN J AGRIC RES;1695-971X;848;0.703;0.821;0.061;115;4.8;0.00233;0.229;
TARIM BILIM DERG;1300-7580;111;0.375;0.371;0.000;44;5.1;0.00016;0.056;
ZEMDIRBYSTE;1392-3196;180;0.420;0.469;0.052;58;4.2;0.00046;0.106;

