JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA ZOOL-STOCKHOLM;0001-7272;972;1.258;1.256;0.279;43;>10.0;0.00154;0.407;
ADV ANAT EMBRYOL CEL;0301-5556;424;17.000;6.923;1.385;13;>10.0;0.00044;2.119;
ANAT HISTOL EMBRYOL;0340-2096;765;0.672;0.711;0.113;62;8.9;0.00093;0.182;
ANAT REC;1932-8486;7924;1.542;1.666;0.615;192;>10.0;0.00824;0.510;
ANAT SCI INT;1447-6959;370;0.827;0.888;0.143;35;6.5;0.00076;0.270;
ANN ANAT;0940-9602;1328;1.483;1.934;0.103;58;6.1;0.00293;0.553;
APPL IMMUNOHISTO M M;1541-2016;1617;2.012;1.881;0.265;113;5.8;0.00369;0.542;
BRAIN STRUCT FUNCT;1863-2653;2478;5.618;6.935;1.354;147;3.8;0.01071;2.435;
CELLS TISSUES ORGANS;1422-6405;2067;2.137;2.057;0.040;25;6.8;0.00422;0.582;
CLIN ANAT;0897-3806;2294;1.332;1.315;0.286;168;7.5;0.00399;0.400;
DEV DYNAM;1058-8388;10254;2.376;2.534;0.619;139;8.4;0.01839;1.035;
FOLIA MORPHOL;0015-5659;484;0.336;0.582;0.024;83;8.4;0.00058;0.139;
FRONT NEUROANAT;1662-5129;1100;3.544;4.389;0.596;151;3.5;0.00523;1.491;
INT J MORPHOL;0717-9502;619;0.318;0.371;0.063;238;4.5;0.00106;0.059;
J ANAT;0021-8782;7745;2.097;2.586;0.426;122;>10.0;0.00871;0.903;
J ANAT SOC INDIA;0003-2778;133;0.042;;0.000;1;>10.0;0.00005;;
J MORPHOL;0362-2525;4895;1.735;1.717;0.370;108;>10.0;0.00464;0.541;
MICROSC RES TECHNIQ;1059-910X;4564;1.154;1.345;0.346;130;>10.0;0.00473;0.382;
SURG RADIOL ANAT;0930-1038;2206;1.047;1.271;0.118;153;7.8;0.00372;0.345;
TISSUE CELL;0040-8166;1788;1.252;1.530;0.594;69;>10.0;0.00168;0.398;
ZOOMORPHOLOGY;0720-213X;897;1.702;1.365;0.242;33;>10.0;0.00094;0.469;

