JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ANNU REV CONTROL;1367-5788;957;2.518;3.089;0.150;20;6.6;0.00283;1.439;
ASIAN J CONTROL;1561-8625;1357;1.556;1.520;0.228;180;3.8;0.00269;0.288;
ASSEMBLY AUTOM;0144-5154;446;0.913;0.973;0.150;40;7.4;0.00071;0.238;
AT-AUTOM;0178-2312;172;0.187;0.241;0.133;75;5.7;0.00026;0.047;
AUTOMAT REM CONTR+;0005-1179;960;0.266;0.288;0.083;193;>10.0;0.00170;0.108;
AUTOMATICA;0005-1098;20482;3.020;4.363;0.482;371;7.2;0.05195;1.751;
AUTOMATIKA;0005-1144;81;0.307;0.405;0.062;48;;0.00033;0.131;
AUTON AGENT MULTI-AG;1387-2532;583;1.254;1.474;0.533;30;6.6;0.00184;0.741;
CHEMOMETR INTELL LAB;0169-7439;6189;2.321;2.770;0.459;183;>10.0;0.00756;0.726;
CONTROL ENG APPL INF;1454-8658;98;0.537;0.393;0.085;47;;0.00025;0.081;
CONTROL ENG PRACT;0967-0661;4415;1.814;2.213;0.348;184;7.9;0.00786;0.717;
DISCRETE EVENT DYN S;0924-6703;352;1.333;1.202;0.160;25;9.7;0.00106;0.713;
ENG APPL ARTIF INTEL;0952-1976;3329;2.207;2.503;0.442;199;4.8;0.00797;0.645;
ESAIM CONTR OPTIM CA;1292-8119;834;1.127;1.086;0.320;50;8.3;0.00433;1.061;
EUR J CONTROL;0947-3580;662;0.826;1.015;0.094;32;9.6;0.00202;0.617;
IEEE CONTR SYST MAG;1066-033X;2441;2.088;3.516;0.192;26;>10.0;0.00430;2.117;
IEEE ROBOT AUTOM MAG;1070-9932;1230;2.413;2.526;0.143;35;7.5;0.00313;1.140;
IEEE T AUTOM SCI ENG;1545-5955;1562;2.428;2.499;0.353;119;4.3;0.00523;0.768;
IEEE T AUTOMAT CONTR;0018-9286;27226;2.779;3.713;0.358;360;>10.0;0.05045;1.769;
IEEE T CONTR SYST T;1063-6536;5932;2.474;2.987;0.340;235;7.1;0.01460;1.127;
IEEE T IND ELECTRON;0278-0046;27141;6.498;6.498;1.659;694;4.7;0.06333;1.600;
IEEE T SYST MAN CY B;1083-4419;7317;6.220;6.184;;0;6.6;0.01829;2.158;
IEEE T SYST MAN CY-S;2168-2216;3171;1.699;2.254;0.136;125;6.8;0.00642;0.703;
IEEE-ASME T MECH;1083-4435;4067;3.427;3.634;0.397;189;5.2;0.01110;1.163;
IET CONTROL THEORY A;1751-8644;3303;2.048;2.337;0.183;240;3.9;0.01231;0.673;
IMA J MATH CONTROL I;0265-0754;344;0.750;0.792;0.032;31;9.1;0.00081;0.343;
INF TECHNOL CONTROL;1392-124X;133;0.623;0.497;0.100;40;3.6;0.00029;0.095;
INT J ADAPT CONTROL;0890-6327;1063;1.346;1.477;0.437;87;6.2;0.00309;0.599;
INT J ADV MANUF TECH;0268-3768;11128;1.458;1.693;0.216;967;5.2;0.02083;0.347;
INT J AP MAT COM-POL;1641-876X;778;1.227;1.284;0.145;69;5.6;0.00136;0.271;
INT J COMPUT COMMUN;1841-9836;391;0.746;0.739;0.178;73;4.2;0.00106;0.185;
INT J CONTROL;0020-7179;5279;1.654;1.666;0.322;205;>10.0;0.00924;0.651;
INT J CONTROL AUTOM;1598-6446;1130;0.954;1.034;0.146;151;4.3;0.00262;0.222;
INT J FUZZY SYST;1562-2479;410;1.095;1.370;0.148;54;4.0;0.00056;0.164;
INT J ROBOT AUTOM;0826-8185;169;0.408;0.422;0.067;45;6.1;0.00033;0.108;
INT J ROBUST NONLIN;1049-8923;3232;3.176;2.939;0.453;190;5.3;0.01084;1.157;
INT J SYST SCI;0020-7721;2875;2.100;1.859;0.312;205;5.2;0.00547;0.429;
INTELL AUTOM SOFT CO;1079-8587;175;0.218;0.283;0.116;43;4.5;0.00044;0.071;
J CHEMOMETR;0886-9383;3151;1.500;2.165;0.345;84;>10.0;0.00361;0.695;
J DYN CONTROL SYST;1079-2724;264;0.492;0.594;0.094;32;8.8;0.00090;0.410;
J DYN SYST-T ASME;0022-0434;2874;0.978;1.078;0.071;169;>10.0;0.00367;0.401;
J FRANKLIN I;0016-0032;3029;2.395;2.422;0.458;310;4.2;0.00653;0.542;
J MACH LEARN RES;1532-4435;8422;2.473;4.771;0.314;102;8.3;0.02860;3.228;
J PROCESS CONTR;0959-1524;4287;2.653;2.993;0.315;203;5.7;0.00987;0.838;
J SYST ENG ELECTRON;1004-4132;654;0.506;0.654;0.055;127;4.5;0.00160;0.137;
MATH CONTROL SIGNAL;0932-4194;507;0.795;0.811;0.200;20;>10.0;0.00085;0.728;
MEAS CONTROL-UK;0020-2940;189;0.517;0.436;0.036;28;7.8;0.00011;0.044;
MECHATRONICS;0957-4158;2367;1.726;2.052;0.548;115;5.8;0.00581;0.639;
MODEL IDENT CONTROL;0332-7353;249;0.778;1.063;0.381;21;>10.0;0.00033;0.321;
NONLINEAR ANAL-HYBRI;1751-570X;734;2.375;2.101;0.564;39;4.6;0.00265;0.646;
OPTIM CONTR APPL MET;0143-2087;566;0.903;1.420;0.116;43;5.7;0.00218;0.664;
P I MECH ENG I-J SYS;0959-6518;680;0.778;0.816;0.032;63;5.7;0.00184;0.263;
REV IBEROAM AUTOM IN;1697-7912;105;0.318;0.308;0.105;38;4.9;0.00018;0.054;
ROBOT AUTON SYST;0921-8890;2326;1.256;1.583;0.234;145;7.0;0.00551;0.578;
SIAM J CONTROL OPTIM;0363-0129;5456;1.463;1.776;0.110;155;>10.0;0.01533;1.443;
STUD INFORM CONTROL;1220-1766;188;0.913;0.631;0.211;38;3.1;0.00036;0.107;
SYST CONTROL LETT;0167-6911;5268;2.059;2.448;0.147;156;9.5;0.01305;1.207;
T I MEAS CONTROL;0142-3312;557;0.962;1.109;0.116;112;4.5;0.00137;0.283;

