JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACS CHEM BIOL;1554-8929;6223;5.331;5.459;1.158;322;2.9;0.02929;2.084;
ACS CHEM NEUROSCI;1948-7193;1877;4.362;4.363;1.024;126;2.4;0.00839;1.321;
ACTA BIOCH BIOPH SIN;1672-9145;2213;2.191;2.051;0.347;121;5.3;0.00508;0.539;
ACTA BIOCHIM POL;0001-527X;2240;1.153;1.463;0.118;119;8.7;0.00273;0.337;
ACTA CRYSTALLOGR D;1399-0047;15035;2.680;9.585;0.596;307;5.0;0.06534;4.719;
ACTA CRYSTALLOGR F;1744-3091;1287;0.524;0.451;0.298;339;4.0;0.00481;0.173;
ADDICT BIOL;1355-6215;2830;5.359;5.204;0.851;101;4.0;0.00864;1.542;
ADV CARBOHYD CHEM BI;0065-2318;720;2.100;5.200;0.000;5;>10.0;0.00068;1.431;
ADV MICROB PHYSIOL;0065-2911;1048;3.250;5.609;1.000;3;>10.0;0.00145;1.983;
ADV PROTEIN CHEM STR;1876-1623;329;3.036;3.067;0.357;28;2.9;0.00203;1.230;
AM J RESP CELL MOL;1044-1549;11279;3.985;4.416;1.091;197;7.7;0.02428;1.552;
AMINO ACIDS;0939-4451;7306;3.293;3.269;0.768;250;4.2;0.01833;0.802;
AMYLOID;1350-6129;941;2.010;2.163;0.556;36;6.8;0.00186;0.618;
ANAL BIOCHEM;0003-2697;39183;2.219;2.564;0.532;357;>10.0;0.02476;0.707;
ANNU REV BIOCHEM;0066-4154;19927;30.283;32.360;4.129;31;>10.0;0.04392;16.865;
ANTIOXID REDOX SIGN;1523-0864;15899;7.407;7.920;2.061;347;4.4;0.04530;2.261;
APOPTOSIS;1360-8185;5386;3.685;3.948;0.889;144;6.5;0.00995;1.043;
APPL BIOCHEM BIOTECH;0273-2289;8748;1.735;1.981;0.281;733;5.7;0.01524;0.437;
ARCH BIOCHEM BIOPHYS;0003-9861;20956;3.017;2.980;0.704;267;>10.0;0.01864;0.927;
ARCH INSECT BIOCHEM;0739-4462;1643;1.021;1.343;0.420;50;>10.0;0.00132;0.332;
BBA-BIOENERGETICS;0005-2728;10387;5.353;5.132;1.287;202;6.4;0.02373;1.646;
BBA-BIOMEMBRANES;0005-2736;14340;3.836;3.881;1.006;325;7.0;0.02991;1.257;
BBA-GEN SUBJECTS;0304-4165;10154;4.381;4.555;1.393;354;5.9;0.02220;1.352;
BBA-GENE REGUL MECH;1874-9399;5799;6.332;5.661;0.794;141;5.7;0.01926;2.401;
BBA-MOL BASIS DIS;0925-4439;7728;4.882;4.969;0.966;264;4.8;0.02162;1.527;
BBA-MOL CELL BIOL L;1388-1981;7312;5.162;4.904;1.265;181;5.6;0.02062;1.711;
BBA-MOL CELL RES;0167-4889;11055;5.019;5.203;1.312;276;5.3;0.03367;1.888;
BBA-PROTEINS PROTEOM;1570-9639;6558;2.747;3.127;0.710;252;5.3;0.01873;1.052;
BBA-REV CANCER;0304-419X;3964;7.845;8.811;1.512;82;5.3;0.01037;2.688;
BIOCATAL BIOTRANSFOR;1024-2422;740;0.691;0.742;0.048;42;9.0;0.00069;0.187;
BIOCHEM BIOPH RES CO;0006-291X;77553;2.297;2.382;0.483;1723;9.5;0.09869;0.690;
BIOCHEM CELL BIOL;0829-8211;2652;2.152;2.311;0.190;63;9.0;0.00434;0.758;
BIOCHEM GENET;0006-2928;999;0.865;0.872;0.122;41;7.8;0.00150;0.225;
BIOCHEM J;0264-6021;49955;4.396;4.660;0.894;368;>10.0;0.06128;1.751;
BIOCHEM MOL BIOL EDU;1470-8175;492;0.654;0.707;0.032;62;7.0;0.00076;0.165;
BIOCHEM SOC T;0300-5127;11748;3.194;3.157;0.611;285;7.4;0.02770;1.218;
BIOCHEM SYST ECOL;0305-1978;3509;0.967;1.131;0.154;259;9.7;0.00366;0.248;
BIOCHEMISTRY-MOSCOW+;0006-2979;3240;1.303;1.244;0.144;160;7.9;0.00479;0.346;
BIOCHEMISTRY-US;0006-2960;84828;3.015;3.019;0.682;789;>10.0;0.10010;1.155;
BIOCHIMIE;0300-9084;8634;2.963;3.124;0.221;294;6.5;0.01777;0.888;
BIOCONJUGATE CHEM;1043-1802;14391;4.513;4.676;0.861;245;6.5;0.02542;1.195;
BIOELECTROCHEMISTRY;1567-5394;3754;4.172;3.854;0.800;65;7.0;0.00527;0.836;
BIOESSAYS;0265-9247;9096;4.730;5.023;1.488;125;8.8;0.01945;2.123;
BIOFACTORS;0951-6433;2788;4.592;4.226;0.678;59;6.6;0.00505;1.074;
BIOINORG CHEM APPL;1565-3633;515;2.081;1.813;0.154;52;4.9;0.00086;0.339;
BIOL CHEM;1431-6730;5830;3.268;2.856;1.008;118;8.4;0.01041;0.973;
BIOL TRACE ELEM RES;0163-4984;5263;1.748;1.699;0.416;281;5.4;0.00827;0.328;
BIOMACROMOLECULES;1525-7797;31769;5.750;6.432;0.965;489;6.0;0.05487;1.451;
BIOMED CHROMATOGR;0269-3879;3368;1.723;1.754;0.413;235;5.6;0.00593;0.384;
BIOMETALS;0966-0844;3578;2.503;3.068;0.409;110;7.1;0.00598;0.735;
BIOORG CHEM;0045-2068;1118;2.152;1.839;0.398;83;9.7;0.00137;0.512;
BIOORGAN MED CHEM;0968-0896;27492;2.793;2.970;0.589;688;6.4;0.04348;0.663;
BIOPHYS CHEM;0301-4622;4747;1.986;2.002;0.873;55;>10.0;0.00545;0.644;
BIOPOLYMERS;0006-3525;10239;2.385;2.498;0.559;161;>10.0;0.01007;0.797;
BIOSCI BIOTECH BIOCH;0916-8451;10866;1.063;1.282;0.153;314;9.5;0.01234;0.328;
BIOTECHNIQUES;0736-6205;7392;2.948;3.103;0.406;64;>10.0;0.00631;1.079;
BIOTECHNOL APPL BIOC;0885-4513;1689;1.362;1.585;0.337;89;9.1;0.00214;0.408;
BMB REP;1976-6696;1580;2.595;2.018;0.454;108;3.8;0.00489;0.507;
BMC BIOCHEM;1471-2091;849;1.438;1.953;0.214;28;6.0;0.00219;0.641;
BMC MOL BIOL;1471-2199;2252;2.194;3.289;0.308;26;6.1;0.00518;0.983;
CARBOHYD RES;0008-6215;14667;1.929;2.133;0.523;216;>10.0;0.01395;0.503;
CELL;0092-8674;201108;32.242;35.532;5.931;436;8.6;0.57703;19.361;
CELL BIOCHEM BIOPHYS;1085-9195;2433;1.680;2.102;0.256;434;4.8;0.00557;0.559;
CELL BIOCHEM FUNCT;0263-6484;1957;2.005;1.930;0.429;91;6.3;0.00353;0.484;
CELL BIOSCI;2045-3701;458;3.630;3.443;0.536;69;2.4;0.00203;1.050;
CELL COMMUN ADHES;1541-9061;508;2.414;1.983;0.692;26;7.5;0.00041;0.444;
CELL DEATH DIFFER;1350-9047;16082;8.184;8.461;2.134;172;6.4;0.04070;3.022;
CELL MOL BIOL;0145-5680;1679;1.234;1.200;5.111;54;>10.0;0.00073;0.235;
CELL MOL BIOL LETT;1425-8153;952;1.593;1.647;0.133;45;8.2;0.00146;0.422;
CELL MOL LIFE SCI;1420-682X;19985;5.808;6.005;1.345;304;6.3;0.04904;2.087;
CHANNELS;1933-6950;997;2.410;2.549;0.414;58;4.1;0.00445;0.974;
CHEM BIODIVERS;1612-1872;3059;1.515;1.686;0.217;152;5.4;0.00612;0.392;
CHEM BIOL;1074-5521;11228;6.645;6.565;1.359;153;7.3;0.02800;2.582;
CHEM BIOL DRUG DES;1747-0277;2601;2.485;2.410;0.524;145;3.9;0.00739;0.602;
CHEM PHYS LIPIDS;0009-3084;4074;2.422;2.697;1.233;90;>10.0;0.00529;0.788;
CHEM SPEC BIOAVAILAB;0954-2299;202;0.591;0.519;0.171;35;7.5;0.00024;0.099;
