JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
BONE JOINT RES;2046-3758;158;1.640;1.640;0.370;46;2.0;0.00079;0.576;
BONE RES;2095-4700;40;1.310;1.310;0.100;20;;0.00014;0.298;
CELL MOL BIOENG;1865-5025;469;1.318;1.608;0.308;52;4.3;0.00220;0.585;
CELL REPROGRAM;2152-4971;520;1.788;2.147;0.188;48;3.4;0.00219;0.580;
CELL STEM CELL;1934-5909;17720;22.268;24.565;6.143;112;4.2;0.10245;12.105;
CELL TRANSPLANT;0963-6897;4424;3.127;3.257;0.496;139;4.6;0.01074;0.824;
CURR STEM CELL RES T;1574-888X;746;2.212;2.428;0.519;54;4.3;0.00195;0.572;
CYTOTHERAPY;1465-3249;3788;3.293;3.260;0.642;162;5.6;0.00809;0.861;
EUR CELLS MATER;1473-2262;2581;4.886;5.984;0.635;52;4.7;0.00627;1.612;
J BIOMATER TISS ENG;2157-9083;352;2.066;2.102;0.708;120;1.7;0.00036;0.180;
J TISSUE ENG REGEN M;1932-6254;2634;5.199;4.328;0.861;101;3.4;0.00749;1.030;
REGEN MED;1746-0751;1327;2.786;3.639;0.396;53;4.4;0.00460;1.047;
STEM CELL REP;2213-6711;461;5.365;5.365;1.077;168;1.2;0.00256;3.102;
STEM CELL RES;1873-5061;1471;3.693;4.157;0.661;127;3.0;0.00623;1.283;
STEM CELL REV REP;1550-8943;1388;2.768;3.440;0.614;70;3.3;0.00581;0.935;
STEM CELL TRANSL MED;2157-6564;1253;5.709;5.714;0.722;158;2.0;0.00549;1.739;
STEM CELLS;1066-5099;20143;6.523;7.532;1.363;281;6.1;0.04888;2.470;
STEM CELLS DEV;1547-3287;6061;3.727;4.055;0.881;269;3.7;0.01906;1.070;
STEM CELLS INT;1687-966X;713;2.813;2.738;0.282;39;2.5;0.00276;0.679;
TISSUE ENG;2152-4947;19620;4.448;4.916;0.860;457;5.4;0.04222;1.203;
TISSUE ENG REGEN MED;1738-2696;268;1.088;0.477;0.125;72;3.0;0.00066;0.087;

