JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA HISTOCHEM;0065-1281;1536;1.714;1.721;0.340;200;4.5;0.00304;0.402;
ACTA HISTOCHEM CYTOC;0044-5991;383;1.393;1.239;0.061;33;6.8;0.00061;0.279;
ACTA NATURAE;2075-8251;226;1.000;1.038;0.178;45;3.4;0.00092;0.278;
ADV ANAT EMBRYOL CEL;0301-5556;424;17.000;6.923;1.385;13;>10.0;0.00044;2.119;
AGEING RES REV;1568-1637;2986;6.634;7.194;1.574;61;4.1;0.00879;2.027;
AGING CELL;1474-9718;5793;6.340;6.593;1.405;116;4.7;0.01912;2.320;
AGING-US;1945-4589;2583;6.432;4.761;0.658;76;3.5;0.01255;1.485;
AM J PHYSIOL-CELL PH;0363-6143;17651;3.780;3.914;1.028;211;8.2;0.02770;1.245;
AM J RESP CELL MOL;1044-1549;11279;3.985;4.416;1.091;197;7.7;0.02428;1.552;
ANAL CELL PATHOL;2210-7177;274;0.846;1.330;0.026;39;>10.0;0.00078;0.489;
ANAL QUANT CYTOL;0884-6812;509;0.488;0.520;0.041;49;>10.0;0.00044;0.125;
ANIM CELLS SYST;1976-8354;99;0.440;0.355;0.000;54;;0.00033;0.082;
ANNU REV CELL DEV BI;1081-0706;9301;16.660;21.326;0.481;27;9.3;0.02356;10.990;
APOPTOSIS;1360-8185;5386;3.685;3.948;0.889;144;6.5;0.00995;1.043;
AUTOPHAGY;1554-8627;9457;11.753;10.698;1.748;159;4.2;0.03289;3.452;
BBA-MOL CELL BIOL L;1388-1981;7312;5.162;4.904;1.265;181;5.6;0.02062;1.711;
BBA-MOL CELL RES;0167-4889;11055;5.019;5.203;1.312;276;5.3;0.03367;1.888;
BIOCHEM CELL BIOL;0829-8211;2652;2.152;2.311;0.190;63;9.0;0.00434;0.758;
BIOL CELL;0248-4900;2778;3.506;3.778;0.643;28;8.6;0.00471;1.319;
BIOL MEMBRANY;0233-4755;97;0.094;0.113;0.023;44;;0.00011;0.024;
BIOPRESERV BIOBANK;1947-5535;267;1.340;1.352;0.421;57;2.6;0.00065;0.229;
BIOSCIENCE REP;0144-8463;1743;2.637;2.319;0.300;80;9.1;0.00340;0.759;
BIOTECH HISTOCHEM;1052-0295;882;1.444;1.386;0.200;75;7.7;0.00108;0.283;
BMC CELL BIOL;1471-2121;1800;2.341;2.936;0.136;44;5.6;0.00501;0.920;
CANCER CELL;1535-6108;27283;23.523;27.252;4.707;116;5.7;0.10680;13.240;
CELL;0092-8674;201108;32.242;35.532;5.931;436;8.6;0.57703;19.361;
CELL ADHES MIGR;1933-6918;1391;4.505;3.515;0.581;62;3.6;0.00646;1.212;
CELL BIOCHEM BIOPHYS;1085-9195;2433;1.680;2.102;0.256;434;4.8;0.00557;0.559;
CELL BIOCHEM FUNCT;0263-6484;1957;2.005;1.930;0.429;91;6.3;0.00353;0.484;
CELL BIOL INT;1065-6995;3519;1.933;1.701;0.446;168;6.9;0.00594;0.451;
CELL BIOL TOXICOL;0742-2091;1296;2.677;2.482;0.346;26;7.7;0.00187;0.610;
CELL CALCIUM;0143-4160;4943;3.513;3.821;0.641;92;7.6;0.00981;1.240;
CELL COMMUN ADHES;1541-9061;508;2.414;1.983;0.692;26;7.5;0.00041;0.444;
CELL COMMUN SIGNAL;1478-811X;1167;3.378;4.958;0.372;78;3.5;0.00531;1.555;
CELL CYCLE;1538-4101;16961;4.565;4.641;0.914;361;5.1;0.05622;1.584;
CELL DEATH DIFFER;1350-9047;16082;8.184;8.461;2.134;172;6.4;0.04070;3.022;
CELL DEATH DIS;2041-4889;5309;5.014;5.291;0.780;567;2.0;0.02342;1.606;
CELL DIV;1747-1028;543;3.526;3.000;0.000;4;5.0;0.00185;1.069;
CELL IMMUNOL;0008-8749;3889;1.924;1.932;0.268;112;9.5;0.00637;0.549;
CELL J;2228-5806;127;1.105;1.034;0.121;58;2.1;0.00039;0.210;
CELL METAB;1550-4131;18502;17.565;17.608;3.629;167;4.5;0.07919;7.916;
CELL MICROBIOL;1462-5814;8170;4.915;4.879;1.281;135;6.4;0.02006;1.759;
CELL MOL BIOENG;1865-5025;469;1.318;1.608;0.308;52;4.3;0.00220;0.585;
CELL MOL BIOL;0145-5680;1679;1.234;1.200;5.111;54;>10.0;0.00073;0.235;
CELL MOL BIOL LETT;1425-8153;952;1.593;1.647;0.133;45;8.2;0.00146;0.422;
CELL MOL LIFE SCI;1420-682X;19985;5.808;6.005;1.345;304;6.3;0.04904;2.087;
CELL MOL NEUROBIOL;0272-4340;3224;2.506;2.134;0.527;112;6.6;0.00591;0.552;
CELL ONCOL;2211-3428;876;3.032;2.817;0.439;41;4.2;0.00204;0.635;
CELL PHYSIOL BIOCHEM;1015-8987;4086;2.875;2.871;0.336;351;3.7;0.01112;0.699;
CELL PROLIFERAT;0960-7722;1942;3.116;2.777;0.468;62;6.0;0.00357;0.659;
CELL REP;2211-1247;6886;8.358;8.361;1.313;671;1.7;0.05646;4.959;
CELL RES;1001-0602;9195;12.413;11.187;4.150;80;4.7;0.03482;4.457;
CELL SIGNAL;0898-6568;9610;4.315;4.154;0.884;319;5.3;0.02533;1.315;
CELL STEM CELL;1934-5909;17720;22.268;24.565;6.143;112;4.2;0.10245;12.105;
CELL STRESS CHAPERON;1355-8145;2516;3.163;3.098;0.736;87;6.4;0.00488;0.838;
CELL STRUCT FUNCT;0386-7196;1002;1.684;1.482;0.222;9;>10.0;0.00075;0.556;
CELL TISSUE BANK;1389-9333;698;1.245;1.190;0.209;67;6.1;0.00121;0.279;
CELL TISSUE RES;0302-766X;10580;3.565;3.407;0.688;253;9.7;0.01559;0.988;
CELLS TISSUES ORGANS;1422-6405;2067;2.137;2.057;0.040;25;6.8;0.00422;0.582;
CONNECT TISSUE RES;0300-8207;1926;1.607;1.886;0.247;85;>10.0;0.00213;0.529;
CSH PERSPECT BIOL;1943-0264;7817;8.679;11.319;1.615;122;3.5;0.05777;5.406;
CURR BIOL;0960-9822;48575;9.571;10.134;2.207;440;7.4;0.14406;4.990;
CURR OPIN CELL BIOL;0955-0674;13844;8.467;10.118;1.755;94;7.8;0.03841;4.616;
CURR OPIN GENET DEV;0959-437X;8084;7.574;7.319;0.990;101;7.4;0.02658;3.736;
CURR OPIN STRUC BIOL;0959-440X;10897;7.201;8.077;1.238;105;8.1;0.03091;4.047;
CURR STEM CELL RES T;1574-888X;746;2.212;2.428;0.519;54;4.3;0.00195;0.572;
CYTOGENET GENOME RES;1424-8581;2909;1.561;1.764;0.390;82;7.9;0.00431;0.534;
CYTOKINE;1043-4666;7066;2.664;2.717;0.593;150;6.1;0.01512;0.764;
CYTOKINE GROWTH F R;1359-6101;4708;5.357;7.968;0.841;69;8.3;0.00887;2.563;
CYTOLOGIA;0011-4545;822;0.205;0.425;0.046;65;>10.0;0.00040;0.085;
CYTOM PART A;1552-4922;3240;2.928;3.091;0.798;94;5.5;0.00819;0.942;
CYTOPATHOLOGY;0956-5507;909;1.481;1.504;1.111;45;5.8;0.00145;0.328;
