JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV INORG CHEM;0898-8838;1393;1.571;3.289;1.900;10;>10.0;0.00064;0.893;
ADV ORGANOMET CHEM;0065-3055;791;7.000;6.700;3.200;5;>10.0;0.00031;1.962;
APPL ORGANOMET CHEM;0268-2605;3010;2.248;2.140;0.393;140;7.4;0.00340;0.378;
APPL RADIAT ISOTOPES;0969-8043;6467;1.231;1.231;0.192;448;7.7;0.01173;0.349;
ARCHAEOMETRY;0003-813X;1944;1.519;1.421;0.240;75;>10.0;0.00232;0.446;
BIOINORG CHEM APPL;1565-3633;515;2.081;1.813;0.154;52;4.9;0.00086;0.339;
CHINESE J INORG CHEM;1001-4861;1726;0.630;0.501;0.116;395;4.6;0.00154;0.047;
CHINESE J STRUC CHEM;0254-5861;945;0.507;0.397;0.145;262;4.4;0.00085;0.038;
COMMENT INORG CHEM;0260-3594;470;1.000;2.256;0.200;10;>10.0;0.00047;0.696;
COORDIN CHEM REV;0010-8545;29127;12.239;13.174;3.288;139;8.7;0.03926;3.266;
DALTON T;1477-9226;51579;4.197;3.982;1.086;1968;4.5;0.10130;0.824;
EUR J INORG CHEM;1434-1948;18133;2.942;2.932;0.654;671;5.8;0.03239;0.665;
GOLD BULL;0017-1557;1212;1.590;2.541;0.379;29;9.0;0.00129;0.556;
INORG CHEM;0020-1669;93528;4.762;4.640;1.029;1498;7.8;0.12122;1.009;
INORG CHEM COMMUN;1387-7003;7183;1.777;1.742;0.407;467;5.1;0.01039;0.297;
INORG CHIM ACTA;0020-1693;16723;2.046;1.853;0.389;565;8.2;0.01738;0.331;
ISOT ENVIRON HEALT S;1025-6016;572;0.964;1.203;0.289;45;7.4;0.00122;0.410;
J BIOL INORG CHEM;0949-8257;4122;2.538;2.894;0.775;111;7.1;0.00677;0.792;
J CLUST SCI;1040-7278;958;1.302;1.169;0.520;125;5.6;0.00130;0.216;
J COORD CHEM;0095-8972;4382;2.012;1.469;0.212;306;4.2;0.00513;0.167;
J FLUORINE CHEM;0022-1139;5894;1.948;1.975;0.462;210;8.3;0.00710;0.427;
J INORG BIOCHEM;0162-0134;10837;3.444;3.447;0.770;209;8.2;0.01220;0.720;
J ORGANOMET CHEM;0022-328X;21867;2.173;2.056;0.821;546;>10.0;0.01587;0.405;
J RADIOANAL NUCL CH;0236-5731;5998;1.034;1.024;0.220;732;5.9;0.00877;0.196;
J SOLID STATE CHEM;0022-4596;21321;2.133;2.344;0.532;385;>10.0;0.02204;0.550;
J STRUCT CHEM+;0022-4766;1674;0.508;0.548;0.117;223;>10.0;0.00176;0.117;
MAIN GROUP MET CHEM;0792-1241;248;0.561;0.351;0.038;26;>10.0;0.00011;0.052;
NUKLEONIKA;0029-5922;438;0.477;0.487;0.000;22;6.7;0.00105;0.166;
ORGANOMETALLICS;0276-7333;42594;4.126;3.811;0.900;847;7.3;0.06248;0.871;
PHOSPHORUS SULFUR;1042-6507;2646;0.561;0.611;0.177;175;9.3;0.00211;0.101;
POLYHEDRON;0277-5387;14579;2.011;1.952;0.533;580;7.5;0.01517;0.330;
PROG INORG CHEM;0079-6379;1266;1.556;4.400;1.231;13;>10.0;0.00031;1.311;
PROG SOLID STATE CH;0079-6786;1635;6.600;6.968;0.500;16;>10.0;0.00110;2.241;
RADIOCHIM ACTA;0033-8230;2544;1.014;1.226;0.221;113;>10.0;0.00280;0.338;
REV INORG CHEM;0193-4929;135;2.071;1.184;0.333;9;>10.0;0.00017;0.218;
RUSS J COORD CHEM+;1070-3284;1174;0.484;0.463;0.094;139;>10.0;0.00106;0.094;
RUSS J INORG CHEM+;0036-0236;2554;0.489;0.452;0.133;249;>10.0;0.00222;0.091;
SOLID STATE SCI;1293-2558;5809;1.839;1.991;0.403;196;5.5;0.01116;0.442;
STRUCT BOND;0081-5993;1792;1.909;2.746;0.492;61;>10.0;0.00140;0.771;
SYNTH REACT INORG M;1553-3174;1398;0.533;0.524;0.120;258;9.3;0.00118;0.075;
TETRAHEDRON-ASYMMETR;0957-4166;10854;2.155;2.038;0.483;209;9.0;0.01076;0.426;
TOP ORGANOMETAL CHEM;1436-6002;1361;4.368;;;;4.4;0.00430;;
TRANSIT METAL CHEM;0340-4285;2645;1.306;1.205;0.274;113;9.7;0.00179;0.185;
Z ANORG ALLG CHEM;0044-2313;8162;1.160;1.050;0.272;438;>10.0;0.00629;0.211;
Z NATURFORSCH B;0932-0776;3142;0.744;0.690;0.119;168;>10.0;0.00212;0.135;

