JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV CARBOHYD CHEM BI;0065-2318;720;2.100;5.200;0.000;5;>10.0;0.00068;1.431;
ADV HETEROCYCL CHEM;0065-2725;825;1.783;2.283;0.286;14;>10.0;0.00040;0.421;
ADV ORGANOMET CHEM;0065-3055;791;7.000;6.700;3.200;5;>10.0;0.00031;1.962;
ADV PHYS ORG CHEM;0065-3160;348;2.167;2.087;0.000;4;>10.0;0.00039;1.062;
ADV SYNTH CATAL;1615-4150;18854;5.663;5.556;1.522;410;4.8;0.04154;1.307;
ALDRICHIM ACTA;0002-5100;1097;17.083;13.871;1.000;6;7.5;0.00230;4.671;
ARKIVOC;1551-7004;3435;1.165;1.181;0.312;125;6.9;0.00418;0.239;
ASIAN J ORG CHEM;2193-5807;682;3.318;3.324;0.648;162;1.6;0.00225;0.819;
BEILSTEIN J ORG CHEM;1860-5397;3057;2.757;2.780;0.495;325;2.8;0.01093;0.710;
BIOCONJUGATE CHEM;1043-1802;14391;4.513;4.676;0.861;245;6.5;0.02542;1.195;
BIOINORG CHEM APPL;1565-3633;515;2.081;1.813;0.154;52;4.9;0.00086;0.339;
BIOMACROMOLECULES;1525-7797;31769;5.750;6.432;0.965;489;6.0;0.05487;1.451;
BIOORG CHEM;0045-2068;1118;2.152;1.839;0.398;83;9.7;0.00137;0.512;
BIOORG MED CHEM LETT;0960-894X;36575;2.420;2.317;0.496;1115;6.2;0.05964;0.508;
BIOORGAN MED CHEM;0968-0896;27492;2.793;2.970;0.589;688;6.4;0.04348;0.663;
CARBOHYD POLYM;0144-8617;30889;4.074;4.568;0.962;1162;4.4;0.05081;0.783;
CARBOHYD RES;0008-6215;14667;1.929;2.133;0.523;216;>10.0;0.01395;0.503;
CHEM HETEROCYCL COM+;0009-3122;2188;0.621;0.696;0.148;182;>10.0;0.00176;0.124;
CHEM NAT COMPD+;0009-3130;2360;0.509;0.668;0.096;376;7.8;0.00209;0.102;
CHINESE J ORG CHEM;0253-2786;1790;0.991;0.700;0.212;312;4.0;0.00198;0.081;
CHIRALITY;0899-0042;3079;1.886;1.911;0.473;110;6.8;0.00519;0.487;
CURR ORG CHEM;1385-2728;4443;2.157;2.738;0.371;170;5.3;0.00813;0.589;
CURR ORG SYNTH;1570-1794;853;2.117;2.425;0.500;58;4.4;0.00171;0.509;
EUR J ORG CHEM;1434-193X;22208;3.065;3.034;0.744;875;5.3;0.04326;0.703;
HETEROCYCL COMMUN;0793-0283;380;0.593;0.460;0.089;56;9.3;0.00031;0.076;
HETEROCYCLES;0385-5414;5697;1.079;0.974;0.399;268;>10.0;0.00506;0.204;
INDIAN J CHEM B;0376-4699;2284;0.387;0.635;0.017;115;>10.0;0.00118;0.114;
INDIAN J HETEROCY CH;0971-1627;439;0.305;0.210;0.034;58;>10.0;0.00020;0.024;
J CARBOHYD CHEM;0732-8303;765;1.417;1.011;0.206;34;>10.0;0.00071;0.250;
J FLUORINE CHEM;0022-1139;5894;1.948;1.975;0.462;210;8.3;0.00710;0.427;
J HETEROCYCLIC CHEM;0022-152X;5600;0.787;1.094;0.137;343;>10.0;0.00373;0.195;
J ORG CHEM;0022-3263;101519;4.721;4.385;1.073;1324;>10.0;0.10827;1.035;
J ORGANOMET CHEM;0022-328X;21867;2.173;2.056;0.821;546;>10.0;0.01587;0.405;
J PHYS ORG CHEM;0894-3230;2684;1.380;1.332;0.512;123;7.7;0.00402;0.334;
J SYN ORG CHEM JPN;0037-9980;645;0.505;0.707;0.055;110;5.2;0.00115;0.150;
LETT ORG CHEM;1570-1786;755;0.664;0.621;0.190;121;5.1;0.00117;0.111;
MAIN GROUP MET CHEM;0792-1241;248;0.561;0.351;0.038;26;>10.0;0.00011;0.052;
MINI-REV ORG CHEM;1570-193X;527;1.042;1.548;0.171;35;5.7;0.00096;0.324;
MOLECULES;1420-3049;13592;2.416;2.791;0.307;1286;3.7;0.03710;0.605;
NAT PROD REP;0265-0568;8047;10.107;10.545;2.402;82;6.7;0.01673;3.173;
ORG BIOMOL CHEM;1477-0520;23798;3.562;3.382;0.966;1125;3.9;0.05829;0.807;
ORG LETT;1523-7060;87730;6.364;5.849;1.864;1629;5.3;0.17383;1.407;
ORG PREP PROCED INT;0030-4948;1024;0.956;1.701;0.351;37;>10.0;0.00089;0.334;
ORG PROCESS RES DEV;1083-6160;4632;2.528;2.327;0.606;203;5.9;0.00823;0.546;
ORGANOMETALLICS;0276-7333;42594;4.126;3.811;0.900;847;7.3;0.06248;0.871;
PETROL CHEM+;0965-5441;421;0.420;0.479;0.030;99;5.5;0.00087;0.121;
PHOSPHORUS SULFUR;1042-6507;2646;0.561;0.611;0.177;175;9.3;0.00211;0.101;
POLYCYCL AROMAT COMP;1040-6638;500;0.760;0.920;0.282;39;>10.0;0.00048;0.220;
RUSS J BIOORG CHEM+;1068-1620;748;0.535;0.536;0.080;100;7.9;0.00096;0.115;
RUSS J ORG CHEM+;1070-4280;3071;0.658;0.599;0.192;360;8.8;0.00228;0.087;
SYNLETT;0936-5214;16588;2.419;2.279;0.514;531;7.3;0.02530;0.555;
SYNTHESIS-STUTTGART;0039-7881;18310;2.689;2.389;0.476;370;8.9;0.02312;0.578;
SYNTHETIC COMMUN;0039-7911;7421;0.929;0.995;0.207;347;>10.0;0.00562;0.174;
TETRAHEDRON;0040-4020;54789;2.641;2.675;0.652;1138;9.2;0.05691;0.575;
TETRAHEDRON LETT;0040-4039;73725;2.379;2.286;0.558;1637;>10.0;0.06047;0.438;
TETRAHEDRON-ASYMMETR;0957-4166;10854;2.155;2.038;0.483;209;9.0;0.01076;0.426;
TOP ORGANOMETAL CHEM;1436-6002;1361;4.368;;;;4.4;0.00430;;
Z NATURFORSCH B;0932-0776;3142;0.744;0.690;0.119;168;>10.0;0.00212;0.135;

