JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA BIOENG BIOMECH;1509-409X;292;0.894;0.915;0.066;61;3.8;0.00062;0.168;
ACTA BIOMATER;1742-7061;18776;6.025;6.589;1.337;496;3.9;0.05183;1.417;
ADV HEALTHC MATER;2192-2640;1857;5.797;5.812;1.273;209;1.7;0.00674;1.567;
ANN BIOMED ENG;0090-6964;8154;3.195;2.987;0.460;213;6.8;0.01834;0.951;
ANNU REV BIOMED ENG;1523-9829;3859;14.211;15.839;1.150;20;7.7;0.00739;5.348;
APPL BIONICS BIOMECH;1176-2322;119;0.255;;0.050;20;5.5;0.00037;;
ARTIF CELL BLOOD SUB;1073-1199;512;1.314;1.048;;0;8.1;0.00056;0.188;
ARTIF CELL NANOMED B;2169-1401;91;1.015;1.015;0.356;59;;0.00017;0.163;
ARTIF INTELL MED;0933-3657;1475;2.019;2.037;0.353;51;7.9;0.00250;0.586;
ARTIF ORGANS;0160-564X;3132;2.050;1.652;0.573;143;6.8;0.00471;0.366;
ASAIO J;1058-2916;2131;1.516;1.430;0.417;132;8.2;0.00382;0.481;
AUSTRALAS PHYS ENG S;0158-9938;322;0.882;0.811;0.114;70;5.0;0.00079;0.235;
BIO-MED MATER ENG;0959-2989;1130;1.091;1.280;0.493;438;7.2;0.00092;0.279;
BIOCYBERN BIOMED ENG;0208-5216;108;0.646;0.484;0.143;28;5.4;0.00024;0.123;
BIOFABRICATION;1758-5082;839;4.289;4.752;0.681;72;3.1;0.00314;1.198;
BIOINSPIR BIOMIM NAN;2045-9858;72;0.978;1.067;0.960;25;;0.00020;0.277;
BIOMATERIALS;0142-9612;93432;8.557;9.305;1.711;948;6.3;0.14867;2.005;
BIOMECH MODEL MECHAN;1617-7959;1798;3.145;3.203;0.740;96;4.0;0.00590;1.035;
BIOMED ENG ONLINE;1475-925X;1456;1.427;1.989;0.213;169;4.4;0.00373;0.526;
BIOMED ENG-BIOMED TE;0013-5585;631;1.458;0.873;0.518;56;6.1;0.00128;0.249;
BIOMED MATER;1748-6041;2118;3.697;3.281;0.447;76;4.8;0.00496;0.719;
BIOMED MICRODEVICES;1387-2176;2838;2.877;2.768;0.554;92;5.5;0.00739;0.817;
BIOMED SIGNAL PROCES;1746-8094;713;1.419;1.376;0.231;130;3.9;0.00146;0.285;
BIORHEOLOGY;0006-355X;1608;1.179;2.068;0.120;25;>10.0;0.00104;0.559;
CELL TISSUE BANK;1389-9333;698;1.245;1.190;0.209;67;6.1;0.00121;0.279;
CLIN BIOMECH;0268-0033;6974;1.970;2.490;0.254;177;8.9;0.00979;0.790;
CLIN ORAL IMPLAN RES;0905-7161;11275;3.889;4.735;0.647;224;7.0;0.01816;1.185;
COMPUT BIOL MED;0010-4825;2263;1.240;1.459;0.227;207;6.0;0.00391;0.331;
COMPUT MED IMAG GRAP;0895-6111;1336;1.218;1.588;0.208;77;7.2;0.00216;0.428;
COMPUT METH PROG BIO;0169-2607;3507;1.897;1.964;0.583;211;6.2;0.00565;0.441;
COMPUT METHOD BIOMEC;1025-5842;1619;1.770;1.690;0.689;164;4.3;0.00417;0.500;
EUR CELLS MATER;1473-2262;2581;4.886;5.984;0.635;52;4.7;0.00627;1.612;
EXPERT REV MED DEVIC;1743-4440;1261;1.683;2.371;0.328;58;5.5;0.00349;0.748;
IEEE PULSE;2154-2287;144;0.957;0.830;0.172;58;2.4;0.00078;0.309;
IEEE T BIO-MED ENG;0018-9294;14435;2.347;2.567;0.519;293;8.7;0.02257;0.761;
IEEE T BIOMED CIRC S;1932-4545;1168;2.482;3.209;0.363;80;3.8;0.00648;1.398;
IEEE T MED IMAGING;0278-0062;12720;3.390;4.288;0.435;184;9.8;0.02070;1.437;
IEEE T NEUR SYS REH;1534-4320;3094;3.188;3.625;0.664;122;5.9;0.00712;1.098;
INT J ARTIF ORGANS;0391-3988;1727;0.962;1.352;0.128;94;7.7;0.00279;0.355;
INT J COMPUT ASS RAD;1861-6410;864;1.707;1.734;0.378;98;3.7;0.00289;0.466;
INT J NUMER METH BIO;2040-7939;730;2.052;1.655;0.456;90;3.0;0.00401;0.609;
IRBM;1959-0318;176;0.522;0.389;0.136;44;4.1;0.00045;0.099;
ISOKINET EXERC SCI;0959-3020;315;0.488;0.658;0.024;42;7.8;0.00043;0.146;
J APPL BIOMATER FUNC;2280-8000;105;1.500;1.500;0.108;37;2.3;0.00024;0.227;
J APPL BIOMECH;1065-8483;1261;0.984;1.121;0.079;101;9.3;0.00203;0.367;
J ARTIF ORGANS;1434-7229;592;1.441;1.268;0.136;59;4.8;0.00109;0.256;
J BIOMAT SCI-POLYM E;0920-5063;3795;1.648;1.852;0.271;133;8.1;0.00390;0.352;
J BIOMATER APPL;0885-3282;1372;2.197;2.559;0.464;138;4.4;0.00248;0.521;
J BIOMECH;0021-9290;24787;2.751;3.157;0.459;542;9.3;0.03247;0.925;
J BIOMECH ENG-T ASME;0148-0731;6639;1.780;2.085;0.309;178;>10.0;0.00912;0.674;
J BIOMED MATER RES A;1549-3296;15555;3.369;3.451;0.707;464;6.0;0.02558;0.749;
J BIOMED MATER RES B;1552-4973;6770;2.759;2.902;0.597;191;5.8;0.01285;0.675;
J HARD TISSUE BIOL;1341-7649;99;0.316;0.262;0.106;66;;0.00015;0.039;
J MATER SCI-MATER M;0957-4530;10099;2.587;2.831;0.466;247;6.6;0.01394;0.585;
J MECH BEHAV BIOMED;1751-6161;3426;3.417;3.478;0.550;351;2.9;0.01250;0.936;
J MECH MED BIOL;0219-5194;416;0.731;0.765;0.250;104;3.3;0.00084;0.141;
J MED BIOL ENG;1609-0985;459;0.971;1.116;0.178;90;4.3;0.00118;0.244;
J MED DEVICES;1932-6181;245;0.420;0.604;0.037;163;4.2;0.00102;0.204;
J NEURAL ENG;1741-2560;3270;3.295;3.743;0.752;137;3.9;0.00982;1.080;
J NEUROENG REHABIL;1743-0003;1995;2.740;3.512;0.383;167;4.5;0.00568;0.969;
J TISSUE ENG REGEN M;1932-6254;2634;5.199;4.328;0.861;101;3.4;0.00749;1.030;
J VIBROENG;1392-8716;362;0.617;0.461;0.058;365;2.3;0.00079;0.071;
LASER MED SCI;0268-8921;2815;2.489;2.546;0.512;240;4.3;0.00613;0.536;
MED BIOL ENG COMPUT;0140-0118;4278;1.726;2.005;0.378;98;9.5;0.00616;0.594;
MED ENG PHYS;1350-4533;4626;1.825;2.223;0.267;225;6.6;0.00884;0.626;
MED IMAGE ANAL;1361-8415;4058;3.654;4.454;0.647;102;6.5;0.00847;1.316;
ORGANOGENESIS;1547-6278;676;2.800;3.347;0.931;29;4.5;0.00238;1.042;
P I MECH ENG H;0954-4119;2095;1.329;1.530;0.194;129;7.2;0.00371;0.418;
PACE;0147-8389;5059;1.129;1.300;0.285;214;8.5;0.01048;0.492;
PHYS MED BIOL;0031-9155;20131;2.761;2.973;0.450;460;7.4;0.04082;0.971;
PHYSIOL MEAS;0967-3334;3524;1.808;1.895;0.438;185;7.2;0.00584;0.530;
REGEN MED;1746-0751;1327;2.786;3.639;0.396;53;4.4;0.00460;1.047;
SPORT BIOMECH;1476-3141;429;1.154;1.494;0.062;32;5.6;0.00093;0.358;
TECHNOL HEALTH CARE;0928-7329;522;0.697;;0.055;91;7.9;0.00085;;
TISSUE ENG REGEN MED;1738-2696;268;1.088;0.477;0.125;72;3.0;0.00066;0.087;
ULTRASONIC IMAGING;0161-7346;861;0.912;1.291;0.412;17;>10.0;0.00060;0.437;

