JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AATCC REV;1532-8813;194;0.254;0.267;0.059;17;9.7;0.00015;0.055;
ACS SUSTAIN CHEM ENG;2168-0485;1314;4.642;4.642;1.011;354;1.3;0.00292;0.900;
ADSORPT SCI TECHNOL;0263-6174;743;0.669;0.704;0.143;63;>10.0;0.00073;0.134;
ADSORPTION;0929-5607;1853;1.771;1.848;0.287;87;6.8;0.00261;0.423;
ADV POLYM TECH;0730-6679;862;1.045;1.215;0.202;84;>10.0;0.00095;0.258;
ADV POWDER TECHNOL;0921-8831;1898;2.638;2.387;0.377;247;3.4;0.00469;0.505;
AEROSOL SCI TECH;0278-6826;5528;2.413;2.751;0.410;134;9.3;0.00993;0.979;
AICHE J;0001-1541;19462;2.748;2.689;0.658;345;>10.0;0.01899;0.748;
ANNU REV CHEM BIOMOL;1947-5438;852;8.676;11.000;0.962;26;3.4;0.00461;3.873;
APPL CATAL B-ENVIRON;0926-3373;33001;7.435;7.490;2.539;685;5.3;0.05334;1.477;
APPL ENERG;0306-2619;23996;5.613;6.330;1.643;1260;3.1;0.05761;1.207;
ASIA-PAC J CHEM ENG;1932-2135;542;0.789;0.735;0.112;98;3.9;0.00149;0.165;
ATOMIZATION SPRAY;1044-5110;721;0.781;0.750;0.163;49;>10.0;0.00129;0.263;
BIOCHEM ENG J;1369-703X;6851;2.467;2.989;0.429;196;6.5;0.01112;0.705;
BIOPROC BIOSYST ENG;1615-7591;2192;1.997;2.028;0.311;267;4.1;0.00523;0.453;
BRAZ J CHEM ENG;0104-6632;1041;1.043;1.226;0.094;96;6.4;0.00145;0.248;
CAN J CHEM ENG;0008-4034;3937;1.231;1.254;0.263;224;>10.0;0.00379;0.311;
CATAL TODAY;0920-5861;28069;3.893;4.030;1.002;431;7.9;0.03730;0.900;
CENT EUR J ENERG MAT;1733-7178;218;1.250;;0.119;42;3.3;0.00059;;
CHEM BIOCHEM ENG Q;0352-9568;512;0.802;0.863;0.071;56;6.2;0.00082;0.186;
CHEM ENG COMMUN;0098-6445;1828;1.104;1.041;0.278;97;>10.0;0.00186;0.228;
CHEM ENG J;1385-8947;34076;4.321;4.621;1.048;1255;3.7;0.07967;0.945;
CHEM ENG NEWS;0009-2347;1201;0.269;0.195;0.087;356;9.3;0.00190;0.059;
CHEM ENG PROCESS;0255-2701;4674;2.071;2.339;0.262;145;6.8;0.00732;0.587;
CHEM ENG PROG;0360-7275;1698;0.333;0.452;0.115;52;>10.0;0.00054;0.122;
CHEM ENG RES DES;0263-8762;6454;2.348;2.528;0.354;277;6.8;0.01119;0.629;
CHEM ENG SCI;0009-2509;29067;2.337;2.674;0.470;447;9.7;0.03532;0.719;
CHEM ENG TECHNOL;0930-7516;4751;2.442;2.013;0.462;251;5.7;0.00792;0.423;
CHEM ENG-NEW YORK;0009-2460;333;0.330;0.255;0.055;55;>10.0;0.00034;0.077;
CHEM IND CHEM ENG Q;1451-9372;299;0.892;0.881;0.017;60;3.7;0.00082;0.185;
CHEM PHYS CARBON;0069-3138;256;1.333;1.667;;0;>10.0;0.00002;0.446;
