JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AI EDAM;0890-0604;389;0.604;1.075;0.148;27;7.8;0.00110;0.520;
ASSEMBLY AUTOM;0144-5154;446;0.913;0.973;0.150;40;7.4;0.00071;0.238;
CIRP ANN-MANUF TECHN;0007-8506;6790;2.542;2.971;0.113;151;8.3;0.00902;0.745;
COMPOS PART A-APPL S;1359-835X;11833;3.071;4.045;0.617;248;7.1;0.01830;0.995;
CONCURRENT ENG-RES A;1063-293X;312;0.851;0.703;0.037;27;9.0;0.00020;0.105;
DESIGN STUD;0142-694X;1224;1.295;1.770;0.320;25;>10.0;0.00142;0.589;
FLEX SERV MANUF J;1936-6582;167;1.872;1.765;0.600;25;2.6;0.00096;0.748;
IEEE T COMP PACK MAN;2156-3950;3816;1.180;1.264;0.157;223;7.5;0.00799;0.429;
IEEE T SEMICONDUCT M;0894-6507;1088;1.000;0.933;0.083;60;9.2;0.00147;0.280;
IEEE-ASME T MECH;1083-4435;4067;3.427;3.634;0.397;189;5.2;0.01110;1.163;
INT J ADV MANUF TECH;0268-3768;11128;1.458;1.693;0.216;967;5.2;0.02083;0.347;
INT J COMPUT INTEG M;0951-192X;910;1.012;1.143;0.247;81;5.8;0.00136;0.214;
INT J CRASHWORTHINES;1358-8265;554;0.569;0.745;0.040;50;7.4;0.00099;0.228;
INT J DES;1991-3761;188;0.732;1.188;0.103;29;5.0;0.00035;0.221;
INT J IND ENG-THEORY;1943-670X;193;0.396;0.404;0.000;29;6.6;0.00017;0.054;
INT J MACH TOOL MANU;0890-6955;7818;3.037;3.350;0.451;71;8.9;0.00879;0.954;
INT J MATER FORM;1960-6206;743;1.081;0.721;0.256;39;4.9;0.00278;0.247;
INT J PR ENG MAN-GT;2288-6206;56;;;1.273;44;;0.00000;;
INT J PRECIS ENG MAN;2234-7593;1468;1.205;1.391;0.135;341;2.9;0.00388;0.251;
INT J PROD ECON;0925-5273;11102;2.752;3.069;0.402;348;6.4;0.02024;0.810;
INT J PROD RES;0020-7543;9095;1.477;1.770;0.229;441;7.5;0.01319;0.412;
INT J SIMUL MODEL;1726-4529;142;2.083;;0.225;40;2.6;0.00032;;
J ADV MECH DES SYST;1881-3054;153;0.216;0.307;0.000;62;4.4;0.00052;0.087;
J COMPUT INF SCI ENG;1530-9827;386;0.373;0.608;0.049;41;7.9;0.00091;0.269;
J INTELL MANUF;0956-5515;1791;1.731;1.912;0.076;105;5.3;0.00299;0.369;
J MANUF SCI E-T ASME;1087-1357;2251;1.022;1.087;0.273;132;8.8;0.00285;0.308;
J MANUF SYST;0278-6125;946;1.682;2.078;0.290;62;8.6;0.00137;0.450;
J MATER PROCESS TECH;0924-0136;21097;2.236;2.660;0.359;329;9.1;0.02179;0.754;
J SCHEDULING;1094-6136;908;1.028;1.789;0.125;40;6.7;0.00313;0.865;
MACH SCI TECHNOL;1091-0344;456;0.703;1.062;0.138;29;8.0;0.00078;0.340;
MANUF ENG;0361-0853;113;0.079;0.096;0.007;140;9.9;0.00008;0.017;
MATER MANUF PROCESS;1042-6914;2512;1.629;1.534;0.176;193;4.4;0.00448;0.257;
P I MECH ENG B-J ENG;0954-4054;1897;0.954;0.991;0.057;176;6.6;0.00313;0.227;
PACKAG TECHNOL SCI;0894-3214;877;1.706;1.594;0.293;75;7.4;0.00094;0.293;
PRECIS ENG;0141-6359;1922;1.517;1.856;0.345;110;7.2;0.00411;0.622;
PROD OPER MANAG;1059-1478;2491;1.439;2.116;0.370;135;8.6;0.00509;0.929;
PROD PLAN CONTROL;0953-7287;1525;1.466;1.733;0.140;86;8.5;0.00132;0.281;
RES ENG DES;0934-9839;615;1.233;1.906;0.158;19;>10.0;0.00082;0.537;
ROBOT CIM-INT MANUF;0736-5845;1880;2.305;2.124;0.294;68;5.7;0.00416;0.570;
SOLDER SURF MT TECH;0954-0911;179;0.872;0.727;0.167;24;5.7;0.00032;0.166;

