JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA POLYTECH HUNG;1785-8860;271;0.649;0.606;0.061;114;3.1;0.00041;0.075;
ADV ENG INFORM;1474-0346;981;1.627;2.100;0.150;40;5.0;0.00284;0.663;
ADV ENG SOFTW;0965-9978;2023;1.402;1.584;0.378;119;5.8;0.00557;0.549;
AI EDAM;0890-0604;389;0.604;1.075;0.148;27;7.8;0.00110;0.520;
APPL MATH MODEL;0307-904X;7636;2.251;2.326;0.419;458;3.6;0.02546;0.656;
ARCH COMPUT METHOD E;1134-3060;798;3.680;5.485;0.286;14;6.4;0.00306;2.916;
ATOMIZATION SPRAY;1044-5110;721;0.781;0.750;0.163;49;>10.0;0.00129;0.263;
B POL ACAD SCI-TECH;0239-7528;555;0.914;0.845;0.224;98;4.1;0.00101;0.159;
BIOINSPIR BIOMIM;1748-3182;944;2.354;2.544;0.694;72;3.8;0.00362;0.962;
CMC-COMPUT MATER CON;1546-2218;374;0.964;0.798;0.167;48;3.7;0.00159;0.281;
CMES-COMP MODEL ENG;1526-1492;1518;1.030;0.987;0.324;102;5.3;0.00454;0.330;
COMBUST EXPLO SHOCK+;0010-5082;1288;0.572;0.670;0.126;103;>10.0;0.00111;0.152;
COMBUST FLAME;0010-2180;12685;3.082;3.557;0.679;274;9.2;0.01833;0.947;
COMBUST SCI TECHNOL;0010-2202;3135;0.991;1.068;0.119;134;>10.0;0.00286;0.373;
COMPOS PART B-ENG;1359-8368;8049;2.983;3.242;0.861;596;3.2;0.01868;0.774;
COMPUT APPL ENG EDUC;1061-3773;594;0.296;0.933;0.070;71;5.4;0.00057;0.098;
COMPUT METHOD APPL M;0045-7825;18357;2.959;3.395;0.669;290;>10.0;0.03318;1.641;
DESIGN STUD;0142-694X;1224;1.295;1.770;0.320;25;>10.0;0.00142;0.589;
DYNA-BILBAO;0012-7361;65;0.179;0.167;0.031;65;;0.00015;0.032;
EKSPLOAT NIEZAWODN;1507-2711;240;0.983;0.698;0.389;90;2.2;0.00046;0.113;
ENG ANAL BOUND ELEM;0955-7997;2529;1.392;1.450;0.408;147;6.4;0.00630;0.505;
ENG APPL ARTIF INTEL;0952-1976;3329;2.207;2.503;0.442;199;4.8;0.00797;0.645;
ENG APPL COMP FLUID;1994-2060;261;0.989;0.869;0.167;48;3.5;0.00087;0.231;
ENG COMPUTATION;0264-4401;1051;1.495;1.598;0.042;95;9.0;0.00219;0.544;
ENG OPTIMIZ;0305-215X;1169;1.076;1.287;0.143;91;7.5;0.00202;0.362;
ENG STUD;1937-8629;37;0.500;0.643;0.000;11;;0.00029;0.322;
FIRE TECHNOL;0015-2684;614;1.297;1.206;0.122;82;8.7;0.00140;0.421;
FORSCH INGENIEURWES;0015-7899;197;0.381;0.531;0.000;13;>10.0;0.00014;0.112;
IEEE T IND APPL;0093-9994;10577;1.756;2.275;0.198;435;>10.0;0.01646;0.819;
INDIAN J ENG MATER S;0971-4588;422;0.413;0.671;0.046;87;6.1;0.00078;0.162;
ING INVEST;0120-5609;54;0.193;0.109;0.095;42;;0.00016;0.033;
INSTRUM EXP TECH+;0020-4412;678;0.331;0.310;0.054;130;8.5;0.00131;0.112;
INT J COMP METH-SING;0219-8762;411;0.750;1.091;0.181;83;4.5;0.00180;0.466;
INT J CRIT INFR PROT;1874-5482;118;1.000;1.392;0.100;20;4.4;0.00057;0.481;
INT J DES;1991-3761;188;0.732;1.188;0.103;29;5.0;0.00035;0.221;
INT J ENG EDUC;0949-149X;725;0.582;0.478;0.083;157;6.5;0.00080;0.074;
INT J ENG SCI;0020-7225;5498;2.668;2.532;0.617;149;>10.0;0.00843;0.859;
INT J MULTISCALE COM;1543-1649;362;0.760;0.975;0.250;32;4.8;0.00154;0.478;
INT J NONLIN SCI NUM;1565-1339;769;1.545;0.906;0.068;44;5.7;0.00186;0.250;
INT J NUMER METH ENG;0029-5981;13768;2.055;2.694;0.329;167;>10.0;0.02580;1.275;
INT J PRES VES PIP;0308-0161;2198;1.283;1.537;0.275;69;8.7;0.00393;0.559;
INT J TECHNOL DES ED;0957-7572;170;0.429;0.506;0.000;26;5.6;0.00044;0.157;
INT J TECHNOL MANAGE;0267-5730;877;0.625;0.702;0.512;43;8.5;0.00108;0.191;
INT J UNCERTAIN QUAN;2152-5080;83;0.712;1.157;0.083;24;;0.00082;0.735;
INTEGR COMPUT-AID E;1069-2509;516;4.698;2.885;0.393;28;3.0;0.00128;0.617;
INVERSE PROBL SCI EN;1741-5977;447;0.868;0.903;0.259;81;4.0;0.00219;0.404;
ISA T;0019-0578;1691;2.984;2.815;0.254;201;4.2;0.00274;0.456;
ISSUES SCI TECHNOL;0748-5492;216;0.508;0.516;0.241;29;7.7;0.00058;0.234;
J AUDIO ENG SOC;1549-4950;938;1.123;0.971;0.111;54;>10.0;0.00082;0.210;
J BIONIC ENG;1672-6529;741;1.632;1.732;0.200;60;4.7;0.00184;0.388;
