JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AAPG BULL;0149-1423;8585;2.606;3.158;0.680;97;>10.0;0.00751;1.226;
ACTA CARSOLOGICA;0583-6050;349;0.451;0.994;0.080;25;6.9;0.00070;0.284;
ACTA GEOL SIN-ENGL;1000-9515;2705;1.682;1.495;0.174;149;8.4;0.00377;0.365;
ACTA MONTAN SLOVACA;1335-1788;178;0.329;0.374;0.074;27;5.8;0.00025;0.065;
ADV GEOPHYS;0065-2687;440;5.167;4.000;0.000;2;>10.0;0.00046;2.419;
ADV SPACE RES;0273-1177;7959;1.358;1.332;0.432;426;8.3;0.01543;0.498;
AM J SCI;0002-9599;7019;2.917;4.692;1.045;44;>10.0;0.00512;1.907;
ANN GEOPHYS-GERMANY;0992-7689;5618;1.709;1.741;0.398;123;8.3;0.01370;0.797;
ANN GLACIOL;0260-3055;3438;2.378;2.572;0.582;55;>10.0;0.00726;1.173;
ANNU REV EARTH PL SC;0084-6597;5801;8.582;9.950;1.133;30;>10.0;0.01202;6.310;
ANTARCT SCI;0954-1020;1977;1.606;1.811;0.257;74;9.6;0.00361;0.652;
ARAB J GEOSCI;1866-7511;1070;1.224;1.439;0.082;417;2.5;0.00239;0.211;
ARCHAEOL ANTHROP SCI;1866-9557;232;1.878;1.882;0.172;29;3.6;0.00138;0.728;
ARCHAEOL PROSPECT;1075-2196;487;1.917;2.217;0.385;26;5.5;0.00106;0.580;
ARCHAEOMETRY;0003-813X;1944;1.519;1.421;0.240;75;>10.0;0.00232;0.446;
ASTROBIOLOGY;1531-1074;2034;2.585;2.621;0.983;58;5.2;0.00735;1.096;
AUST J EARTH SCI;0812-0099;2145;1.575;1.656;0.794;63;>10.0;0.00281;0.592;
AUSTRIAN J EARTH SCI;2072-7151;155;0.774;0.874;0.778;18;4.0;0.00068;0.335;
B EARTHQ ENG;1570-761X;1146;1.884;2.094;0.416;125;3.9;0.00511;0.843;
B ENG GEOL ENVIRON;1435-9529;882;0.760;1.112;0.160;94;7.2;0.00155;0.323;
B GEOL SOC DENMARK;2245-7070;379;1.444;1.000;0.000;5;>10.0;0.00017;0.359;
B GEOSCI;1214-1119;540;1.515;1.582;0.775;40;4.0;0.00186;0.506;
B SOC GEOL FR;0037-9409;2267;1.074;1.435;0.231;26;>10.0;0.00170;0.500;
B VOLCANOL;0258-8900;4349;2.519;2.628;0.469;96;>10.0;0.00812;1.046;
BASIN RES;0950-091X;1916;2.732;2.803;1.000;34;9.3;0.00380;1.180;
