JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA BIOMATER;1742-7061;18776;6.025;6.589;1.337;496;3.9;0.05183;1.417;
ADV HEALTHC MATER;2192-2640;1857;5.797;5.812;1.273;209;1.7;0.00674;1.567;
ARTIF CELL BLOOD SUB;1073-1199;512;1.314;1.048;;0;8.1;0.00056;0.188;
ARTIF CELL NANOMED B;2169-1401;91;1.015;1.015;0.356;59;;0.00017;0.163;
BIO-MED MATER ENG;0959-2989;1130;1.091;1.280;0.493;438;7.2;0.00092;0.279;
BIOFABRICATION;1758-5082;839;4.289;4.752;0.681;72;3.1;0.00314;1.198;
BIOINSPIR BIOMIM;1748-3182;944;2.354;2.544;0.694;72;3.8;0.00362;0.962;
BIOINSPIR BIOMIM NAN;2045-9858;72;0.978;1.067;0.960;25;;0.00020;0.277;
BIOINTERPHASES;1934-8630;925;3.374;3.072;0.238;42;4.4;0.00223;0.780;
BIOMATER SCI-UK;2047-4830;593;3.831;3.831;0.844;167;1.3;0.00152;0.813;
BIOMATERIALS;0142-9612;93432;8.557;9.305;1.711;948;6.3;0.14867;2.005;
BIOMED MATER;1748-6041;2118;3.697;3.281;0.447;76;4.8;0.00496;0.719;
CELL POLYM;0262-4893;196;0.423;0.405;0.000;13;>10.0;0.00012;0.099;
COLLOID SURFACE B;0927-7765;17302;4.152;4.400;0.833;742;4.2;0.03445;0.847;
DENT MATER;0109-5641;9743;3.769;4.433;0.511;186;6.8;0.01338;0.947;
DENT MATER J;0287-4547;1632;0.968;1.357;0.113;115;6.0;0.00287;0.306;
EUR CELLS MATER;1473-2262;2581;4.886;5.984;0.635;52;4.7;0.00627;1.612;
INT J POLYM MATER PO;0091-4037;1465;3.568;2.376;0.633;120;2.7;0.00119;0.172;
J APPL BIOMATER FUNC;2280-8000;105;1.500;1.500;0.108;37;2.3;0.00024;0.227;
J BIOACT COMPAT POL;0883-9115;1104;2.352;2.558;0.209;43;5.9;0.00125;0.364;
J BIOBASED MATER BIO;1556-6560;503;0.653;0.909;0.062;80;5.0;0.00130;0.219;
J BIOMAT SCI-POLYM E;0920-5063;3795;1.648;1.852;0.271;133;8.1;0.00390;0.352;
J BIOMATER APPL;0885-3282;1372;2.197;2.559;0.464;138;4.4;0.00248;0.521;
J BIOMED MATER RES A;1549-3296;15555;3.369;3.451;0.707;464;6.0;0.02558;0.749;
J BIOMED MATER RES B;1552-4973;6770;2.759;2.902;0.597;191;5.8;0.01285;0.675;
J BIOMED NANOTECHNOL;1550-7033;3556;5.338;4.138;1.386;246;2.4;0.00578;0.533;
J BIONIC ENG;1672-6529;741;1.632;1.732;0.200;60;4.7;0.00184;0.388;
J MATER CHEM B;2050-750X;4180;4.726;4.729;0.980;864;1.4;0.00974;0.871;
J MATER SCI-MATER M;0957-4530;10099;2.587;2.831;0.466;247;6.6;0.01394;0.585;
J MECH BEHAV BIOMED;1751-6161;3426;3.417;3.478;0.550;351;2.9;0.01250;0.936;
J ORAL SCI;1343-4934;864;0.922;;0.042;48;5.5;0.00220;;
MACROMOL BIOSCI;1616-5187;5749;3.851;4.012;0.596;166;5.3;0.01147;0.924;
MAT SCI ENG C-MATER;0928-4931;9719;3.088;3.230;0.676;720;4.4;0.01889;0.624;

