JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
APPITA;1038-6807;511;0.609;0.458;0.056;18;>10.0;0.00036;0.100;
BIORESOURCES;1930-2126;3617;1.425;1.774;0.227;587;3.4;0.00953;0.367;
CELL CHEM TECHNOL;0576-9787;632;0.675;1.136;0.075;93;4.6;0.00210;0.383;
CELLULOSE;0969-0239;5929;3.573;4.285;0.655;388;4.6;0.00994;0.773;
DREWNO;1644-3985;36;0.300;0.286;0.000;29;;0.00007;0.047;
DRVNA IND;0012-6772;103;0.515;0.476;0.000;33;4.0;0.00019;0.079;
EUR J WOOD WOOD PROD;0018-3768;583;1.235;1.358;0.126;95;3.3;0.00213;0.337;
FOREST PROD J;0015-7473;1782;0.484;0.605;0.050;40;>10.0;0.00100;0.147;
HOLZFORSCHUNG;0018-3830;3645;1.565;1.917;0.282;117;9.9;0.00343;0.374;
J WOOD CHEM TECHNOL;0277-3813;807;1.588;1.798;0.333;18;>10.0;0.00090;0.458;
J WOOD SCI;1435-0211;1514;0.944;1.178;0.190;58;9.1;0.00145;0.249;
J-FOR;1927-6311;335;0.521;0.542;;;>10.0;0.00025;0.166;
MADERAS-CIENC TECNOL;0718-221X;168;0.733;0.739;0.100;40;4.8;0.00039;0.184;
MOKUZAI GAKKAISHI;0021-4795;512;0.057;0.122;0.000;30;>10.0;0.00018;0.061;
NORD PULP PAP RES J;0283-2631;1155;1.016;0.927;0.775;80;8.4;0.00126;0.224;
PULP PAP-CANADA;0316-4004;335;0.062;0.183;0.000;27;>10.0;0.00010;0.043;
TAPPI J;0734-1415;1997;0.732;0.703;0.290;62;>10.0;0.00060;0.140;
WOCHENBL PAPIERFABR;0043-7131;91;0.013;0.030;0.000;124;;0.00005;0.006;
WOOD FIBER SCI;0735-6161;1632;0.773;1.098;0.123;57;>10.0;0.00109;0.278;
WOOD RES-SLOVAKIA;1336-4561;165;0.364;0.399;0.015;65;4.3;0.00039;0.085;
WOOD SCI TECHNOL;0043-7719;2671;1.920;1.958;0.218;87;>10.0;0.00273;0.514;

