JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACS CHEM NEUROSCI;1948-7193;1877;4.362;4.363;1.024;126;2.4;0.00839;1.321;
ACTA NEUROBIOL EXP;0065-1400;993;1.286;1.732;0.068;44;7.5;0.00145;0.438;
ACTA NEUROL BELG;0300-9009;566;0.894;0.761;0.156;32;8.4;0.00114;0.231;
ACTA NEUROPATHOL;0001-6322;13098;10.762;9.762;2.500;116;6.7;0.03329;3.483;
ACTA NEUROPSYCHIATR;1601-5215;367;0.802;0.667;0.062;48;5.7;0.00088;0.195;
ACTAS ESP PSIQUIATRI;1139-9287;441;1.200;0.811;0.129;31;6.2;0.00089;0.217;
ACUPUNCTURE ELECTRO;0360-1293;217;0.824;0.745;0.000;11;>10.0;0.00008;0.104;
ALZHEIMERS RES THER;1758-9193;676;3.979;4.364;0.765;68;2.5;0.00329;1.451;
ANN NEUROL;0364-5134;32934;9.977;10.792;1.970;167;9.9;0.06054;4.176;
ANNU REV NEUROSCI;0147-006X;13226;19.320;25.920;1.320;25;>10.0;0.02423;13.624;
ARCH ITAL BIOL;0003-9829;588;1.488;1.608;0.000;5;>10.0;0.00127;0.522;
ARQ NEURO-PSIQUIAT;0004-282X;2148;0.843;0.994;0.304;148;7.3;0.00354;0.263;
ASN NEURO;1759-0914;557;4.017;4.137;0.625;24;3.2;0.00289;1.391;
AUDIOL NEURO-OTOL;1420-3030;1359;1.705;2.113;0.182;44;8.0;0.00261;0.711;
AUTON NEUROSCI-BASIC;1566-0702;2266;1.562;1.729;0.520;100;6.8;0.00442;0.500;
BEHAV BRAIN FUNCT;1744-9081;1303;1.972;2.684;0.133;45;5.2;0.00363;0.810;
BEHAV BRAIN RES;0166-4328;21129;3.028;3.298;0.585;562;6.4;0.04260;0.918;
BEHAV BRAIN SCI;0140-525X;7562;20.771;24.308;2.750;20;>10.0;0.01103;10.686;
BEHAV NEUROSCI;0735-7044;7930;2.728;3.082;0.485;68;>10.0;0.00778;0.982;
BEHAV PHARMACOL;0955-8810;2782;2.148;2.379;0.276;76;7.8;0.00429;0.645;
BIOL CYBERN;0340-1200;4105;1.713;1.786;0.192;52;>10.0;0.00295;0.662;
BIOL PSYCHIAT;0006-3223;40812;10.255;10.359;2.667;210;7.7;0.07948;3.553;
BIPOLAR DISORD;1398-5647;4886;4.965;5.282;0.966;88;6.3;0.01106;1.650;
BMC NEUROSCI;1471-2202;4101;2.665;3.066;0.398;133;5.3;0.01167;0.948;
BRAIN;0006-8950;44379;9.196;10.418;2.422;244;8.5;0.08489;3.846;
BRAIN BEHAV;2162-3279;368;2.243;2.229;0.205;83;2.3;0.00170;0.699;
BRAIN BEHAV EVOLUT;0006-8977;2138;2.013;2.423;0.488;43;>10.0;0.00247;0.746;
BRAIN BEHAV IMMUN;0889-1591;8218;5.889;5.895;1.278;205;4.7;0.02239;1.728;
BRAIN COGNITION;0278-2626;6209;2.477;3.335;0.582;141;8.5;0.01111;1.072;
BRAIN IMPAIR;1443-9646;210;0.809;1.167;0.000;21;5.4;0.00056;0.329;
BRAIN INJURY;0269-9052;4685;1.808;2.126;0.305;177;8.2;0.00701;0.602;
BRAIN LANG;0093-934X;6019;3.215;3.637;0.602;93;>10.0;0.00926;1.230;
BRAIN PATHOL;1015-6305;3976;4.643;3.969;1.029;70;7.2;0.00814;1.325;
BRAIN RES;0006-8993;57922;2.843;2.988;0.437;561;>10.0;0.06412;0.890;
BRAIN RES BULL;0361-9230;8735;2.718;2.771;0.474;114;>10.0;0.01042;0.769;
BRAIN STIMUL;1935-861X;1920;4.399;4.737;0.949;117;2.9;0.00683;1.433;
BRAIN STRUCT FUNCT;1863-2653;2478;5.618;6.935;1.354;147;3.8;0.01071;2.435;
BRAIN TOPOGR;0896-0267;1776;3.468;3.716;1.164;67;6.3;0.00385;1.166;
CELL MOL NEUROBIOL;0272-4340;3224;2.506;2.134;0.527;112;6.6;0.00591;0.552;
CEPHALALGIA;0333-1024;7097;4.891;3.736;0.926;121;7.6;0.01114;0.986;
CEREB CORTEX;1047-3211;26191;8.665;8.335;2.043;282;6.7;0.06927;3.290;
CEREBELLUM;1473-4222;1872;2.717;2.786;0.759;83;4.4;0.00502;0.805;
CESK SLOV NEUROL N;1210-7859;161;0.165;0.200;0.189;106;4.5;0.00009;0.011;
CHEM SENSES;0379-864X;4252;3.157;3.199;0.507;67;9.5;0.00572;0.998;
CHEMOSENS PERCEPT;1936-5802;255;1.302;1.733;0.250;16;4.3;0.00092;0.499;
CLIN AUTON RES;0959-9851;1223;1.487;1.737;0.424;33;9.5;0.00192;0.577;
CLIN EEG NEUROSCI;1550-0594;683;2.219;2.585;0.395;43;4.8;0.00193;0.691;
CLIN NEUROPHYSIOL;1388-2457;14470;3.097;3.356;1.064;264;8.0;0.02149;1.003;
CNS NEUROL DISORD-DR;1871-5273;1844;2.628;3.148;0.506;172;4.0;0.00511;0.780;
CNS NEUROSCI THER;1755-5930;1745;3.931;4.000;0.773;110;2.8;0.00627;1.032;
COGN AFFECT BEHAV NE;1530-7026;3093;3.287;4.415;0.679;106;7.2;0.00647;1.538;
COGN COMPUT;1866-9956;373;1.440;1.731;0.485;68;3.3;0.00108;0.353;
COGN NEURODYNAMICS;1871-4080;425;1.671;1.769;0.217;46;4.0;0.00108;0.375;
COGN NEUROSCI-UK;1758-8928;304;2.653;2.891;0.444;27;3.2;0.00169;1.056;
COGN SYST RES;1389-0417;408;0.831;1.311;0.526;19;6.0;0.00117;0.496;
COMPUT INTEL NEUROSC;1687-5265;627;0.596;;0.030;66;3.6;0.00326;;
CORTEX;0010-9452;6768;5.128;5.014;0.966;178;5.8;0.01690;1.623;
CURR ALZHEIMER RES;1567-2050;2813;3.889;3.933;0.558;104;4.3;0.00778;1.056;
CURR NEUROL NEUROSCI;1528-4042;1662;3.059;3.100;0.326;86;4.2;0.00601;1.054;
CURR NEUROPHARMACOL;1570-159X;1392;3.049;3.799;0.512;41;5.0;0.00381;0.982;
CURR NEUROVASC RES;1567-2026;769;2.253;2.409;0.452;42;5.5;0.00158;0.580;
CURR OPIN NEUROBIOL;0959-4388;12732;6.628;7.284;1.604;164;8.2;0.03380;3.559;
CURR OPIN NEUROL;1350-7540;4789;5.307;5.004;0.828;87;6.0;0.01265;1.732;
DEV COGN NEUROS-NETH;1878-9293;759;3.833;4.582;0.625;56;2.7;0.00421;1.677;
DEV DISABIL RES REV;1940-5510;590;2.750;3.728;;0;5.4;0.00223;1.235;
DEV NEUROBIOL;1932-8451;2333;3.370;3.791;1.337;86;4.0;0.00952;1.476;
DEV NEUROSCI-BASEL;0378-5866;2056;2.697;3.701;0.128;47;8.4;0.00401;1.197;
ENCEPHALE;0013-7006;1075;0.698;0.653;0.182;88;9.0;0.00121;0.139;
EUR J NEUROL;1351-5101;7843;4.055;3.786;0.734;214;5.3;0.02084;1.173;
EUR J NEUROSCI;0953-816X;27855;3.181;3.705;0.658;348;8.9;0.04190;1.325;
EUR J PAIN;1090-3801;5015;2.928;3.508;0.720;150;5.7;0.01440;1.237;
EUR NEUROL;0014-3022;2749;1.356;1.619;0.239;113;>10.0;0.00452;0.525;
EUR NEUROPSYCHOPHARM;0924-977X;5171;4.369;4.754;0.799;189;5.2;0.01259;1.374;
EXP BRAIN RES;0014-4819;21546;2.036;2.419;0.415;359;>10.0;0.02551;0.769;
EXP NEUROL;0014-4886;18541;4.696;4.542;0.888;223;8.2;0.03135;1.398;
FOLIA NEUROPATHOL;1641-4640;555;1.568;1.368;0.163;43;5.8;0.00095;0.293;
FRONT AGING NEUROSCI;1663-4365;1127;4.000;4.725;0.586;302;2.1;0.00446;1.403;
FRONT BEHAV NEUROSCI;1662-5153;2195;3.270;3.863;0.652;419;2.8;0.01051;1.351;
FRONT CELL NEUROSCI;1662-5102;1941;4.289;4.289;0.711;395;1.6;0.00816;1.350;
FRONT COMPUT NEUROSC;1662-5188;1096;2.201;2.500;0.416;149;2.4;0.00562;0.899;
FRONT HUM NEUROSCI;1662-5161;6818;3.626;4.086;0.545;887;2.2;0.03113;1.302;
FRONT MOL NEUROSCI;1662-5099;1206;4.084;;1.022;91;2.8;0.00599;;
FRONT NEURAL CIRCUIT;1662-5110;1492;3.568;3.677;0.393;135;2.0;0.00919;1.543;
FRONT NEUROANAT;1662-5129;1100;3.544;4.389;0.596;151;3.5;0.00523;1.491;
FRONT NEUROENDOCRIN;0091-3022;3146;7.037;9.656;2.556;36;5.9;0.00801;3.212;
FRONT NEUROINFORM;1662-5196;864;3.261;;0.709;86;3.8;0.00390;;
FRONT NEUROSCI-SWITZ;1662-453X;3010;3.656;;0.508;378;2.7;0.01477;;
GAIT POSTURE;0966-6362;9407;2.752;3.185;0.560;334;6.5;0.01750;0.866;
GENES BRAIN BEHAV;1601-1848;3417;3.661;3.662;0.976;82;5.7;0.00873;1.155;
GLIA;0894-1491;11659;6.031;5.511;1.980;147;7.4;0.02283;1.782;
HEARING RES;0378-5955;8327;2.968;3.143;1.238;130;>10.0;0.01353;1.069;
HIPPOCAMPUS;1050-9631;8156;4.162;4.510;0.849;146;7.8;0.01624;1.542;
HUM BRAIN MAPP;1065-9471;16505;5.969;6.687;1.176;454;6.0;0.04232;2.288;
HUM MOVEMENT SCI;0167-9457;3170;1.598;2.255;0.273;132;8.1;0.00504;0.673;
IDEGGYOGY SZEMLE;0019-1442;125;0.386;0.284;0.145;62;4.5;0.00018;0.048;
IEEE T AUTON MENT DE;1943-0604;256;1.478;2.205;0.450;20;4.1;0.00125;0.704;
INT J DEV NEUROSCI;0736-5748;2982;2.580;2.613;0.352;105;7.4;0.00535;0.724;
INT J NEUROPSYCHOPH;1461-1457;4959;4.009;4.533;0.977;175;4.6;0.01369;1.273;
INT J NEUROSCI;0020-7454;2625;1.521;1.399;0.535;127;9.1;0.00373;0.381;
INT J PSYCHOPHYSIOL;0167-8760;6171;2.882;2.923;0.496;135;7.9;0.01129;0.910;
INT REV NEUROBIOL;0074-7742;2088;1.921;2.406;0.066;61;7.3;0.00415;0.693;
INVERTEBR NEUROSCI;1354-2516;310;0.900;1.059;0.333;12;7.4;0.00029;0.270;
J ALZHEIMERS DIS;1387-2877;11601;4.151;4.365;1.097;526;3.9;0.03646;1.137;
J CEREBR BLOOD F MET;0271-678X;15903;5.407;5.455;0.974;232;8.0;0.02926;1.785;
J CHEM NEUROANAT;0891-0618;1951;1.500;2.306;0.453;53;>10.0;0.00280;0.665;
