JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ANN NUCL ENERGY;0306-4549;2898;0.960;0.985;0.304;516;5.2;0.00783;0.325;
APPL RADIAT ISOTOPES;0969-8043;6467;1.231;1.231;0.192;448;7.7;0.01173;0.349;
ATOM ENERGY+;1063-4258;227;0.089;0.076;0.008;133;>10.0;0.00032;0.033;
ATW-INT J NUCL POWER;1431-5254;30;0.040;0.040;0.022;91;;0.00006;0.009;
FUSION ENG DES;0920-3796;5601;1.152;1.168;0.148;527;5.6;0.01426;0.358;
FUSION SCI TECHNOL;1536-1055;1321;0.486;0.480;0.184;98;5.6;0.00569;0.246;
HEALTH PHYS;0017-9078;3859;1.271;1.339;0.370;146;>10.0;0.00541;0.411;
IEEE T NUCL SCI;0018-9499;10640;1.283;1.378;0.259;499;8.6;0.01689;0.412;
INT J ENERG RES;0363-907X;3857;2.418;2.664;0.509;173;6.4;0.00525;0.514;
INT J RADIAT BIOL;0955-3002;4211;1.687;1.949;0.738;145;>10.0;0.00508;0.543;
J FUSION ENERG;0164-0313;606;0.985;0.924;0.297;118;4.1;0.00150;0.206;
J NUCL MATER;0022-3115;21569;1.865;1.931;0.432;694;8.2;0.04098;0.636;
J NUCL SCI TECHNOL;0022-3131;2693;1.118;1.168;0.188;133;>10.0;0.00488;0.462;
J RADIOANAL NUCL CH;0236-5731;5998;1.034;1.024;0.220;732;5.9;0.00877;0.196;
J RADIOL PROT;0952-4746;769;1.702;1.553;0.329;70;5.6;0.00200;0.489;
KERNTECHNIK;0932-3902;125;0.179;0.197;0.058;69;5.6;0.00031;0.062;
NUCL ENG DES;0029-5493;7194;0.952;1.131;0.202;610;8.2;0.01421;0.394;
NUCL ENG INT;0029-5507;79;0.088;0.088;0.011;93;;0.00025;0.042;
NUCL ENG TECHNOL;1738-5733;594;0.770;0.737;0.069;87;5.6;0.00275;0.399;
NUCL INSTRUM METH A;0168-9002;23666;1.216;1.165;0.387;1030;8.8;0.04550;0.415;
NUCL INSTRUM METH B;0168-583X;15706;1.124;1.226;0.254;619;9.2;0.02368;0.407;
NUCL SCI ENG;0029-5639;1942;0.657;0.813;0.222;90;>10.0;0.00198;0.376;
NUCL SCI TECH;1001-8042;189;0.401;0.302;0.125;112;3.4;0.00060;0.095;
NUCL TECHNOL;0029-5450;1620;0.725;0.607;0.165;103;>10.0;0.00371;0.289;
NUCL TECHNOL RADIAT;1451-3994;156;0.560;0.579;0.086;58;3.4;0.00058;0.166;
PROBL ATOM SCI TECH;1562-6016;201;0.136;0.106;0.004;247;3.6;0.00062;0.027;
PROG NUCL ENERG;0149-1970;1516;1.119;1.106;0.365;208;6.2;0.00458;0.485;
RADIAT EFF DEFECT S;1042-0150;1144;0.513;0.508;0.134;112;>10.0;0.00120;0.134;
RADIAT MEAS;1350-4487;5601;1.213;1.362;0.207;203;7.5;0.01005;0.439;
RADIAT PHYS CHEM;0969-806X;5789;1.380;1.404;0.403;506;8.7;0.00700;0.322;
RADIAT PROT DOSIM;0144-8420;5081;0.913;0.966;0.121;365;8.4;0.00881;0.313;
RADIOCHIM ACTA;0033-8230;2544;1.014;1.226;0.221;113;>10.0;0.00280;0.338;
RADIOPROTECTION;0033-8451;224;0.540;0.883;0.176;34;5.6;0.00074;0.320;
SCI TECHNOL NUCL INS;1687-6075;197;0.627;0.591;0.122;74;2.7;0.00122;0.302;

