JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA PAUL ENFERM;0103-2100;343;0.298;0.369;0.000;90;4.9;0.00081;0.076;
ADV NEONAT CARE;1536-0903;449;1.122;;0.064;47;5.5;0.00107;;
ADV NURS SCI;0161-9268;993;0.827;1.191;0.071;28;>10.0;0.00091;0.331;
ADV SKIN WOUND CARE;1527-7941;782;1.106;1.475;0.148;54;7.2;0.00129;0.399;
AM J CRIT CARE;1062-3264;1851;2.115;2.193;0.339;56;7.9;0.00254;0.541;
AM J NURS;0002-936X;1335;1.298;1.651;0.220;41;8.7;0.00203;0.545;
APPL NURS RES;0897-1897;815;0.733;1.144;0.133;45;9.4;0.00114;0.356;
ARCH PSYCHIAT NURS;0883-9417;831;0.852;1.308;0.188;64;7.9;0.00136;0.382;
ASIAN NURS RES;1976-1317;138;1.000;0.770;0.114;44;3.5;0.00043;0.213;
ASSIST INFERM RIC;1592-5986;65;0.315;0.371;0.138;29;;0.00012;0.070;
AUST CRIT CARE;1036-7314;315;1.562;1.358;0.160;25;6.3;0.00075;0.431;
AUST J ADV NURS;0813-0531;406;0.220;0.627;0.050;20;7.7;0.00043;0.166;
AUST J RURAL HEALTH;1038-5282;834;1.225;1.468;0.064;47;6.5;0.00173;0.436;
BARIAT NURS SURG PAT;1557-1459;47;0.115;0.192;;0;;0.00008;0.051;
BARIATR SURG PRACT P;2168-023X;8;0.150;0.150;0.172;29;;0.00000;0.000;
BIOL RES NURS;1099-8004;681;1.427;1.564;0.479;48;5.6;0.00165;0.472;
BIRTH-ISS PERINAT C;0730-7659;1796;1.264;2.613;0.295;44;8.6;0.00241;0.761;
CANCER NURS;0162-220X;2390;1.966;2.112;0.306;85;8.5;0.00399;0.673;
CIN-COMPUT INFORM NU;1538-2931;539;0.758;1.056;0.038;52;4.8;0.00118;0.246;
CLIN J ONCOL NURS;1092-1095;800;0.910;1.083;0.219;137;5.4;0.00164;0.276;
CLIN NURS RES;1054-7738;482;1.278;1.317;0.081;37;8.9;0.00082;0.420;
CLIN NURSE SPEC;0887-6274;383;0.986;1.182;0.229;35;5.9;0.00064;0.255;
COLLEGIAN;1322-7696;306;1.175;1.488;0.067;45;5.0;0.00075;0.368;
CONTEMP NURSE;1037-6178;744;0.650;0.908;0.203;69;6.5;0.00126;0.227;
CRIT CARE NURS CLIN;0899-5885;268;0.488;;0.000;48;7.8;0.00038;;
CRIT CARE NURSE;0279-5442;562;1.556;1.471;0.053;38;6.1;0.00116;0.390;
EUR J CANCER CARE;0961-5423;1598;1.564;1.590;0.570;86;6.0;0.00363;0.483;
EUR J CARDIOVASC NUR;1474-5151;854;1.876;1.894;0.589;56;5.7;0.00171;0.476;
EUR J ONCOL NURS;1462-3889;1129;1.426;1.814;0.239;92;5.1;0.00296;0.517;
GASTROENTEROL NURS;1042-895X;308;0.688;0.887;0.028;36;6.8;0.00071;0.279;
GERIATR NURS;0197-4572;592;1.200;1.352;0.145;62;6.6;0.00113;0.391;
HEART LUNG;0147-9563;1710;1.290;1.521;0.309;110;>10.0;0.00244;0.435;
HOLIST NURS PRACT;0887-9311;433;0.622;0.718;0.095;42;8.7;0.00057;0.179;
INT EMERG NURS;1755-599X;195;0.703;;0.243;37;4.2;0.00063;;
INT J MENT HEALTH NU;1445-8330;922;1.950;1.925;0.226;62;5.2;0.00187;0.439;
INT J NURS KNOWL;2047-3087;23;0.404;0.404;0.138;29;;0.00007;0.100;
INT J NURS PRACT;1322-7114;979;0.599;0.969;0.133;90;6.9;0.00190;0.281;
INT J NURS STUD;0020-7489;4878;2.901;3.207;0.392;153;5.8;0.01141;0.924;
INT NURS REV;0020-8132;807;0.948;1.324;0.226;62;5.5;0.00187;0.354;
J ADDICT NURS;1088-4602;119;0.453;0.595;0.167;24;4.9;0.00028;0.150;
J ADV NURS;0309-2402;12024;1.741;2.296;0.259;239;9.5;0.01298;0.655;
J AM ACAD NURSE PRAC;1041-2972;944;1.017;1.121;;0;6.2;0.00202;0.329;
J AM ASSOC NURSE PRA;2327-6886;48;;;0.272;81;;0.00009;;
J AM PSYCHIAT NURSES;1078-3903;287;0.977;;0.400;20;6.0;0.00065;;
J ASSOC NURSE AIDS C;1055-3290;747;1.274;1.488;0.292;65;5.9;0.00165;0.425;
J CARDIOVASC NURS;0889-4655;1176;2.053;2.193;0.484;64;5.4;0.00301;0.642;
J CHILD HEALTH CARE;1367-4935;373;0.875;1.106;0.273;33;6.0;0.00084;0.332;
J CLIN NURS;0962-1067;6524;1.255;1.696;0.186;344;6.1;0.01369;0.477;
J COMMUN HEALTH NURS;0737-0016;261;0.475;0.600;0.053;19;>10.0;0.00029;0.181;
J CONTIN EDUC NURS;0022-0124;582;0.519;0.902;0.118;68;6.0;0.00119;0.236;
J EMERG NURS;0099-1767;756;0.787;0.804;0.193;88;7.4;0.00121;0.208;
J FAM NURS;1074-8407;422;1.342;1.663;0.050;20;7.0;0.00061;0.380;
J GERONTOL NURS;0098-9134;1071;1.016;1.022;0.227;66;8.5;0.00152;0.295;
J HOSP PALLIAT NURS;1522-2179;247;0.439;0.592;0.033;60;5.1;0.00052;0.137;
J HUM LACT;0890-3344;1096;1.985;1.838;0.293;58;7.3;0.00175;0.459;
J KOREAN ACAD NURS;2005-3673;359;0.380;0.428;0.083;72;5.4;0.00066;0.090;
J MIDWIFERY WOM HEAL;1526-9523;1269;1.067;1.531;1.085;71;6.2;0.00240;0.427;
J NEUROSCI NURS;0888-0395;585;0.815;1.095;0.073;55;6.9;0.00108;0.308;
J NURS ADMIN;0002-0443;1934;1.273;1.611;0.237;97;7.9;0.00287;0.432;
J NURS CARE QUAL;1057-3631;686;1.389;1.314;0.180;50;6.6;0.00129;0.364;
J NURS EDUC;0148-4834;1666;0.910;1.170;0.048;125;7.6;0.00211;0.244;
J NURS MANAGE;0966-0429;2059;1.500;2.182;0.091;99;5.5;0.00471;0.557;
J NURS RES;1682-3141;387;0.970;1.117;0.061;33;6.3;0.00079;0.307;
J NURS SCHOLARSHIP;1527-6546;1573;1.636;2.138;0.128;47;8.0;0.00251;0.642;
J PEDIATR HEALTH CAR;0891-5245;734;1.440;1.890;0.137;51;6.4;0.00168;0.584;
J PEDIATR NURS;0882-5963;1145;1.006;;0.795;83;7.1;0.00182;;
J PEDIATR ONCOL NURS;1043-4542;655;0.903;1.408;0.182;33;7.4;0.00119;0.429;
J PERIANESTH NURS;1089-9472;360;0.943;1.121;0.178;45;6.5;0.00057;0.253;
J PERINAT NEONAT NUR;0893-2190;492;1.100;1.083;0.219;32;7.5;0.00073;0.273;
J PROF NURS;8755-7223;868;0.945;1.231;0.048;62;7.9;0.00122;0.301;
J PSYCHIATR MENT HLT;1351-0126;1649;0.844;1.250;0.136;110;6.8;0.00288;0.330;
J PSYCHOSOC NURS MEN;0279-3695;554;0.723;0.764;0.233;60;6.6;0.00085;0.176;
J SCH NURS;1059-8405;468;1.112;1.090;0.085;47;5.7;0.00110;0.314;
J SPEC PEDIATR NURS;1539-0136;389;0.923;1.323;0.267;30;5.4;0.00100;0.383;
J TISSUE VIABILITY;0965-206X;217;1.129;;0.235;17;4.8;0.00061;;
J TRANSCULT NURS;1043-6596;664;0.659;1.041;0.109;46;7.7;0.00104;0.296;
J WOUND OSTOMY CONT;1071-5754;845;1.177;1.236;0.161;62;6.3;0.00120;0.241;
JNP-J NURSE PRACT;1555-4155;138;0.231;;0.041;74;4.0;0.00040;;
JOGNN-J OBST GYN NEO;0884-2175;1761;1.024;1.458;0.213;80;8.0;0.00267;0.430;
JPN J NURS SCI;1742-7932;84;0.388;0.602;0.094;32;;0.00026;0.168;
MCN-AM J MATERN-CHIL;0361-929X;590;0.898;0.923;0.143;42;7.9;0.00087;0.264;
