JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA ADRIAT;0001-5113;251;0.655;0.661;0.000;20;8.8;0.00032;0.175;
ACTA OCEANOL SIN;0253-505X;1081;0.747;0.910;0.143;182;7.0;0.00170;0.224;
ANNU REV MAR SCI;1941-1405;1976;14.356;16.008;4.444;18;3.7;0.01305;6.964;
APPL OCEAN RES;0141-1187;1245;1.287;1.532;0.272;92;9.4;0.00252;0.604;
ATMOS OCEAN;0705-5900;1097;1.398;1.574;0.276;29;>10.0;0.00166;0.674;
AUST METEOROL OCEAN;1836-716X;192;0.939;1.247;0.000;12;4.4;0.00168;0.686;
B MAR SCI;0007-4977;4508;1.306;1.475;1.745;51;>10.0;0.00218;0.527;
BRAZ J OCEANOGR;1679-8759;354;0.662;0.843;0.100;30;5.4;0.00094;0.257;
CHIN J OCEANOL LIMN;0254-4059;836;0.657;0.734;0.062;144;4.8;0.00218;0.190;
CONT SHELF RES;0278-4343;8048;1.892;2.495;0.615;226;8.6;0.01361;0.857;
DEEP-SEA RES PT I;0967-0637;6450;2.566;2.900;0.482;137;9.9;0.01139;1.154;
DEEP-SEA RES PT II;0967-0645;8566;2.190;2.782;0.626;206;8.6;0.01652;1.102;
DYNAM ATMOS OCEANS;0377-0265;744;1.600;1.992;0.318;22;9.6;0.00192;0.976;
ENVIRON FLUID MECH;1567-7419;548;1.297;1.617;0.429;63;5.7;0.00174;0.658;
ESTUAR COAST SHELF S;0272-7714;12856;2.057;2.603;0.519;258;8.3;0.01884;0.801;
FISH OCEANOGR;1054-6006;2012;2.543;2.788;0.457;35;9.8;0.00272;0.958;
GEO-MAR LETT;0276-0460;1568;2.122;2.286;1.053;38;>10.0;0.00230;0.689;
HELGOLAND MAR RES;1438-387X;1422;1.364;1.561;0.255;47;>10.0;0.00163;0.447;
ICES J MAR SCI;1054-3139;8113;2.377;2.576;1.030;237;8.3;0.01352;0.839;
IEEE J OCEANIC ENG;0364-9059;2108;1.175;1.196;0.234;64;>10.0;0.00277;0.534;
INDIAN J GEO-MAR SCI;0379-5136;115;0.294;0.351;0.024;124;2.9;0.00043;0.086;
IZV ATMOS OCEAN PHY+;0001-4338;686;0.568;0.637;0.219;105;6.8;0.00156;0.212;
J MAR RES;0022-2402;2663;1.562;1.562;0.143;7;>10.0;0.00217;0.894;
J MARINE SYST;0924-7963;5869;2.508;3.112;1.535;215;6.8;0.01131;1.052;
J NAVIGATION;0373-4633;659;0.949;0.926;0.136;66;7.9;0.00113;0.278;
J OCEAN U CHINA;1672-5182;457;0.558;;0.106;142;6.6;0.00085;;
J OCEANOGR;0916-8370;2175;1.271;1.682;0.133;45;>10.0;0.00389;0.727;
J OPER OCEANOGR;1755-876X;84;1.050;1.383;0.545;11;;0.00041;0.548;
J PHYS OCEANOGR;0022-3670;12647;2.856;3.124;0.756;180;>10.0;0.01847;1.411;
J PLANKTON RES;0142-7873;6323;2.407;2.641;0.413;138;>10.0;0.00792;0.825;
J SEA RES;1385-1101;2723;1.990;2.366;0.917;169;7.0;0.00457;0.663;
LIMNOL OCEANOGR;0024-3590;25599;3.794;4.372;0.575;167;>10.0;0.02473;1.639;
LIMNOL OCEANOGR-METH;1541-5856;1809;2.254;2.499;0.167;66;6.2;0.00526;0.983;
MAR CHEM;0304-4203;8354;2.735;3.636;0.588;85;>10.0;0.00832;1.296;
MAR ECOL PROG SER;0171-8630;35837;2.619;3.102;0.529;484;>10.0;0.04306;0.983;
MAR FRESHWATER RES;1323-1650;3868;1.474;2.141;0.255;106;8.8;0.00710;0.699;
MAR GEOD;0149-0419;686;1.306;1.906;0.087;23;6.0;0.00235;0.819;
MAR GEOL;0025-3227;11232;2.710;3.375;0.846;169;>10.0;0.01312;1.151;
MAR GEOPHYS RES;0025-3235;806;1.264;1.457;0.107;28;>10.0;0.00116;0.577;
MAR GEORESOUR GEOTEC;1064-119X;213;0.644;0.637;0.083;24;8.1;0.00039;0.217;
MAR TECHNOL SOC J;0025-3324;554;0.434;0.693;0.103;58;9.1;0.00121;0.275;
NAV ENG J;0028-1425;167;0.074;0.140;0.000;32;>10.0;0.00019;0.061;
NEW ZEAL J MAR FRESH;0028-8330;1632;0.800;1.042;0.512;43;>10.0;0.00126;0.331;
OCEAN COAST MANAGE;0964-5691;2672;1.748;2.000;0.367;251;5.8;0.00545;0.533;
OCEAN DYNAM;1616-7341;1759;1.943;2.071;0.457;116;4.8;0.00621;0.820;
OCEAN ENG;0029-8018;3891;1.351;1.731;0.225;333;6.4;0.00878;0.555;
OCEAN MODEL;1463-5003;2687;2.927;2.980;0.725;69;5.7;0.01006;1.383;
OCEAN SCI;1812-0784;1069;2.232;2.603;0.551;69;4.3;0.00611;1.222;
OCEAN SCI J;1738-5261;272;1.605;;0.075;40;3.1;0.00115;;
OCEANOGR MAR BIOL;0078-3218;2205;4.091;6.607;0.167;6;>10.0;0.00106;2.391;
OCEANOGRAPHY;1042-8275;2440;2.935;3.975;1.109;64;5.7;0.00949;1.845;
OCEANOL HYDROBIOL ST;1730-413X;318;0.670;0.626;0.059;51;5.3;0.00068;0.150;
OCEANOLOGIA;0078-3234;675;1.000;1.346;0.283;46;8.1;0.00107;0.353;
OCEANOLOGY+;0001-4370;821;0.638;0.600;0.111;81;>10.0;0.00146;0.211;
PALEOCEANOGRAPHY;0883-8305;6835;3.738;4.083;0.580;81;>10.0;0.01241;2.159;
POLAR RES;0800-0395;1195;1.141;1.894;0.400;35;>10.0;0.00215;0.716;
PROG OCEANOGR;0079-6611;6171;3.025;4.512;1.054;129;8.0;0.01241;1.772;
REV BIOL MAR OCEANOG;0717-3326;407;0.574;0.601;0.071;56;5.9;0.00087;0.163;
TELLUS A;0280-6495;2571;1.756;2.611;0.308;65;8.6;0.00659;1.393;
TERR ATMOS OCEAN SCI;1017-0839;935;0.703;0.971;0.106;66;8.1;0.00205;0.376;
THALASSAS;0212-5919;114;0.130;0.732;0.071;14;6.7;0.00028;0.251;

