JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AJAR-AFR J AIDS RES;1608-5906;307;0.790;0.897;0.268;41;5.3;0.00087;0.282;
AM J EPIDEMIOL;0002-9262;35307;5.230;5.632;1.404;265;>10.0;0.05589;2.385;
AM J IND MED;0271-3586;4806;1.737;1.988;0.388;129;>10.0;0.00597;0.639;
AM J INFECT CONTROL;0196-6553;5892;2.206;2.495;0.269;305;6.4;0.01327;0.808;
AM J PREV MED;0749-3797;15857;4.527;5.395;1.140;215;6.7;0.04177;2.132;
AM J PUBLIC HEALTH;0090-0036;29771;4.552;5.101;1.029;522;9.8;0.05767;2.157;
AM J TROP MED HYG;0002-9637;19664;2.699;2.907;0.551;390;9.8;0.02854;0.937;
AN SIST SANIT NAVAR;1137-6627;205;0.436;0.407;0.100;30;4.9;0.00028;0.064;
ANN AGR ENV MED;1232-1966;1235;1.126;1.232;0.090;167;6.4;0.00196;0.263;
ANN EPIDEMIOL;1047-2797;5522;2.000;2.789;0.410;139;8.2;0.01067;1.124;
ANN GLOB HEALTH;2214-9996;9;;;0.220;41;;0.00000;;
ANN HUM BIOL;0301-4460;1604;1.273;1.540;0.230;74;9.4;0.00279;0.486;
ANN I SUPER SANITA;0021-2571;636;1.111;1.172;0.267;45;6.0;0.00140;0.337;
ANN OCCUP HYG;0003-4878;2636;2.101;2.035;0.425;87;9.1;0.00404;0.591;
ANNU REV PUBL HEALTH;0163-7525;4090;6.469;7.365;1.962;26;9.1;0.00673;3.364;
ARCH ENVIRON OCCUP H;1933-8244;1811;0.932;1.142;0.357;28;>10.0;0.00098;0.399;
ARCH LEBENSMITTELHYG;0003-925X;134;0.464;0.325;;0;9.7;0.00018;0.098;
ARCH MAL PROF ENVIRO;1775-8785;90;0.095;0.119;0.079;38;;0.00012;0.022;
ARH HIG RADA TOKSIKO;0004-1254;447;0.932;1.120;0.051;39;5.0;0.00111;0.254;
ASIA-PAC J PUBLIC HE;1010-5395;771;1.459;1.378;0.246;57;4.0;0.00232;0.383;
ASIAN PAC J TROP MED;1995-7645;799;1.062;0.826;0.136;191;2.8;0.00279;0.189;
AUST J PRIM HEALTH;1448-7527;395;0.960;1.075;0.107;56;4.3;0.00117;0.307;
AUST J RURAL HEALTH;1038-5282;834;1.225;1.468;0.064;47;6.5;0.00173;0.436;
AUST NZ J PUBL HEAL;1326-0200;2613;1.980;2.005;0.231;91;9.1;0.00459;0.695;
AVIAT SPACE ENVIR MD;0095-6562;3409;0.875;1.005;0.172;134;>10.0;0.00292;0.277;
B WORLD HEALTH ORGAN;0042-9686;12342;5.089;5.714;1.122;90;>10.0;0.01922;2.455;
BIOMED ENVIRON SCI;0895-3988;1543;1.653;1.691;0.200;80;6.3;0.00300;0.438;
BMC PUBLIC HEALTH;1471-2458;17626;2.264;2.768;0.232;1319;3.9;0.06814;0.909;
BUNDESGESUNDHEITSBLA;1436-9990;1573;1.422;0.930;0.535;157;5.1;0.00266;0.206;
CAD SAUDE PUBLICA;0102-311X;4321;0.976;1.248;0.227;247;7.1;0.00632;0.326;
CANCER CAUSE CONTROL;0957-5243;7478;2.735;3.056;0.576;165;7.0;0.01770;1.070;
CANCER EPIDEM BIOMAR;1055-9965;20307;4.125;4.570;0.774;310;7.3;0.04450;1.693;
CANCER EPIDEMIOL;1877-7821;1567;2.711;2.490;0.351;111;2.8;0.00696;0.721;
CENT EUR J PUBL HEAL;1210-7778;435;0.533;;0.517;58;6.0;0.00073;;
CHRON DIS INJ CAN;1925-6523;130;1.633;1.838;0.103;29;2.5;0.00066;0.612;
COMMUNITY DENT ORAL;0301-5661;3709;2.025;2.435;0.308;65;>10.0;0.00421;0.765;
DISABIL HEALTH J;1936-6574;399;1.291;1.636;0.825;63;3.5;0.00148;0.529;
DISASTER MED PUBLIC;1935-7893;438;0.696;1.245;0.157;70;4.2;0.00230;0.522;
DIVING HYPERB MED;1833-3516;149;0.683;0.681;0.688;32;3.6;0.00036;0.163;
DRUG SAFETY;0114-5916;3795;2.824;3.275;0.580;88;7.7;0.00684;0.995;
ECON HUM BIOL;1570-677X;1036;1.901;2.967;0.463;54;5.4;0.00409;1.232;
ENVIRON GEOCHEM HLTH;0269-4042;2047;2.566;2.755;0.188;85;6.3;0.00391;0.710;
ENVIRON HEALTH PERSP;0091-6765;34489;7.977;8.440;2.124;185;8.6;0.05514;2.617;
ENVIRON HEALTH-GLOB;1476-069X;2681;3.372;3.763;0.407;113;4.4;0.01060;1.343;
ENVIRON RES;0013-9351;7914;4.373;4.234;0.401;282;7.7;0.01405;1.355;
EPIDEMIOL INFECT;0950-2688;7241;2.535;2.588;0.707;297;6.6;0.01740;0.904;
EPIDEMIOL PREV;1120-9763;326;0.776;0.685;0.529;34;5.6;0.00079;0.211;
EPIDEMIOL REV;0193-936X;3063;6.667;9.391;4.909;11;10.0;0.00392;3.857;
EPIDEMIOLOGY;1044-3983;10623;6.196;7.052;1.500;98;8.7;0.02582;3.252;
ETHIOP J HEALTH DEV;1021-6790;409;0.127;0.769;;;8.4;0.00046;0.187;
ETHNIC DIS;1049-510X;1891;1.000;1.208;0.722;18;8.5;0.00307;0.423;
ETHNIC HEALTH;1355-7858;863;1.667;1.995;0.500;36;6.7;0.00211;0.719;
EUR J CONTRACEP REPR;1362-5187;697;1.394;1.393;0.167;54;5.6;0.00173;0.416;
EUR J EPIDEMIOL;0393-2990;5316;5.339;5.452;0.675;77;7.2;0.01431;2.101;
EUR J PUBLIC HEALTH;1101-1262;3982;2.591;2.805;0.532;173;5.7;0.01092;0.974;
FAM SYST HEALTH;1091-7527;589;1.131;1.878;0.265;34;6.9;0.00148;0.670;
FLUORIDE;0015-4725;647;0.629;0.765;0.205;39;9.3;0.00027;0.101;
GAC SANIT;0213-9111;1122;1.186;1.248;0.312;80;5.6;0.00212;0.278;
GENET EPIDEMIOL;0741-0395;2943;2.597;3.289;0.529;85;5.7;0.01152;1.590;
GEOSPATIAL HEALTH;1827-1987;383;1.194;1.587;0.184;49;4.4;0.00116;0.424;
GLOBAL HEALTH ACTION;1654-9880;853;1.930;2.122;0.730;204;2.4;0.00349;0.668;
GLOBALIZATION HEALTH;1744-8603;708;2.250;2.789;0.308;78;3.8;0.00290;0.989;
HEALTH EXPECT;1369-6513;1471;3.410;3.244;0.782;78;6.3;0.00368;1.176;
HEALTH PHYS;0017-9078;3859;1.271;1.339;0.370;146;>10.0;0.00541;0.411;
HEALTH PLACE;1353-8292;3842;2.805;3.392;0.366;142;4.8;0.01399;1.199;
HEALTH REP;0840-6529;1062;2.673;4.167;0.227;22;6.0;0.00274;1.368;
HIGH ALT MED BIOL;1527-0297;899;1.275;1.925;0.321;53;6.3;0.00162;0.482;
IND HEALTH;0019-8366;1333;1.117;1.233;0.169;59;7.7;0.00235;0.366;
INDOOR AIR;0905-6947;2937;4.904;4.351;0.914;58;7.9;0.00537;1.397;
INDOOR BUILT ENVIRON;1420-326X;835;1.225;1.280;0.152;92;5.2;0.00125;0.230;
INFECT CONT HOSP EP;0899-823X;10112;4.175;4.496;1.070;227;6.5;0.02304;1.515;
INJURY PREV;1353-8047;2407;1.891;2.062;0.487;78;8.5;0.00486;0.821;
INT ARCH OCC ENV HEA;0340-0131;3406;2.196;2.146;0.427;89;9.2;0.00524;0.671;
INT HEALTH;1876-3413;268;1.299;1.240;0.318;44;3.2;0.00134;0.431;
INT J CIRCUMPOL HEAL;1239-9736;743;0.575;0.701;0.429;14;7.0;0.00167;0.234;
INT J ENVIRON HEAL R;0960-3123;863;1.573;1.519;0.391;46;8.2;0.00124;0.416;
INT J EPIDEMIOL;0300-5771;16999;9.176;8.615;2.331;160;8.4;0.04059;3.737;
INT J HYG ENVIR HEAL;1438-4639;2895;3.829;4.126;1.105;105;5.5;0.00641;1.109;
INT J OCCUP ENV HEAL;1077-3525;782;1.365;1.287;0.091;33;8.1;0.00130;0.436;
INT J OCCUP MED ENV;1232-1087;713;0.695;1.332;0.153;98;6.0;0.00155;0.377;
INT J PUBLIC HEALTH;1661-8556;1422;2.701;2.885;0.476;103;3.9;0.00604;0.908;
INT J TECHNOL ASSESS;0266-4623;1656;1.308;1.499;0.225;40;8.8;0.00263;0.478;
