JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ABDOM IMAGING;0942-8925;2471;1.630;1.660;0.326;132;7.3;0.00453;0.482;
ACAD RADIOL;1076-6332;4276;1.751;1.898;0.580;188;6.5;0.01025;0.666;
ACTA RADIOL;0284-1851;3833;1.603;1.645;0.357;157;8.1;0.00752;0.556;
AM J NEURORADIOL;0195-6108;19657;3.589;3.870;0.577;378;8.1;0.03604;1.269;
AM J ROENTGENOL;0361-803X;29458;2.731;3.302;0.447;494;9.2;0.04876;1.086;
ANN NUCL MED;0914-7187;1803;1.677;1.637;0.240;125;5.9;0.00423;0.491;
APPL RADIAT ISOTOPES;0969-8043;6467;1.231;1.231;0.192;448;7.7;0.01173;0.349;
BIOMED OPT EXPRESS;2156-7085;3804;3.648;3.752;0.656;346;2.8;0.01633;1.083;
BMC MED IMAGING;1471-2342;384;1.312;;0.100;40;4.5;0.00166;;
BRACHYTHERAPY;1538-4721;1115;2.758;2.169;0.696;92;3.3;0.00324;0.596;
BRIT J RADIOL;0007-1285;7135;2.026;1.976;0.301;216;9.2;0.01221;0.675;
CAN ASSOC RADIOL J;0846-5371;314;0.519;0.434;0.191;47;8.3;0.00047;0.133;
CANCER BIOTHER RADIO;1084-9785;1470;1.778;1.828;0.295;61;5.5;0.00317;0.446;
CANCER IMAGING;1470-7330;785;2.066;2.460;0.138;29;5.2;0.00211;0.764;
CANCER RADIOTHER;1278-3218;802;1.411;1.040;0.241;116;3.7;0.00121;0.145;
CARDIOVASC INTER RAD;0174-1551;4000;2.071;1.906;0.459;207;5.7;0.00955;0.578;
CIRC-CARDIOVASC IMAG;1941-9651;2786;5.555;6.131;1.367;98;3.3;0.01759;2.688;
CLIN IMAG;0899-7071;1170;0.810;0.882;0.107;177;6.3;0.00263;0.267;
CLIN NEURORADIOL;1869-1439;219;2.250;1.792;0.393;28;2.9;0.00097;0.578;
CLIN NUCL MED;0363-9762;3237;3.931;3.504;0.827;104;5.2;0.00617;0.800;
CLIN RADIOL;0009-9260;4636;1.759;1.860;0.371;186;8.3;0.00885;0.621;
COMPUT MED IMAG GRAP;0895-6111;1336;1.218;1.588;0.208;77;7.2;0.00216;0.428;
CONCEPT MAGN RESON A;1546-6086;362;1.000;1.220;0.200;5;7.4;0.00083;0.478;
CONTRAST MEDIA MOL I;1555-4309;944;2.923;2.945;0.886;44;3.5;0.00348;0.920;
CURR MED IMAGING REV;1573-4056;252;0.730;0.975;0.250;32;5.0;0.00080;0.308;
DENTOMAXILLOFAC RAD;0250-832X;1772;1.390;1.534;0.222;63;7.4;0.00334;0.467;
DIAGN INTERV RADIOL;1305-3825;731;1.436;1.379;0.282;78;3.9;0.00227;0.399;
DOSE-RESPONSE;1559-3258;446;1.217;1.699;0.417;36;4.8;0.00112;0.402;
EUR J NUCL MED MOL I;1619-7070;11724;5.383;5.090;1.427;232;6.1;0.02590;1.537;
EUR J RADIOL;0720-048X;9646;2.369;2.411;0.401;347;4.4;0.03033;0.762;
EUR RADIOL;0938-7994;13516;4.014;3.735;0.560;377;6.1;0.03391;1.240;
FEUILL RADIOL;0181-9801;28;0.000;0.078;0.000;15;;0.00000;0.002;
HEALTH PHYS;0017-9078;3859;1.271;1.339;0.370;146;>10.0;0.00541;0.411;
HELL J NUCL MED;1790-5427;234;0.986;0.875;0.229;35;3.7;0.00067;0.212;
HUM BRAIN MAPP;1065-9471;16505;5.969;6.687;1.176;454;6.0;0.04232;2.288;
IEEE T MED IMAGING;0278-0062;12720;3.390;4.288;0.435;184;9.8;0.02070;1.437;
INT J CARDIOVAS IMAG;1569-5794;2041;1.810;1.807;0.351;188;3.5;0.00815;0.623;
INT J COMPUT ASS RAD;1861-6410;864;1.707;1.734;0.378;98;3.7;0.00289;0.466;
INT J HYPERTHER;0265-6736;2247;2.645;2.469;0.357;70;6.8;0.00408;0.658;
INT J RADIAT BIOL;0955-3002;4211;1.687;1.949;0.738;145;>10.0;0.00508;0.543;
INT J RADIAT ONCOL;0360-3016;39876;4.258;4.359;1.148;427;7.6;0.07684;1.389;
INT J RADIAT RES;2322-3243;17;0.314;0.343;0.038;52;;0.00004;0.064;
INTERV NEURORADIOL;1591-0199;627;0.780;0.927;0.043;69;6.1;0.00153;0.291;
INVEST RADIOL;0020-9996;5463;4.437;4.418;0.745;102;6.8;0.01291;1.526;
IRAN J RADIAT RES;1728-4554;121;0.366;0.532;;0;4.7;0.00029;0.131;
IRAN J RADIOL;1735-1065;95;0.608;0.394;0.040;50;;0.00026;0.086;
J AM COLL RADIOL;1546-1440;1863;2.836;;0.769;147;3.9;0.00644;;
J APPL CLIN MED PHYS;1526-9914;1020;1.172;1.269;0.230;187;4.1;0.00330;0.394;
J BIOMED OPT;1083-3668;11293;2.859;2.926;0.519;499;4.8;0.02738;0.762;
J CARDIOVASC COMPUT;1934-5925;816;2.289;;0.490;49;3.6;0.00431;;
J CARDIOVASC MAGN R;1097-6647;2741;4.719;4.428;0.667;96;4.1;0.01145;1.785;
J CLIN ULTRASOUND;0091-2751;1813;0.691;0.796;0.100;120;>10.0;0.00221;0.247;
J COMPUT ASSIST TOMO;0363-8715;5188;1.411;1.513;0.247;162;>10.0;0.00637;0.529;
J CONTEMP BRACHYTHER;1689-832X;142;1.284;;0.228;57;2.3;0.00032;;
J DIGIT IMAGING;0897-1889;1065;1.190;1.159;0.179;84;5.4;0.00218;0.288;
J INNOV OPT HEAL SCI;1793-5458;259;1.110;1.042;0.215;79;3.3;0.00071;0.211;
J MAGN RESON IMAGING;1053-1807;13539;3.210;3.250;0.523;363;6.6;0.03312;1.163;
J MED IMAG HEALTH IN;2156-7018;172;0.503;0.490;0.538;132;1.3;0.00013;0.041;
J MED IMAG RADIAT ON;1754-9477;638;1.109;1.225;0.200;100;3.7;0.00278;0.402;
J MED ULTRASON;1346-4523;171;0.615;0.549;0.068;73;3.8;0.00035;0.113;
J NEUROIMAGING;1051-2284;1395;1.734;1.487;0.409;110;5.6;0.00387;0.528;
J NEURORADIOLOGY;0150-9861;696;1.753;1.560;0.389;36;6.2;0.00112;0.338;
J NUCL CARDIOL;1071-3581;2574;2.942;2.664;0.755;94;5.6;0.00625;0.802;
