JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AM J REPROD IMMUNOL;1046-7408;3928;2.438;3.073;0.726;117;6.1;0.00828;0.864;
ANIM REPROD SCI;0378-4320;5912;1.511;1.863;0.186;226;7.9;0.00854;0.473;
BIOL REPROD;0006-3363;21382;3.318;3.784;0.823;226;>10.0;0.02544;1.151;
EUR J OBSTET GYN R B;0301-2115;7460;1.695;1.974;0.303;442;7.2;0.01439;0.594;
FERTIL STERIL;0015-0282;31236;4.590;4.255;0.965;490;6.9;0.05769;1.165;
HUM FERTIL;1464-7273;426;0.909;1.190;0.244;41;6.3;0.00084;0.335;
HUM REPROD;0268-1161;28113;4.569;4.729;0.990;304;8.9;0.04178;1.363;
HUM REPROD UPDATE;1355-4786;6625;10.165;10.818;2.967;60;7.0;0.01444;3.681;
INVERTEBR REPROD DEV;0792-4259;611;0.609;0.690;0.167;36;>10.0;0.00045;0.201;
J ASSIST REPROD GEN;1058-0468;2644;1.718;1.898;0.330;206;5.3;0.00625;0.540;
J OVARIAN RES;1757-2215;607;2.428;2.534;0.385;117;2.5;0.00202;0.610;
J REPROD DEVELOP;0916-8818;1664;1.515;1.591;0.125;72;6.0;0.00365;0.444;
J REPROD IMMUNOL;0165-0378;2512;2.815;3.012;0.740;50;6.0;0.00566;0.874;
MOL HUM REPROD;1360-9947;5078;3.747;3.956;0.766;111;8.9;0.00807;1.240;
MOL REPROD DEV;1040-452X;5362;2.527;2.606;0.457;92;>10.0;0.00608;0.825;
PLACENTA;0143-4004;6754;2.710;3.141;0.630;184;6.6;0.01294;0.865;
PLANT REPROD;2194-7953;86;2.607;2.643;0.579;19;;0.00038;0.859;
REPROD BIOL;1642-431X;495;1.524;1.486;0.286;42;6.3;0.00092;0.391;
REPROD BIOL ENDOCRIN;1477-7827;2929;2.226;2.494;0.307;127;5.2;0.00776;0.698;
REPROD BIOMED ONLINE;1472-6483;5335;3.015;2.709;0.686;175;5.7;0.01220;0.765;
REPROD DOMEST ANIM;0936-6768;3303;1.515;1.512;0.222;203;5.2;0.00755;0.382;
REPROD FERT DEVELOP;1031-3613;2949;2.400;2.615;0.426;108;6.5;0.00617;0.759;
REPROD SCI;1933-7191;2040;2.230;2.325;0.820;161;3.7;0.00740;0.689;
REPROD TOXICOL;0890-6238;4980;3.227;3.383;0.328;137;6.8;0.00896;0.900;
REPRODUCTION;1470-1626;7394;3.174;3.707;0.713;171;7.1;0.01443;1.118;
SEMIN REPROD MED;1526-8004;1576;2.352;3.246;0.442;52;5.5;0.00433;1.016;
SEX PLANT REPROD;0934-0882;998;0.931;2.035;;0;>10.0;0.00125;0.688;
SYST BIOL REPROD MED;1939-6368;413;1.600;1.702;0.275;51;3.4;0.00144;0.441;
THERIOGENOLOGY;0093-691X;13332;1.798;2.154;0.406;320;9.0;0.01455;0.519;
ZYGOTE;0967-1994;766;1.416;1.323;0.162;68;8.0;0.00133;0.370;

