JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA AGR SCAND B-S P;0906-4710;654;0.646;0.760;0.261;88;5.6;0.00141;0.207;
AGROCHIMICA;0002-1857;184;0.208;0.257;0.480;25;>10.0;0.00012;0.052;
APPL SOIL ECOL;0929-1393;5235;2.644;3.105;0.393;183;7.2;0.00861;0.815;
ARCH AGRON SOIL SCI;0365-0340;464;0.549;;0.235;119;4.6;0.00103;;
ARID LAND RES MANAG;1532-4982;321;0.804;0.754;0.206;34;8.9;0.00038;0.186;
BIOL FERT SOILS;0178-2762;6708;3.398;3.145;0.464;125;>10.0;0.00608;0.793;
CAN J SOIL SCI;0008-4271;2543;1.382;1.337;0.300;50;>10.0;0.00217;0.411;
CATENA;0341-8162;6269;2.820;3.074;0.632;258;8.3;0.00830;0.827;
CLAY CLAY MINER;0009-8604;4851;1.228;1.623;0.107;28;>10.0;0.00274;0.626;
COMMUN SOIL SCI PLAN;0010-3624;3796;0.390;0.553;0.085;223;>10.0;0.00294;0.155;
COMPOST SCI UTIL;1065-657X;531;0.583;0.801;0.042;24;>10.0;0.00046;0.204;
EUR J SOIL BIOL;1164-5563;1923;1.719;2.272;0.345;84;6.6;0.00366;0.645;
EUR J SOIL SCI;1351-0754;4986;2.649;3.487;1.154;78;8.4;0.00752;1.104;
EURASIAN SOIL SCI+;1064-2293;1016;0.628;0.680;0.044;137;6.3;0.00106;0.094;
GEODERMA;0016-7061;13731;2.772;3.524;0.651;370;8.1;0.01988;0.932;
J PLANT NUTR SOIL SC;1436-8730;2907;1.459;1.743;0.320;100;7.9;0.00418;0.512;
J SOIL SCI PLANT NUT;0718-9516;344;0.680;1.159;0.033;60;4.2;0.00120;0.308;
J SOIL SEDIMENT;1439-0108;2346;2.139;2.598;0.545;191;4.0;0.00692;0.664;
J SOIL WATER CONSERV;0022-4561;2652;1.595;1.854;0.533;75;>10.0;0.00273;0.570;
LAND DEGRAD DEV;1085-3278;1751;3.089;2.840;0.755;53;6.8;0.00294;0.691;
NUTR CYCL AGROECOSYS;1385-1314;3110;1.897;2.068;0.203;59;10.0;0.00386;0.634;
PEDOBIOLOGIA;0031-4056;2090;1.421;2.023;0.282;39;>10.0;0.00222;0.639;
PEDOSPHERE;1002-0160;1633;1.500;1.911;0.134;82;5.8;0.00355;0.509;
PLANT SOIL;0032-079X;24017;2.952;3.528;0.549;381;>10.0;0.03236;1.006;
REV BRAS CIENC SOLO;0100-0683;3100;0.760;1.136;0.079;191;7.2;0.00398;0.263;
SOIL BIOL BIOCHEM;0038-0717;26276;3.932;4.953;0.717;367;9.2;0.03439;1.380;
SOIL RES;1838-675X;322;1.320;1.236;0.256;78;2.6;0.00118;0.338;
SOIL SCI;0038-075X;5698;0.792;1.289;0.022;46;>10.0;0.00254;0.409;
SOIL SCI PLANT NUTR;0038-0768;2182;0.729;1.139;0.133;83;>10.0;0.00201;0.290;
SOIL SCI SOC AM J;0361-5995;20343;1.721;2.297;0.320;206;>10.0;0.01287;0.709;
SOIL TILL RES;0167-1987;7467;2.622;3.308;0.345;113;8.8;0.00976;0.927;
SOIL USE MANAGE;0266-0032;2250;1.466;2.143;0.210;62;9.2;0.00309;0.635;
SOIL WATER RES;1801-5395;115;0.659;;0.111;27;4.9;0.00025;;
VADOSE ZONE J;1539-1663;3020;1.778;2.248;0.402;97;6.3;0.00748;0.784;

