JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ANAL METHODS-UK;1759-9660;4592;1.821;1.840;0.285;1265;2.3;0.01387;0.380;
ANNU REP NMR SPECTRO;0066-4103;436;2.273;1.946;0.533;15;9.4;0.00071;0.601;
ANNU REV ANAL CHEM;1936-1327;1478;8.833;9.510;0.417;24;4.7;0.00477;2.890;
APPL MAGN RESON;0937-9347;1193;1.167;0.944;0.056;108;7.1;0.00249;0.312;
APPL SPECTROSC;0003-7028;7364;1.875;1.925;0.343;169;>10.0;0.00766;0.518;
APPL SPECTROSC REV;0570-4928;1131;4.271;3.956;1.259;27;6.8;0.00187;1.031;
ATOM SPECTROSC;0195-5373;447;1.788;1.171;0.306;36;7.1;0.00036;0.139;
BIOMOL NMR ASSIGN;1874-2718;229;0.760;0.576;0.237;93;2.9;0.00115;0.234;
CONCEPT MAGN RESON A;1546-6086;362;1.000;1.220;0.200;5;7.4;0.00083;0.478;
CONCEPT MAGN RESON B;1552-5031;259;0.690;0.717;0.286;7;7.5;0.00058;0.371;
EUR J MASS SPECTROM;1469-0667;545;1.000;0.950;0.233;43;6.0;0.00135;0.304;
INT J MASS SPECTROM;1387-3806;7075;1.972;1.988;0.445;191;8.8;0.01214;0.666;
J AM SOC MASS SPECTR;1044-0305;8419;2.945;2.959;0.730;233;6.9;0.01661;0.875;
J ANAL APPL PYROL;0165-2370;7348;3.564;3.898;0.490;251;6.7;0.01118;0.847;
J ANAL ATOM SPECTROM;0267-9477;7797;3.466;3.020;0.774;239;7.3;0.01237;0.738;
J APPL SPECTROSC+;0021-9037;1059;0.476;0.472;0.068;176;>10.0;0.00117;0.108;
J BIOMOL NMR;0925-2738;5481;3.141;3.435;0.637;80;>10.0;0.01092;1.404;
J CHEM CRYSTALLOGR;1074-1542;1071;0.503;0.471;0.122;82;6.5;0.00145;0.088;
J CULT HERIT;1296-2074;1441;1.568;1.658;0.301;93;6.1;0.00291;0.451;
J ELECTRON SPECTROSC;0368-2048;4368;1.436;1.631;0.258;151;>10.0;0.00506;0.544;
J MAGN RESON;1090-7807;10908;2.510;2.423;0.704;226;>10.0;0.01523;0.826;
J MASS SPECTROM;1076-5174;5434;2.379;2.649;0.377;138;7.4;0.00982;0.789;
J MOL SPECTROSC;0022-2852;5410;1.482;1.164;0.655;110;>10.0;0.00370;0.390;
J NEAR INFRARED SPEC;0967-0335;927;1.250;1.483;0.378;45;7.8;0.00141;0.375;
J QUANT SPECTROSC RA;0022-4073;8147;2.645;2.768;0.805;338;7.3;0.01561;0.818;
J RAMAN SPECTROSC;0377-0486;8382;2.671;2.506;0.593;182;6.9;0.01324;0.575;
J SPECTROSC;2314-4920;80;0.538;0.538;0.042;72;;0.00023;0.110;
MAGN RESON CHEM;0749-1581;3328;1.179;1.225;0.200;105;9.2;0.00375;0.316;
MASS SPECTROM REV;0277-7037;3572;7.709;7.764;2.440;25;7.4;0.00664;2.348;
NMR BIOMED;0952-3480;5642;3.044;3.529;0.372;164;6.6;0.01527;1.325;
NUCL INSTRUM METH A;0168-9002;23666;1.216;1.165;0.387;1030;8.8;0.04550;0.415;
OPT SPECTROSC+;0030-400X;2467;0.723;0.561;0.202;302;9.9;0.00278;0.128;
PROG NUCL MAG RES SP;0079-6565;2127;7.237;6.281;1.684;19;8.7;0.00431;2.383;
RAPID COMMUN MASS SP;0951-4198;12855;2.253;2.419;0.440;298;7.5;0.02172;0.701;
SOLID STATE NUCL MAG;0926-2040;1126;2.266;2.195;0.538;26;8.7;0.00211;0.682;
SPECTROCHIM ACTA A;1386-1425;19636;2.353;2.360;0.700;1461;5.5;0.02298;0.358;
SPECTROCHIM ACTA B;0584-8547;7031;3.176;3.127;0.449;167;8.4;0.00783;0.695;
SPECTROSC LETT;0038-7010;850;0.852;0.783;0.165;109;9.2;0.00104;0.164;
SPECTROSC SPECT ANAL;1000-0593;1503;0.292;0.257;0.022;670;4.7;0.00248;0.042;
SPECTROSC-INT J;0712-4813;424;0.836;0.686;;;6.8;0.00071;0.184;
SPECTROSCOPY-US;0887-6703;337;0.422;0.339;0.175;80;8.5;0.00034;0.064;
STUD CONSERV;0039-3630;680;0.506;0.561;0.053;132;>10.0;0.00035;0.141;
VIB SPECTROSC;0924-2031;3394;2.003;2.015;0.261;134;7.5;0.00508;0.483;
X-RAY SPECTROM;0049-8246;1270;1.348;1.227;0.549;51;7.5;0.00206;0.369;

