JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA CHIR BELG;0001-5458;755;0.408;0.402;0.058;86;8.2;0.00114;0.124;
ACTA CIR BRAS;0102-8650;849;0.661;0.778;0.068;161;5.3;0.00162;0.172;
ACTA NEUROCHIR;0001-6268;6968;1.766;1.836;0.265;275;9.3;0.01135;0.541;
ADV SKIN WOUND CARE;1527-7941;782;1.106;1.475;0.148;54;7.2;0.00129;0.399;
AESTHET PLAST SURG;0364-216X;2418;0.956;1.286;0.265;147;6.8;0.00448;0.369;
AESTHET SURG J;1090-820X;1430;1.841;1.779;0.509;110;4.8;0.00381;0.509;
AM J SURG;0002-9610;15122;2.291;2.744;0.438;306;>10.0;0.02095;0.959;
AM J SURG PATHOL;0147-5185;18910;5.145;5.328;1.074;202;9.2;0.03034;1.707;
AM J TRANSPLANT;1600-6135;18092;5.683;5.717;1.334;299;5.5;0.05310;2.004;
AM SURGEON;0003-1348;5765;0.818;1.105;0.040;405;9.5;0.00978;0.365;
ANN CHIR PLAST ESTH;0294-1260;481;0.306;0.377;0.058;86;10.0;0.00038;0.065;
ANN ITAL CHIR;0003-469X;465;0.598;0.536;0.101;69;5.7;0.00072;0.103;
ANN PLAS SURG;0148-7043;6855;1.494;1.492;0.314;328;9.3;0.00959;0.461;
ANN ROY COLL SURG;0035-8843;2669;1.268;1.491;0.097;103;8.9;0.00463;0.512;
ANN SURG;0003-4932;41468;8.327;8.844;1.592;299;9.2;0.07472;3.225;
ANN SURG ONCOL;1068-9265;19490;3.930;4.532;0.717;629;4.9;0.05768;1.425;
ANN SURG TREAT RES;2288-6575;13;;;0.104;115;;0.00000;;
ANN THORAC CARDIOVAS;1341-1098;863;0.718;0.774;0.055;219;6.2;0.00183;0.221;
ANN THORAC SURG;0003-4975;32052;3.849;4.104;0.811;586;8.6;0.06288;1.539;
ANN TRANSPL;1425-9524;636;1.261;1.104;0.221;77;4.1;0.00176;0.330;
ANN VASC SURG;0890-5096;3016;1.170;1.095;0.238;416;6.9;0.00710;0.381;
ANZ J SURG;1445-1433;2811;1.122;1.400;0.567;157;7.3;0.00523;0.450;
ARCH FACIAL PLAST S;1521-2491;1167;1.705;1.757;;0;7.9;0.00205;0.549;
ARCH ORTHOP TRAUM SU;0936-8051;4270;1.597;1.567;0.154;227;6.6;0.00987;0.515;
ARCH OTOLARYNGOL;0886-4470;8817;2.327;2.305;;0;>10.0;0.00855;0.790;
ARCH SURG-CHICAGO;0004-0010;13280;4.926;4.893;;0;>10.0;0.01880;1.916;
ARTHROSCOPY;0749-8063;10542;3.206;3.410;0.810;200;7.8;0.01936;1.097;
ASIAN J SURG;1015-9584;426;0.906;0.910;0.167;36;7.5;0.00080;0.283;
BMC SURG;1471-2482;633;1.397;1.809;0.036;110;4.1;0.00207;0.552;
BONE JOINT J;2049-4394;744;1.961;1.961;0.462;286;1.4;0.00266;0.543;
BRIT J NEUROSURG;0268-8697;2181;0.960;1.051;0.229;157;8.0;0.00375;0.315;
BRIT J ORAL MAX SURG;0266-4356;3220;1.076;1.078;0.220;209;8.7;0.00468;0.305;
BRIT J SURG;0007-1323;20540;5.542;5.522;0.940;216;>10.0;0.03441;2.006;
BURNS;0305-4179;5256;1.880;2.088;0.384;229;7.8;0.00713;0.487;
CAN J PLAST SURG;1195-2199;196;0.505;0.576;;0;6.0;0.00064;0.235;
CAN J SURG;0008-428X;1922;1.507;1.597;0.225;80;7.7;0.00402;0.554;
CESK SLOV NEUROL N;1210-7859;161;0.165;0.200;0.189;106;4.5;0.00009;0.011;
CHILD NERV SYST;0256-7040;4000;1.114;1.264;0.189;265;7.3;0.00762;0.373;
CHIR MAIN;1297-3203;392;0.287;0.376;0.122;74;7.5;0.00077;0.117;
CHIRURG;0009-4722;1181;0.574;0.493;0.136;118;>10.0;0.00101;0.101;
CIR CIR;0009-7411;181;0.181;0.296;0.000;90;4.6;0.00044;0.065;
CIR ESPAN;0009-739X;581;0.743;0.907;0.165;79;4.9;0.00141;0.223;
CLEFT PALATE-CRAN J;1545-1569;3791;1.203;1.466;0.167;108;>10.0;0.00334;0.404;
CLIN NEUROL NEUROSUR;0303-8467;3588;1.127;1.288;0.137;336;5.6;0.00881;0.383;
CLIN ORTHOP RELAT R;0009-921X;33247;2.765;3.366;0.993;423;>10.0;0.03801;1.118;
CLIN PLAST SURG;0094-1298;1760;0.906;1.387;0.098;61;>10.0;0.00202;0.465;
CLIN TRANSPLANT;0902-0063;3613;1.522;1.576;0.182;181;6.6;0.00861;0.532;
COLORECTAL DIS;1462-8910;4930;2.351;2.356;0.738;187;4.1;0.01599;0.733;
COMPUT AIDED SURG;1092-9088;513;0.690;0.786;0.125;8;9.9;0.00046;0.246;
CURR PROB SURG;0011-3840;381;1.588;1.686;0.083;12;>10.0;0.00065;0.589;
DERMATOL SURG;1076-0512;6268;2.109;2.083;0.279;154;7.8;0.00943;0.552;
DIGEST ENDOSC;0915-5635;1290;2.058;1.976;0.963;135;3.3;0.00404;0.518;
DIGEST SURG;0253-4886;1748;2.162;1.973;0.164;61;7.5;0.00325;0.623;
DIS COLON RECTUM;0012-3706;13256;3.749;3.685;0.481;189;9.8;0.01908;1.166;
EJSO-EUR J SURG ONC;0748-7983;5891;3.009;2.953;0.422;232;6.5;0.01271;0.913;
EKLEM HAST CERRAHISI;1305-8282;156;0.944;0.738;0.194;36;3.2;0.00029;0.110;
ENDOSCOPY;0013-726X;8546;5.104;4.874;1.030;133;6.7;0.01608;1.317;
ENDOSKOPIE HEUTE;0933-811X;33;0.047;0.094;0.162;37;;0.00005;0.017;
EUR J CARDIO-THORAC;1010-7940;12604;3.304;2.851;1.081;308;6.6;0.03310;1.087;
EUR J PEDIATR SURG;0939-7248;1042;0.994;0.830;0.324;74;8.1;0.00190;0.261;
EUR J VASC ENDOVASC;1078-5884;6832;2.490;2.976;0.654;162;6.6;0.01721;1.072;
EUR SURG;1682-8631;140;0.274;0.255;0.075;40;5.7;0.00029;0.065;
EUR SURG RES;0014-312X;1066;2.474;1.526;0.105;19;7.3;0.00191;0.440;
FACIAL PLAST SURG;0736-6825;686;0.640;0.974;0.111;81;6.6;0.00129;0.269;
FACIAL PLAST SURG CL;1064-7406;465;0.722;;0.070;43;6.0;0.00107;;
