JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ALCOHOL;0741-8329;2698;2.006;2.318;0.286;77;9.4;0.00348;0.595;
ANN OCCUP HYG;0003-4878;2636;2.101;2.035;0.425;87;9.1;0.00404;0.591;
ANNU REV PHARMACOL;0362-1642;7561;18.365;19.349;5.500;26;9.6;0.01168;6.942;
AQUAT TOXICOL;0166-445X;11548;3.451;4.113;0.723;300;7.0;0.01723;0.931;
ARCH ENVIRON CON TOX;0090-4341;6225;1.895;2.128;0.391;115;>10.0;0.00649;0.528;
ARCH LEBENSMITTELHYG;0003-925X;134;0.464;0.325;;0;9.7;0.00018;0.098;
ARCH TOXICOL;0340-5761;6045;5.980;4.933;1.521;146;5.2;0.01038;1.063;
ARH HIG RADA TOKSIKO;0004-1254;447;0.932;1.120;0.051;39;5.0;0.00111;0.254;
B ENVIRON CONTAM TOX;0007-4861;6178;1.255;1.324;0.170;264;9.3;0.00749;0.299;
BASIC CLIN PHARMACOL;1742-7835;2985;2.377;2.288;0.993;141;5.5;0.00567;0.550;
BIOMARKERS;1354-750X;1825;2.260;2.263;0.274;95;5.3;0.00438;0.599;
BIRTH DEFECTS RES A;1542-0752;2387;2.089;2.725;0.308;91;5.2;0.00726;0.939;
BIRTH DEFECTS RES B;1542-9733;753;0.768;1.410;0.436;39;6.3;0.00145;0.390;
BMC PHARMACOL TOXICO;1471-2210;159;1.842;;0.160;75;1.6;0.00059;;
CARDIOVASC TOXICOL;1530-7905;724;1.721;1.790;0.361;36;6.3;0.00135;0.458;
CELL BIOL TOXICOL;0742-2091;1296;2.677;2.482;0.346;26;7.7;0.00187;0.610;
CHEM RES TOXICOL;0893-228X;10791;3.529;3.620;0.657;210;7.4;0.01686;0.971;
CHEM SPEC BIOAVAILAB;0954-2299;202;0.591;0.519;0.171;35;7.5;0.00024;0.099;
CHEM-BIOL INTERACT;0009-2797;7771;2.577;2.817;0.470;236;6.8;0.01244;0.669;
CLIN TOXICOL;1556-3650;2511;3.673;3.156;0.542;107;4.1;0.00809;0.923;
COMP BIOCHEM PHYS C;1532-0456;5946;2.301;2.819;0.709;79;9.7;0.00597;0.680;
CRIT REV TOXICOL;1040-8444;3496;5.097;6.110;1.326;46;8.6;0.00474;1.642;
CUTAN OCUL TOXICOL;1556-9527;322;1.122;0.870;0.333;72;2.8;0.00099;0.227;
DNA REPAIR;1568-7864;5067;3.111;3.455;0.898;147;6.4;0.01456;1.437;
DRUG CHEM TOXICOL;0148-0545;771;1.233;1.142;0.415;65;6.4;0.00124;0.258;
DRUG SAFETY;0114-5916;3795;2.824;3.275;0.580;88;7.7;0.00684;0.995;
DRUGS;0012-6667;8912;4.343;4.099;1.013;155;9.2;0.01426;1.202;
ECOTOX ENVIRON SAFE;0147-6513;10033;2.762;2.878;0.422;393;6.3;0.01674;0.654;
ECOTOXICOLOGY;0963-9292;4444;2.706;2.943;0.241;203;4.9;0.00940;0.690;
ENVIRON HEALTH PERSP;0091-6765;34489;7.977;8.440;2.124;185;8.6;0.05514;2.617;
ENVIRON MOL MUTAGEN;0893-6692;3214;2.630;2.938;0.743;70;9.0;0.00482;0.818;
ENVIRON TOXICOL;1520-4081;2996;3.197;2.869;0.497;147;8.0;0.00390;0.671;
ENVIRON TOXICOL CHEM;0730-7268;17734;3.225;3.246;0.629;337;9.2;0.02222;0.836;
ENVIRON TOXICOL PHAR;1382-6689;3322;2.084;2.205;0.294;252;5.9;0.00540;0.468;
EXP TOXICOL PATHOL;0940-2993;1922;1.860;2.108;0.241;58;5.3;0.00410;0.507;
FLUORIDE;0015-4725;647;0.629;0.765;0.205;39;9.3;0.00027;0.101;
FOOD ADDIT CONTAM A;1944-0049;5734;1.802;2.197;0.311;212;7.4;0.00785;0.525;
FOOD ADDIT CONTAM B;1939-3210;238;0.880;0.986;0.148;54;3.5;0.00067;0.201;
FOOD AGR IMMUNOL;0954-0105;360;0.986;1.037;0.189;53;6.0;0.00044;0.168;
FOOD CHEM TOXICOL;0278-6915;18820;2.895;3.282;0.737;445;5.7;0.03263;0.706;
HUM EXP TOXICOL;0960-3271;2739;1.747;1.596;0.349;129;7.3;0.00408;0.367;
IMMUNOPHARM IMMUNOT;0892-3973;1205;1.203;1.298;0.358;53;5.3;0.00227;0.284;
IND HEALTH;0019-8366;1333;1.117;1.233;0.169;59;7.7;0.00235;0.366;
INHAL TOXICOL;0895-8378;3259;2.260;2.316;0.476;82;6.9;0.00584;0.683;
INT J TOXICOL;1091-5818;1170;1.290;1.359;0.271;70;7.7;0.00167;0.345;
INTEGR ENVIRON ASSES;1551-3777;1121;1.377;;1.193;57;4.4;0.00302;;
J ANAL TOXICOL;0146-4760;3249;2.858;2.494;0.359;103;8.6;0.00455;0.620;
J APPL TOXICOL;0260-437X;3367;2.982;2.956;0.718;149;5.9;0.00589;0.680;
J BIOCHEM MOL TOXIC;1095-6670;1283;1.925;1.760;0.304;69;7.5;0.00189;0.432;
J ENVIRON PATHOL TOX;0731-8898;672;1.154;1.069;0.100;30;>10.0;0.00052;0.207;
J ENVIRON SCI HEAL C;1059-0501;564;3.560;4.935;0.500;14;5.8;0.00107;1.082;
J EXPO SCI ENV EPID;1559-0631;2876;3.185;3.147;0.753;85;7.5;0.00574;1.061;
J IMMUNOTOXICOL;1547-691X;565;2.054;1.947;0.588;51;3.9;0.00152;0.503;
J PHARMACOL TOX MET;1056-8719;1388;2.390;;0.453;64;5.1;0.00294;;
J TOXICOL ENV HEAL A;1528-7394;3681;2.351;2.042;0.476;124;7.2;0.00493;0.448;
J TOXICOL ENV HEAL B;1093-7404;1358;4.970;5.538;1.133;15;6.6;0.00253;1.502;
J TOXICOL PATHOL;0914-9198;210;0.621;0.729;0.032;31;4.2;0.00064;0.202;
J TOXICOL SCI;0388-1350;1375;1.292;1.433;0.198;96;5.3;0.00308;0.347;
J VENOM ANIM TOXINS;1678-9199;355;0.796;0.668;0.216;51;5.0;0.00060;0.131;
MAR ENVIRON RES;0141-1136;4264;2.762;2.912;0.504;141;8.6;0.00577;0.747;
MOL CELL TOXICOL;1738-642X;257;1.270;0.920;0.120;50;2.9;0.00066;0.165;
MUTAGENESIS;0267-8357;3235;2.793;3.306;0.379;58;7.3;0.00515;0.828;
MUTAT RES-FUND MOL M;0027-5107;8024;3.680;3.521;0.330;94;9.6;0.01053;1.100;
MUTAT RES-GEN TOX EN;1383-5718;6178;2.415;2.780;0.376;125;7.9;0.00827;0.660;
