JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV WATER RESOUR;0309-1708;6998;3.417;3.593;0.483;147;7.1;0.01671;1.365;
AGR WATER MANAGE;0378-3774;7509;2.286;3.017;0.464;222;6.9;0.01408;0.821;
AQUAT CONSERV;1052-7613;2369;2.136;2.270;0.465;86;6.9;0.00418;0.696;
CAN WATER RESOUR J;0701-1784;454;1.333;1.272;2.129;31;6.1;0.00083;0.420;
CATENA;0341-8162;6269;2.820;3.074;0.632;258;8.3;0.00830;0.827;
CHINA OCEAN ENG;0890-5487;302;0.344;0.498;0.071;70;5.8;0.00059;0.121;
CLEAN-SOIL AIR WATER;1863-0650;1979;1.945;2.153;0.243;222;3.9;0.00432;0.382;
DESALIN WATER TREAT;1944-3994;3187;1.173;1.017;0.109;852;2.8;0.00927;0.193;
DESALINATION;0011-9164;24618;3.756;3.778;0.495;418;5.9;0.04146;0.796;
ECOHYDROLOGY;1936-0584;1234;2.426;3.086;0.602;123;3.5;0.00495;0.954;
ENG SANIT AMBIENT;1413-4152;157;0.241;0.282;0.019;52;6.6;0.00026;0.070;
ENVIRON EARTH SCI;1866-6280;4852;1.765;2.013;0.264;828;2.9;0.01272;0.349;
ENVIRON FLUID MECH;1567-7419;548;1.297;1.617;0.429;63;5.7;0.00174;0.658;
ENVIRON GEOCHEM HLTH;0269-4042;2047;2.566;2.755;0.188;85;6.3;0.00391;0.710;
ENVIRON TOXICOL;1520-4081;2996;3.197;2.869;0.497;147;8.0;0.00390;0.671;
GEOMAT NAT HAZ RISK;1947-5705;127;1.310;1.465;0.043;23;3.5;0.00063;0.459;
GROUND WATER MONIT R;1069-3629;815;0.944;1.451;0.129;31;8.9;0.00115;0.397;
GROUNDWATER;0017-467X;5318;2.307;2.675;0.509;112;>10.0;0.00589;0.808;
GRUNDWASSER;1430-483X;111;0.676;0.711;0.000;20;5.1;0.00023;0.162;
HOUILLE BLANCHE;0018-6368;354;0.287;0.238;0.167;66;>10.0;0.00045;0.088;
HYDROGEOL J;1431-2174;3895;1.966;2.334;0.472;123;7.6;0.00742;0.743;
HYDROL EARTH SYST SC;1027-5606;8855;3.535;4.292;0.786;332;4.4;0.02845;1.394;
HYDROL PROCESS;0885-6087;15618;2.677;3.353;0.588;468;7.8;0.02590;1.022;
HYDROL RES;1998-9563;537;1.555;1.744;0.306;62;3.3;0.00209;0.494;
HYDROL WASSERBEWIRTS;1439-1783;83;0.486;0.415;0.773;22;;0.00028;0.166;
HYDROLOG SCI J;0262-6667;3849;1.549;1.864;0.549;142;9.8;0.00487;0.586;
INT J SEDIMENT RES;1001-6279;535;1.306;1.615;0.109;46;5.0;0.00154;0.456;
INT J WATER RESOUR D;0790-0627;775;1.094;1.192;0.569;51;7.0;0.00110;0.324;
