JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA CHIROPTEROL;1508-1109;526;1.133;1.127;0.077;39;6.5;0.00115;0.341;
ACTA ETHOL;0873-9749;279;1.000;1.039;0.370;27;7.4;0.00058;0.356;
ACTA HERPETOL;1827-9635;114;0.603;0.583;0.032;31;4.6;0.00039;0.176;
ACTA ICHTHYOL PISCAT;0137-1592;262;0.577;0.846;0.049;41;5.0;0.00061;0.221;
ACTA THERIOL;0001-7051;1193;1.200;1.218;0.210;62;>10.0;0.00113;0.344;
ACTA ZOOL ACAD SCI H;1217-8837;457;0.500;0.453;0.115;26;>10.0;0.00036;0.167;
ACTA ZOOL BULGAR;0324-0770;263;0.532;0.420;0.219;128;3.8;0.00040;0.086;
ACTA ZOOL-STOCKHOLM;0001-7272;972;1.258;1.256;0.279;43;>10.0;0.00154;0.407;
AFR INVERTEBR;1681-5556;151;0.464;0.467;0.062;16;7.2;0.00035;0.164;
AFR J HERPETOL;2156-4574;121;0.792;0.612;0.214;14;8.6;0.00023;0.214;
AFR ZOOL;1562-7020;353;0.612;0.838;0.138;29;6.5;0.00073;0.256;
AM J PRIMATOL;0275-2565;3912;2.435;2.462;0.692;104;8.3;0.00603;0.705;
AM MALACOL BULL;0740-2783;430;0.939;1.103;0.074;27;10.0;0.00066;0.355;
AM MUS NOVIT;0003-0082;2218;2.186;2.127;0.517;29;>10.0;0.00195;0.819;
AMPHIBIA-REPTILIA;0173-5373;1129;0.887;1.017;0.357;42;9.3;0.00154;0.330;
ANIM BEHAV;0003-3472;23456;3.137;3.423;0.592;311;>10.0;0.02971;1.151;
ANIM BIOL;1570-7555;312;0.597;0.760;0.037;27;7.1;0.00063;0.232;
ANIM CELLS SYST;1976-8354;99;0.440;0.355;0.000;54;;0.00033;0.082;
ANIM COGN;1435-9448;2560;2.582;2.903;0.580;131;5.5;0.00685;0.931;
ANIM WELFARE;0962-7286;1586;1.314;1.622;0.333;45;7.9;0.00246;0.454;
ANN CARNEGIE MUS;0097-4463;385;0.724;0.862;0.000;10;>10.0;0.00032;0.305;
ANN ZOOL;0003-4541;641;1.161;0.822;0.324;37;8.8;0.00107;0.273;
ANN ZOOL FENN;0003-455X;1568;0.855;1.219;0.217;46;>10.0;0.00122;0.433;
ANNU REV ANIM BIOSCI;2165-8102;114;3.857;3.857;1.320;25;1.3;0.00033;1.004;
AQUAT MAMM;0167-5427;789;1.015;;0.043;46;>10.0;0.00093;;
ASIAN HERPETOL RES;2095-0357;69;0.513;0.536;0.031;32;;0.00028;0.139;
AUST J ZOOL;0004-959X;1888;0.941;0.922;0.324;34;>10.0;0.00107;0.275;
AUST MAMMAL;0310-0049;338;0.831;;0.028;36;>10.0;0.00040;;
BEHAV ECOL;1045-2249;8176;3.177;3.350;0.989;174;7.9;0.01672;1.204;
BEHAV ECOL SOCIOBIOL;0340-5443;10652;2.350;2.929;0.590;195;>10.0;0.01511;1.023;
BEHAV PROCESS;0376-6357;3243;1.567;1.689;0.355;203;7.4;0.00661;0.546;
BEHAVIOUR;0005-7959;4852;1.230;1.652;0.542;96;>10.0;0.00359;0.562;
BELG J ZOOL;0777-6276;380;0.871;0.796;0.000;11;9.8;0.00035;0.228;
BIOACOUSTICS;0952-4622;349;1.500;1.294;0.353;17;>10.0;0.00041;0.378;
BOL INST PESCA;0046-9939;396;0.474;0.627;0.053;57;8.0;0.00048;0.144;
BRAIN BEHAV EVOLUT;0006-8977;2138;2.013;2.423;0.488;43;>10.0;0.00247;0.746;
CALDASIA;0366-5232;219;0.266;0.278;0.034;29;>10.0;0.00021;0.084;
CALIF FISH GAME;0008-1078;316;0.243;0.302;0.211;19;>10.0;0.00015;0.110;
CAN J ZOOL;0008-4301;10460;1.303;1.618;0.214;117;>10.0;0.00575;0.579;
CHELONIAN CONSERV BI;1071-8443;627;0.738;1.011;0.083;36;8.4;0.00083;0.280;
COMP BIOCHEM PHYS A;1095-6433;8876;1.966;2.258;0.508;122;>10.0;0.01017;0.657;
COMP BIOCHEM PHYS B;1096-4959;6390;1.551;1.831;0.363;80;>10.0;0.00459;0.479;
COMP BIOCHEM PHYS C;1532-0456;5946;2.301;2.819;0.709;79;9.7;0.00597;0.680;
COMP PARASITOL;1525-2647;378;0.700;0.714;0.095;42;7.2;0.00068;0.196;
COMPARATIVE MED;1532-0820;1103;0.742;1.188;0.085;59;7.7;0.00169;0.350;
CONTRIB ZOOL;1383-4517;353;1.656;1.671;0.353;17;7.5;0.00060;0.499;
COPEIA;0045-8511;3933;1.034;1.205;0.189;74;>10.0;0.00241;0.404;
CURR ZOOL;1674-5507;652;1.594;;0.921;76;3.1;0.00327;;
CYBIUM;0399-0974;754;0.578;0.555;0.150;40;>10.0;0.00054;0.150;
DEV COMP IMMUNOL;0145-305X;5952;2.815;3.339;0.950;238;6.2;0.00900;0.706;
ETHOL ECOL EVOL;0394-9370;706;1.103;1.013;0.920;25;>10.0;0.00088;0.347;
ETHOLOGY;0179-1613;3847;1.791;1.895;0.410;122;8.8;0.00587;0.598;
EUR J TAXON;2118-9773;70;1.312;;0.139;36;;0.00040;;
EUR J WILDLIFE RES;1612-4642;1288;1.634;1.570;0.395;114;4.4;0.00419;0.493;
EXP ANIM TOKYO;1341-1357;750;0.965;1.102;0.333;51;8.4;0.00144;0.371;
FOLIA PRIMATOL;0015-5713;1271;0.889;0.942;0.150;20;>10.0;0.00062;0.321;
FOLIA ZOOL;0139-7893;735;0.724;0.790;0.100;20;>10.0;0.00069;0.204;
FRONT ZOOL;1742-9994;1325;3.051;3.986;0.500;86;4.6;0.00517;1.536;
GAYANA;0717-6538;198;0.222;0.369;0.056;18;8.9;0.00022;0.127;
HELMINTHOLOGIA;0440-6605;367;0.678;0.660;0.059;51;7.2;0.00049;0.144;
HERPETOL CONSERV BIO;2151-0733;323;0.595;0.796;0.155;58;4.6;0.00111;0.255;
HERPETOL J;0268-0130;544;0.900;0.929;0.171;35;8.9;0.00069;0.239;
HERPETOL MONOGR;0733-1347;297;1.727;1.852;0.167;6;>10.0;0.00028;0.646;
HERPETOLOGICA;0018-0831;2253;1.140;1.246;0.308;39;>10.0;0.00136;0.423;
HERPETOZOA;1013-4425;175;0.800;;0.105;19;>10.0;0.00019;;
HYSTRIX;0394-1914;339;2.860;1.577;0.292;24;4.1;0.00104;0.533;
ICHTHYOL EXPLOR FRES;0936-9902;557;1.400;1.171;0.343;35;>10.0;0.00075;0.336;
ICHTHYOL RES;1341-8998;628;0.810;0.752;0.231;39;8.6;0.00088;0.215;
IHERINGIA SER ZOOL;0073-4721;568;0.573;0.621;0.017;60;7.8;0.00086;0.193;
INT J PRIMATOL;0164-0291;2988;1.993;2.062;0.781;64;>10.0;0.00376;0.663;
INTEGR COMP BIOL;1540-7063;3890;2.929;3.655;1.087;103;8.0;0.00828;1.361;
INTEGR ZOOL;1749-4877;469;1.904;1.695;0.706;51;4.1;0.00173;0.554;
INVERTEBR BIOL;1077-8306;706;1.200;1.337;0.448;29;8.6;0.00106;0.416;
INVERTEBR REPROD DEV;0792-4259;611;0.609;0.690;0.167;36;>10.0;0.00045;0.201;
INVERTEBR SYST;1445-5226;718;2.264;2.006;0.686;35;6.2;0.00178;0.715;
ISJ-INVERT SURVIV J;1824-307X;209;0.929;1.158;0.400;5;4.7;0.00054;0.282;
ITAL J ZOOL;1125-0003;760;0.791;0.763;0.143;63;>10.0;0.00110;0.217;
J AM ASSOC LAB ANIM;1559-6109;733;1.118;1.200;0.132;76;4.5;0.00189;0.291;
J ANIM ECOL;0021-8790;13619;4.504;5.316;1.097;144;>10.0;0.02251;2.145;
