Reference Type	Authors, Primary	Title Primary	Periodical Full	Periodical Abbrev	Pub Year	Pub Date Free From	Volume	Issue	Start Page	Other Pages	Keywords	Abstract	Notes	Personal Notes	Authors, Secondary	Title Secondary	Edition	Publisher	Place Of Publication	Authors, Tertiary	Authors, Quaternary	Authors, Quinary	Title, Tertiary	ISSN/ISBN	Availability	Author/Address	Accession Number	Language	Classification	Sub file/Database	Original Foreign Title	Links	URL	DOI	PMID	PMCID	Call Number	Database	Data Source	Identifying Phrase	Retrieved Date	Shortened Title	User 1	User 2	User 3	User 4	User 5	User 6	User 7	User 8	User 9	User 10	User 11	User 12	User 13	User 14	User 15
Journal Article	"Arillo,A.;Subias,L. S."	Redescription of the longest-legged oribatid mite, Metabelbella phalangioides (Michael, 1890) com. nov., a species from Algeria and Southern Spain (Acariformes: Oribatida: Damaeidae)	Systematic and Applied Acarology	 	2006	Mar-06	11	1	57	62	Life Sciences & Biomedicine - Other Topics	In this paper the oribatid mite Damaeus phalangioides Michael, 1890 is transferred to the genus Metabelbella and is redescribed. It was first described (based on only one specimen) from the North of Africa (Algeria) and, until now, it was only recorded once again (only one specimen also), from Southeast Spain, in Sierra Nevada. This second record was not included in the revision of the series Fauna Iberica by Perez-Inigo (1997). Neither specimen was recorded in a cave, but now a third specimen has been found in a cave in southern Spain and the presence of this species in Spain is confirmed. Metabelbella phalangioides corn. nov. could be a truly troglobic species because the specimen is rather pale coloured despite having a great body size. We assigned the new specimen to this species due (among other features) to the great development of its legs, the longest known among oribatid mites, although species with legs longer than the body are not uncommon in the family Damaeidae. The following new combinations are also proposed: Metabelbella gratiosa (Willmann, 194 1) corn. nov. and Metabelbella clavigera (Willmann, 1954) com. nov.	PT: J	 		 	 	 	 				 	1362-1971 ER	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Assing,Volker	Four new species and additional records of Palaearctic Sunius, with two new synonymies (Coleoptera: Staphylinidae: Paederinae)	Beitraege zur Entomologie	Beitr.Entomol.	2008	 	58	2	455	470	Life Sciences & Biomedicine - Other Topics	Four species of Sunius STEPHENS are described and illustrated: S. tronqueti sp. n. (Spain: Sierra Nevada), S. filabresicus sp. n. (Spain: Sierra de los Filabres), S. gadoricus sp. n. (Spain: Sierra de Gador), and S. kastcheevi sp. n. (Kazakhstan). Two synonymies are proposed: S. melanocephalus (FABRICIUS, 1793) = S. anatolicus ASSING, 1995, syn. n., S. claviceps (REITTER, 1908) = Sunius bogdoensis GREBENNIKOV, 2001, syn. n. Additional records of 24 (sub-)species are reported from the Palaearctic region.	PT: J	 		 	 	 	 				 	0005-805X ER	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Beck,H.	Two new Noctuidae from Spain, one of these - Mythimna (Foehstia) valeriae Beck, sp n. - is new to Science. Eremodrina gilva (Donzel, 1837) is definitely recorded from Spain (Lepidoptera : Noctuidae)	SHILAP Revista de Lepidopterologia	 	2007	 	35	140	507	512	Life Sciences & Biomedicine - Other Topics	Two species (Lepidoptera: Noctuidae) are recorded from Spain. One of them is new to Science: Mythimna (Foehstia) valeriae Beck, sp. n. The other species, Eremodrina gilva (Donzel, 1837), had been found in a light-trap in the Sierra Nevada, Granada, Ruta de Veleta, 1600 in, about 2000 kin away from its known westernmost point of distribution in the French Alps. Thus now a doubtful finding of this species at Granada can be confirmed.	PT: J	 		 	 	 	 				 	0300-5267 ER	 	 	 	 	 	 	Dos nuevos Noctuidae de Espana, uno de estos - Mythimna (Foehstia) valeriae Beck, sp. n. - es nuevo para la Ciencia. Eremodrina gilva (Donzel, 1837) es definitivamente citada de Espana. (Lepidoptera: Noctuidae)	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Calle,J. A.;Ortiz,A. S.;Rubio,R. M.;Garre,M.;Ochotorena,F."	The Noctuidae (Lepidoptera) of Sierra Espuna Regional Park (southern Iberian Peninsula)	Boletin de la S.E.A.	 	2007	APR 30 2007	 	40	255	266	"Environmental Sciences & Ecology;Life Sciences & Biomedicine - Other Topics;Biodiversity & Conservation"	A list of 213 species of Noctuidae from Sierra Espuna Regional Park (Murcia, southern Iberian Peninsula) is presented. Wide Mediterranean distribution elements represent a higher proportion than those with a wider range, while Iberian endemics are few. Worthy of note among the species found were the endemic species Phytometra sanctiflorentis (Boisduval, 1834), Cucullia achilleae Guenee, 1852, Harpagophana hilaris (Staudinger, 1895), Pseudohadena mariana Lajonquiere, 1964 and Hadena (Anemia) nevadae (Draut, 1933). Also, the new data on Eublemma himmighoffenii (Milliere, 1867) extend its known Iberian distribution area.	PT: J	 		 	 	 	 				 	1134-6094 ER	 	 	 	 	 	 	Los noctuidae (Lepidoptera) del Parque Regional de Sierra Espuna (Murcia)	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Cleve,Casey;Perrine,John;Holzman,Barbara;Hines,Ellen"	Addressing biased occurrence data in predicting potential Sierra Nevada red fox habitat for survey prioritization	Endangered Species Research	 	2011	 	14	3	179	191	"Environmental Sciences & Ecology;Mathematical & Computational Biology;Life Sciences & Biomedicine - Other Topics;Biodiversity & Conservation"	The Sierra Nevada red fox Vulpes vulpes necator is listed as a threatened species under the California Endangered Species Act. It originally occurred throughout California's Cascade and Sierra Nevada mountain regions. Its current distribution is unknown but should be determined in order to guide management actions. We used occurrence data from the only known population, in the Lassen Peak region of northern California, combined with climatic and remotely sensed variables, to predict the species' potential distribution throughout its historic range. These model predictions can guide future surveys to locate additional fox populations. Moreover, they allow us to compare the relative performances of presence-absence (logistic regression) and presence-only (maximum entropy, or Maxent) modeling approaches using occurrence data with potential false absences and geographical biases. We also evaluated the recently revised Maxent algorithm that reduces the effect of geographically biased occurrence data by subsetting background pixels to match biases in the occurrence data. Within the Lassen Peak region, all models had good fit to the test data, with high values for the true skill statistic (76-83%), percent correctly classified (86-92%), and area under the curve (0.94-0.96), with Maxent models yielding slightly higher values. Outside the Lassen Peak region, the logistic regression model yielded the highest predictive performance, providing the closest match to the fox's historic range and also predicting a site where red foxes were subsequently detected in autumn 2010. Subsetting background pixels in Maxent reduced but did not eliminate the effect that geographically biased occurrence data had on prediction results relative to the Maxent model using full background pixels.	PT: J	 		 	 	 	 				 	1863-5407	 	 	 	 	 	 	 	 	 	10.3354/esr00348 ER	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Ebmer,A. W.	The west Palaearctic species of the genus Dufourea LEPELETIER 1841 (Insecta : Hymenoptera : Apoidea : Halictidae : Rophitinae) fifth supplement	Linzer Biologische Beitraege	 	2008	Jul-08	40	1	581	625	Life Sciences & Biomedicine - Other Topics	"The following taxa are described as new: Dufourea (Dufourea) halictula amethystina female (Spain, Sierra Nevada), Dufourea (Dufourea) phoenix female male (Tunesia; United Arab Emirates), Dufourea (Dentirophites) lusitanica EBMER 1999 male new (Spain, Coto Donana), Dufourea (Minutodufourea) bucharica female (Uzbekistan, Buchara), Dufourea (Cyprirophites) salviae male female (southwest of Turkey), Dufourea (Cyprirophites) exigua female male (United Arab Emirates). The borders of distribution in the southwest and south of Europe from Dufourea (Dufourea) minuta LEPELETIER 1841, Dufourea (Alpinodufourea) alpina MORAWITZ 1865, Dufourea (Halictoides) dentiventris (NYLANDER 1848), Dufourea (Halictoides) inermis (NYLANDER 1848) and Dufourea (Halictoides) graeca EBMER 1976 are critically revised.Flavodufourea EBMER 1984 is confirmed as subgenus of Dufourea, and the two described species of Flavodufourea, Dufourea (Flavodufourea) flavicornis FRIESE 1914 und Dufourea (Flavodufourea) ulkenkalkana PATINY 2003 are new distinctly described with a critically valuation of the loci typici. Trilia VACHAL 1899 is confirmed as a distinct genus; the lectotype of Trilia muoti (VACHAL 1899) is designated here, and a short review of the other three described species of Trilia."	PT: J	 		 	 	 	 				 	0253-116X ER	 	 	 	 	 	 	Die westpalaarktischen Arten der Gattung Dufourea LEPELETIER 1841 (Insecta: Hymenoptera: Apoidea: Halictidae: Rophitinae) Funfter Nachtrag	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"El Mouden,E. H.;Slimani,T.;Donaire,D.;Fernandez-Beaskoetxea,S.;Fisher,M. C.;Bosch,J."	First Record of the Chytrid Fungus Batrachochytrium dendrobatidis in North Africa	Herpetological Review	 	2011	Mar-11	42	1	71	75	"Infectious Diseases;Public, Environmental & Occupational Health;Environmental Sciences & Ecology;Life Sciences & Biomedicine - Other Topics;Biodiversity & Conservation"	 	PT: J	 		 	 	 	 				 	0018-084X ER	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Fanes Trevino,Ingrid;Comas Gonzalez,Augusto;Sanchez Castillo,Pedro M."	Catalogue of coccal green algae from continental waters of Andalusia	Acta Botanica Malacitana	 	2009	 	34	 	11	32	"Environmental Sciences & Ecology;Marine & Freshwater Biology;Life Sciences & Biomedicine - Other Topics"	Catalogue of coccal green algae from continental haters of Andalusia In Spain studies on continental aquatic ecosystems have had mainly an ecological approach In most limnological papers algae are considered as primary producers as a whole, but in general there is no depending into the identification of these organisms to more concrete levels In Andalusia taxonomical groups such as diatoms have been studied, but very few papers include taxonomical considerations on species of coccal green algae Specifically, some species have been studied in reservoirs of Huelva and Seville, in some lakes of Sierra Nevada and in ponds in the provinces of Almeria, Malaga and Granada, and even in urban aquatic environments, but always under an ecological point of view mainly In this paper we present a catalogue which includes all species of coccal green algae cited in previous studies of continental waters from Andalusia, together with new records from samples collected during the years 2004 to 2006, The catalogue includes a total of 143 species. of whom 9 are recorded for the first time in the Iberian Peninsula (Botryococcus terribilis, Chlorella minutissima, Desmodesmus grahneisu, Dicellula geminata, Dichotomococcus curvatus, Dictyosphaerum elongatum, Franceta ovalis, Paradoxia multiseta, Tetrachlorella ornata), 3 are new records for Spain (Kirchneriella rotunda, Crucigenia micronata, Treubaria schmidler), and 27 for Andalusia We indicate the provinces and localities where each taxon has been found, as well as the references of the records previous to this study	PT: J	 		 	 	 	 				 	0210-9506 ER	 	 	 	 	 	 	CATALOGO DE LAS ALGAS VERDES COCALES DE LAS AGUAS CONTINENTALES DE ANDALUCIA	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Fernandez Calzado,Ma Rosa;Molero Mesa,Joaquin"	The cartography of vegetation in the cryoromediterranean belt of Sierra Nevada: a tool for biodiversity conservation	Lazaroa	 	2011	Dec-11	32	 	101	115	"Science & Technology - Other Topics;Biodiversity & Conservation"	Fernandez Calzado, M.R. & Molero Mesa, J. The cartography of vegetation in the cryoromediterranean belt of Sierra Nevada: a tool for biodiversity conservation. Lazaroa 32: 101-115(2011). Geographic Information Systems arc tools which have been used with great interest in vegetation studies. The mapping process developed to store data about vegetation and flora in the upper vegetation belt of Sierra Nevada (South-Eastern Spain) is shown. The aim was to elaborate a detailed cartography that served into future to detect changes in plant communities. The extension of the crioromediterranean belt was estimated in 3875.7 ha, ranging between 2750-3290 m of altitude. We have detected thirteen endemic plant communities and four variants inside, all of them are commonly distributed with low cover and very disperse form. The total of quantified taxa was 185, with more than 37 % of them are endemic of the Baetic range. Our study suggests that the Geographic Information systems are good tools for the study of very complex territories as high mountain areas. They generated information that could be used as a testimony to observe the current climatic change processes.	PT: J	 		 	 	 	 				 	0210-9778	 	 	 	 	 	 	 	 	 	10.5209/rev_LAZA.2011.v32.37255 ER	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Fernandez Calzado,Maria Rosa;Molero Mesa,Joaquin"	Changes in the summit flora of a Mediterranean mountain (Sierra Nevada, Spain) as a possible effect of climate change	Lazaroa	 	2013	 	34	 	65	75	"Meteorology & Atmospheric Sciences;Biodiversity & Conservation"	The evidences on climate change-induced impacts on alpine plant communities is growing and some of them warn us about the expected changes in vegetation of the generally fragmented Mediterranean high mountain areas in a warmer and drier future. Short-term (2001-2008) changes in vascular plant species richness, cover and abundance were studied on four summits in the Sierra Nevada (Spain). The resurvey revealed a decrease in species richness on each summit, which is confirmed by small-scale changes in species abundance within the same summits. These changes involve local losses of high-elevation endemic species as well as the new appearance of predominantly more widespread species. Some of the latter species were also observed to expand elsewhere in the Sierra Nevada. On a small scale, cover of several endemic species decreased and cover of some species that occur on a wider altitudinal range increased. Although the observed changes are statistically only marginally or not significant, they are largely consistent with pan-European studies suggesting stagnant or declining species richness on summits of the Mediterranean biome and a 'thermophilisation' of the species composition in high mountain plant communities over the past years. Even though we cannot rule out other non-climatic factors, our results give rise to concern about the situation of the mainly endemic high-altitude flora of the Sierra Nevada and give an incentive to intensify monitoring efforts.	PT: J	 		 	 	 	 				 	0210-9778	 	 	 	 	 	 	 	 	 	10.5209/rev_LAZA.2013.v34.n1.41523 ER	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
