Reference Type	Authors, Primary	Title Primary	Periodical Full	Periodical Abbrev	Pub Year	Pub Date Free From	Volume	Issue	Start Page	Other Pages	Keywords	Abstract	Notes	Personal Notes	Authors, Secondary	Title Secondary	Edition	Publisher	Place Of Publication	Authors, Tertiary	Authors, Quaternary	Authors, Quinary	Title, Tertiary	ISSN/ISBN	Availability	Author/Address	Accession Number	Language	Classification	Sub file/Database	Original Foreign Title	Links	URL	DOI	PMID	PMCID	Call Number	Database	Data Source	Identifying Phrase	Retrieved Date	Shortened Title	User 1	User 2	User 3	User 4	User 5	User 6	User 7	User 8	User 9	User 10	User 11	User 12	User 13	User 14	User 15
Journal Article	"Acevedo,Pelayo;Cassinello,Jorge;Gortazar,Christian"	The Iberian ibex is under an expansion trend but displaced to suboptimal habitats by the presence of extensive goat livestock in central Spain	Biodiversity and Conservation	Biodivers.Conserv.	2007	NOV	16	12	3361	3376	"biodiversity conservation;Capra hircus;Capra pyrenaica;livestock grazing system;habitat displacement;habitat suitability analysis;resource competition;CAPRA-PYRENAICA MAMMALIA;SPANISH WILD GOAT;SHEEP OVIS-ARIES;SPECIES DISTRIBUTIONS;LARGE HERBIVORES;SOUTHERN SPAIN;SIERRA-NEVADA;NATURAL-PARK;ABSENCE DATA;Biodiversity & Conservation;Environmental Sciences & Ecology ER"	In this paper an updated distribution of the Iberian ibex (Capra pyrenaica, Schinz 1838) in the central Spanish region of Castile-La Mancha is shown. The species is present in 19% of the study region, and in areas not cited so far in the literature. A detailed analysis of habitat suitability was also carried out, applying a new methodology, Ecological-Niche Factor Analysis, which uses presence data to build a habitat suitability map of a given species. As livestock activity is quite intense in the region, the presence of a potential competitor, the domestic goat (Capra hircus), was included in the analyses. Factors affecting ibex relative abundance were determined by means of a nested stepwise multiple regression, where livestock presence/absence was the nested factor. The presence of livestock has a negative effect on ibex relative abundance, causing the ibex to select areas of poor, sparse vegetation, cultivated lands and forests, whereas in the absence of livestock, the ibex is mainly present in pasture-scrub lands and non-cultivated lands. Conservation implications of these results are discussed in the context of a Mediterranean region where extensive livestock grazing systems abound.	PT: J	 		 	 	 	 				 	0960-3115	 	"Inst Invest Rec Cineget, CSIC, UCLM, JCCM, E-13005 Ciudad Real, Spain.; Cassinello, J (reprint author), Inst Invest Rec Cineget, CSIC, UCLM, JCCM, Ronda Toledo s-n, E-13005 Ciudad Real, Spain.; jorge.cassinello@uclm.es"	 	 	 	 	 	 	 	10.1007/s10531-006-9032-y	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Achotegui-Castells,Ander;Llusia,Joan;Hodar,Jose A.;Penuelas,Josep"	Needle terpene concentrations and emissions of two coexisting subspecies of Scots pine attacked by the pine processionary moth (Thaumetopoea pityocampa)	Acta Physiologiae Plantarum	 	2013	OCT	35	10	3047	3058	"Herbivory;Pinus sylvestris;Monoterpene;Sesquiterpene;Relict pine;Induction;HOST SELECTION;QUERCUS-ILEX;PHOSPHORUS AVAILABILITY;CATERPILLAR;PLANT;SYLVESTRIS;VOLATILES;DEFENSES;GROWTH;Plant Sciences ER"	"Mediterranean pine forests are often attacked by caterpillars of Thaumetopoea pityocampa (Lep., Thaumetopoidae), one of the most important defoliators in the Mediterranean region causing large economic losses and ecological effects. The needle terpene concentrations and emissions may play a key role in the defense of pines. We studied two subspecies of Pinus sylvestris, nevadensis (an endemic and relict subspecies) and iberica , with different levels of caterpillar attack in Sierra Nevada mountains (Spain). GC-MS analyses showed large total concentrations of terpenes (6 to 39 mg g(-1) of dry weight) in the needles of both subspecies under field conditions. Concentrations were 25 % higher in ""Non-Attacked Trees"" (NATs) of the iberica than in the nevadensis subspecies. The branches of NATs had terpene concentrations 20 % higher than those of ""Attacked Branches of attacked trees"" (ABs). Within attacked trees, the ""Non-Attacked Branches"" (NABs) also had terpene concentrations 20 % higher than those of ABs. Mainly alpha-pinene and germacrene D had higher concentrations in NATs and NABs than in ABs. Some terpenes had higher concentrations in NABs than in NATs, indicating possible systemic reactions. In subsp. nevadensis, the percentage of monoterpenes relative to total terpenes was higher in ABs than in other attack states. The rates of emission in nevadensis (standardized to 30 A degrees C) were ca. three times higher in ABs than in NABs and NATs. These results suggest that the lower terpene concentrations and high percentages of monoterpenes in ABs were produced by a combination of emission losses and terpene induction in response to herbivorous attack."	PT: J	 		 	 	 	 				 	0137-5881	 	"[Achotegui-Castells, Ander; Llusia, Joan; Penuelas, Josep] CREAF, Cerdanyola Del Valles 08193, Catalonia, Spain. [Achotegui-Castells, Ander; Llusia, Joan; Penuelas, Josep] UAB, CEAB, CREAF, CSIC,Global Ecol Unit, Cerdanyola Del Valles 08193, Catalonia, Spain. [Hodar, Jose A.] Univ Granada, Fac Ciencias, Dept Biol Anim & Ecol, Grp Ecol Terrestre, E-18071 Granada, Spain.; Achotegui-Castells, A (reprint author), CREAF, Cerdanyola Del Valles 08193, Catalonia, Spain.; a.achotegui@creaf.uab.es"	 	 	 	 	 	 	 	10.1007/s11738-013-1337-3	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Adjemian,Jennifer Zipser;Adjemian,Michael K.;Foley,Patrick;Chomel,Bruno B.;Kasten,Rickie W.;Foley,Janet E."	Evidence of multiple zoonotic agents in a wild rodent community in the eastern sierra Nevada	Journal of wildlife diseases	J.Wildl.Dis.	2008	JUL	44	3	737	742	"anaplasma phagocytophilum;California;fleas;Rickettsia rickettsii;rodents;ticks;Yersinia pestis;ANAPLASMA-PHAGOCYTOPHILUM;BORRELIA-BURGDORFERI;YERSINIA-PESTIS;UNITED-STATES;PLAGUE;INFECTION;Veterinary Sciences ER"	"This study aimed to describe the occurence of Yersinia pestis, Rickettsia rickettsii, Anaplasma phagocytophilum, and ectoparasites in a wild rodent community in the eastern Sierra Nevada. From May to September 2006, rodents were live-trapped, examined for ectoparasites, and blood was collected. All rodents were serologically tested for antibodies to Y. pestis, R. rickettsii, and A. phagocytophilum; in addition, blood samples and ectoparasites were tested by PCR to detect the presence of these zoonotic agents. Overall, 89 rodents, 46 fleas, and four ticks were collected. Antibody prevalence rates observed for rodents were 14% for R. rickettsii or antigenically related spotted-fever group rickettsiae, and 8% for A. phagocytophilum. No samples were positive for antibodies to Y. pestis. Positive PCR results included one yellow-pine chipmunk for Y. pestis (C-T = 32.8), one golden-mantled ground squirrel for R. rickettsii (C-T = 33), and one flea found to be co-infected with both R. rickettsii (C-T = 17) and A. phagocytophilum (C-T = 36). The results of this study provide evidence of multiple zoonoses overlapping within a single, located rodent community."	PT: J	 		 	 	 	 				 	0090-3558	 	"[Adjemian, Jennifer Zipser; Foley, Janet E.] Univ Calif Davis, Sch Vet Med, Dept Med & Epidemiol, Davis, CA 95616 USA. [Adjemian, Michael K.] Univ Calif Davis, Dept Agr & Resource Econ, Davis, CA 95616 USA. [Foley, Patrick] Calif State Univ Sacramento, Dept Biol Sci, Sacramento, CA 95616 USA. [Chomel, Bruno B.; Kasten, Rickie W.] Univ Calif Davis, Sch Vet Med, Dept Populat Hlth & Reprod, Davis, CA 95616 USA.; Adjemian, JZ (reprint author), Univ Calif Davis, Sch Vet Med, Dept Med & Epidemiol, Davis, CA 95616 USA.; jadjemian@cdc.gov"	 	 	 	 	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alados-Arboledas,L.;Alcantara,A.;Olmo,F. J.;Martinez-Lozano,J. A.;Estelles,V.;Cachorro,V.;Silva,A. M.;Horvath,H.;Gangl,M.;Diaz,A.;Pujadas,M.;Lorente,J.;Labajo,A.;Sorribas,M.;Pavese,G."	Aerosol columnar properties retrieved from CIMEL radiometers during VELETA 2002	Atmospheric Environment	Atmos.Environ.	2008	APR	42	11	2654	2667	"atmospheric aerosol;columnar properties;volume size distribution;single scattering albedo;planetary boundary layer;Saharan dust;OPTICAL-PROPERTIES;SOUTHEASTERN SPAIN;ATMOSPHERIC AEROSOLS;HEAT-WAVE;DUST;AERONET;ARMILLA;NETWORK;SUN;Environmental Sciences & Ecology;Meteorology & Atmospheric Sciences ER"	During the 2002 summer, the VELETA 2002 field campaign has been carried out at the Sierra Nevada Massif, close to Granada in South-Eastern Spain. During the campaign, CIMEL CE-318 robotic radiometer has been one of the key instruments in the characterization of the atmospheric aerosol columnar properties. This kind of radiometers have been operated at Motril, a coastal location at sea level, Pitres (1200 m a.s.l.), located in the South slope of Sierra Nevada Massif, Las Sabinas (2200m a.s.l.), located on the north slope of the mountain range, and Armilla (680m a.s.l.), located in the valley. The principal feature of the locations is that they provide a strong altitudinal gradient. This work presents the evolution of changes followed by the atmospheric aerosol in the vertical column. Columnar aerosol properties have been derived from the CIMEL CE-318 measurements obtained at the four stations. In this sense, the combination of solar direct measurements and sky radiances were used to retrieve the aerosol columnar size distributions by means of Nakajima's code. Marked changes in the atmospheric aerosol along the campaign have been explained in terms of the synoptic conditions. A detailed study of the columnar properties at the different places has been done. Changes in the spectral dependence of the single scattering albedo under the influence of different air masses have been discussed. The size distributions have been fitted to a bimodal lognormal distribution function model, and the associated parameters have been correlated with aerosol optical depth or Angstrom exponent. In some cases, it has been necessary to develop different correlations for cases affected or non-affected by the arrival of Saharan dust. In the case of Armilla (680 m a.s.l.) and Las Sabinas (2200 m a.s.l.), the small horizontal distance allow us to consider that both stations are representative of the same atmospheric column, a fact that has been used to analyse the daily evolution of the mixing layer in the north slope. (C) 2007 Elsevier Ltd. All rights reserved.	PT: J	 		 	 	 	 				 	1352-2310	 	"[Alados-Arboledas, L.; Alcantara, A.; Olmo, F. J.] Univ Granada, Grp Fis Atmosfera, E-18071 Granada, Spain. [Martinez-Lozano, J. A.; Estelles, V.] Univ Valencia, Grp Radiac Solar, E-46003 Valencia, Spain. [Cachorro, V.] Univ Valladolid, Grp Opt Atmosfer, E-47002 Valladolid, Spain. [Silva, A. M.] Univ Evora, Dpto Fis, Evora, Portugal. [Horvath, H.; Gangl, M.] Univ Vienna, Inst Expt Phys, A-1090 Vienna, Austria. [Diaz, A.] Univ La Laguna, Dpto Fis Basicas, E-38207 San Cristobal la Laguna, Spain. [Lorente, J.] Univ Barcelona, Dpto Astron & Meteorol, E-08007 Barcelona, Spain. [Sorribas, M.] INTA, Estac Sondeos Atmosfer El Arenosillo, Huelva, Spain. [Pavese, G.] CNR, IMAA, I-00185 Rome, Italy.; Alados-Arboledas, L (reprint author), Univ Granada, Grp Fis Atmosfera, E-18071 Granada, Spain.; alados@ugr.es"	 	 	 	 	 	 	 	10.1016/j.atmosenv.2007.10.006	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alasaad,S.;Granados,J. E.;Cano-Manuel,F. J.;Meana,A.;Zhu,X. Q.;Perez,J. M."	Epidemiology of fasciolosis affecting Iberian ibex (Capra pyrenaica) in southern Spain	Parasitology research	Parasitol.Res.	2008	MAR	102	4	751	755	"SARCOPTIC MANGE;SPANISH IBEX;HEPATICA;SHEEP;Parasitology ER"	Between 1995 and 2006, we surveyed the presence of Fasciola hepatica in Iberian ibex (Capra pyrenaica) from Andalucia (southern Spain) by both necropsy (n = 2,096) and coprological approaches (n = 380). Most of the samples came from the Sierra Nevada mountain range (n = 1,884 and 267, respectively), and all positive cases involved animals from this location. The prevalence reached 0.53% by necropsy and 1.87% by faecal examination. Taking into account both diagnostic methodologies and the total number of animals affected (n = 14), we obtained a yearly prevalence of 0.7 +/- 0.3%. The infection with F. hepatica was found not to be related to host sex, climatology or to co-infection with Sarcoptes scabiei (the most important parasite affecting Iberian ibex, with a prevalence of 49.27 +/- 7.90% in the examined animals). The prevalence of fasciolosis decreased significantly during the period under study and this would be explained by an increase of ibex resistance to this fluke as a result of a reduction of the parasite abundance in the area and/or a reduction of the host infection rate. There was no statistical difference between the two diagnostic methods for the examination of fasciolosis during the period in which both methods were used. Therefore, examination of faecal samples as a non-invasive procedure may provide a useful approach for monitoring fasciolosis in wild ungulate populations. The results of the present study provided foundation for the effective control of F. hepatica infection in Iberian ibex.	PT: J	 		 	 	 	 				 	0932-0113	 	"[Alasaad, S.; Zhu, X. Q.] S China Agr Univ, Coll Vet Med, Guangzhou 510642, Guangdong, Peoples R China. [Meana, A.] Univ Complutense Madrid, Dept Patol Anim 1 Sanidad Anim, E-28040 Madrid, Spain. [Granados, J. E.; Cano-Manuel, F. J.] Espacio Nat Sierra Nevada, E-18071 Granada, Spain. [Alasaad, S.; Perez, J. M.] Univ Jaen, Dept Biol Anim Biol Vegetal & Ecol, E-23071 Jaen, Spain.; Zhu, XQ (reprint author), S China Agr Univ, Coll Vet Med, 483 Wuhan St,Tianhe Dist, Guangzhou 510642, Guangdong, Peoples R China.; xingquanzh@scau.edu.cn; jperez@ujaen.es"	 	 	 	 	 	 	 	10.1007/s00436-007-0830-2	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alasaad,S.;Morrondo,P.;Dacal-Rivas,V.;Soriguer,R. C.;Granados,J. E.;Serrano,E.;Zhu,X. Q.;Rossi,L.;Perez,J. M."	Bronchopulmonary nematode infection of Capra pyrenaica in the Sierra Nevada massif, Spain	Veterinary parasitology	Vet.Parasitol.	2009	Oct-14	164	02-Apr	340	343	"Iberian ibex (Capra pyrenaica);Epidemiology;Muellerius capillaris;Cystocaulus ocreatus;Protostrongylus sp.;Dictyocaulus filaria;Spain;CHAMOIS RUPICAPRA-RUPICAPRA;NORTH-WEST SPAIN;SPANISH IBEX;LUNG;NEMATODES;NATIONAL-PARK;LARVAE;IDENTIFICATION;HELMINTHS;GROWTH;Parasitology;Veterinary Sciences ER"	The present investigation examined the prevalence and abundance of bronchopulmonary nematodes in 213 randomly hunted Iberian ibexes (Capra pyrenaica) (87 females and 126 males) in the Sierra Nevada mountain range in Spain between 2003 and 2006. Post mortem examination revealed an overall prevalence of 72% for adult nematodes (Cystocaulus ocreatus 44%, Muellerius capillaris 44%, Protostronsylus sp. 40%, and Dictyocaulus filaria 4%). The abundances were 13.45 +/- 3.97, 5.18 +/- 2.49, 6.36 +/- 2.16, and 2.27 +/- 0.46, respectively. Protostrongylid adults showed similar infection rates, which were statistically different from that of D. filaria. 20% of the examined Iberian ibexes were infected by three protostrongylid nematodes species, 24% of C. pyrenaica were affected by two protostrongylid species, while infestations with only one protostrongylid species were detected in 20% of the examined animals. The overall prevalence of larvae nematodes in the examined animals was 100%, and the overall abundance (number of the first stage larvae per gram) was 86.45 +/- 20.63. There was a high correlation between the two sets of data (adults and larvae). Results of the present investigation provided foundation for the effective control of bronchopulmonary nematode infection in Iberian ibex. (C) 2009 Elsevier B.V. All rights reserved.	PT: J	 		 	 	 	 				 	0304-4017	 	"[Alasaad, S.] Firat Univ, Dept Ecol & Sylviculture, Deir Ez Zor 3314, Syria. [Alasaad, S.; Perez, J. M.] Univ Jaen, Dept Biol Anim Biol Vegetal & Ecol, E-23071 Jaen, Spain. [Morrondo, P.; Dacal-Rivas, V.] Univ Santiago de Compostela, Fac Vet, Dept Patol Anim Parasitol & Enfermedades Parasita, Lugo 27071, Spain. [Soriguer, R. C.] CSIC, Estac Biol Donana, E-41080 Seville, Spain. [Granados, J. E.] Espacio Nat Sierra Nevada, Granada 18071, Spain. [Serrano, E.] Univ Autonoma Barcelona, Fac Vet, E-08193 Barcelona, Spain. [Zhu, X. Q.] S China Agr Univ, Coll Vet Med, Guangzhou 510642, Guangdong, Peoples R China. [Rossi, L.] Univ Turin, Dipartimento Prod Anim Epidemiol & Ecol, I-10095 Grugliasco, Italy.; Alasaad, S (reprint author), Firat Univ, Dept Ecol & Sylviculture, Deir Ez Zor 3314, Syria.; sameralasaad@hotmail.com; xingquanzh@scau.edu.cn"	 	 	 	 	 	 	 	10.1016/j.vetpar.2009.06.019	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alasaad,S.;Soglia,D.;Sarasa,M.;Soriguer,R. C.;Perez,J. M.;Granados,J. E.;Rasero,R.;Zhu,X. Q.;Rossi,L."	Skin-scale genetic structure of Sarcoptes scabiei populations from individual hosts: empirical evidence from Iberian ibex-derived mites	Parasitology research	Parasitol.Res.	2008	DEC	104	1	101	105	"LANDSCAPE GENETICS;SOCIAL-BEHAVIOR;SPANISH IBEX;ECOLOGY;CONSERVATION;DISEASE;SPAIN;MANGE;Parasitology ER"	"The objective of the present study was to examine the extent of genetic diversity among Sarcoptes scabiei individuals belonging to different skin subunits of the body from individual mangy hosts. Ten microsatellite primers were applied on 44 individual S. scabiei mites from three mangy Iberian ibexes from Sierra Nevada Mountain in Spain. Dendrograms of the mites from the individual Iberian ibexes, showing the proportion of shared alleles between pairs of individual mites representing three skin subpopulations (head, back, and abdomen subunits), allowed the clustering of some mite samples up to their skin subunits. This genetic diversity of S. scabiei at skin-scale did not have the same pattern in all considered hosts: for the first Iberian ibex (Cp1), only mites from the head subunit were grouped together; in the second individual (Cp2), the clustering was detected only for mites from the abdomen subunit; and for the third one (Cp3), only mites from the back subunit were clustered together. Our results suggest that the local colonization dynamics of S. scabiei would have influenced the nonrandom distribution of this ectoparasite, after a single infestation. Another presumable explanation to this skin-scale genetic structure could be the repeated infestations. To our knowledge, this is the first documentation of genetic structuring among S. scabiei at individual host skin-scale. Further studies are warranted to highlight determining factors of such trend, but the pattern underlined in the present study should be taken into account in diagnosis and monitoring protocols for studying the population genetic structure and life cycle of this neglected but important ectoparasite."	PT: J	 		 	 	 	 				 	0932-0113	 	"[Alasaad, S.; Soglia, D.; Rasero, R.; Rossi, L.] Univ Turin, Dipartimento Prod Anim Epidemiol & Ecol, I-10095 Grugliasco, Italy. [Alasaad, S.; Sarasa, M.; Perez, J. M.] Univ Jaen, Dept Biol Anim Biol Vegetal & Ecol, Jaen 23071, Spain. [Soriguer, R. C.] CSIC, Estac Biol Donana, E-41080 Seville, Spain. [Granados, J. E.] Carretera Antigua Sierra Nevada, Espacio Nat Sierra Nevada, E-18071 Granada, Spain. [Zhu, X. Q.] S China Agr Univ, Coll Vet Med, Guangzhou 510642, Guangdong, Peoples R China.; Rossi, L (reprint author), Univ Turin, Dipartimento Prod Anim Epidemiol & Ecol, Via Leonardo Vinci 44, I-10095 Grugliasco, Italy.; xingquanzh@scau.edu.cn; luca.rossi@unito.it"	 	 	 	 	 	 	 	10.1007/s00436-008-1165-3	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alasaad,Samer;Granados,Jose E.;Fandos,Paulino;Cano-Manuel,Francisco-Javier;Soriguer,Ramon C.;Perez,Jesus M."	The use of radio-collars for monitoring wildlife diseases: a case study from Iberian ibex affected by Sarcoptes scabiei in Sierra Nevada, Spain	Parasites & Vectors	 	2013	Aug-22	6	 	242	242	"GPS-GSM-radio collars;Capra pyrenaica;Sarcoptic mange;Disease control;GENETIC-STRUCTURE;MITE;KENYA;MANGE;Parasitology ER"	Background: Wildlife radio tracking has gained popularity during the recent past. Ecologists and conservationists use radio-collars for different purposes: animal movement monitoring, home range, productivity, population estimation, behaviour, habitat use, survival, and predator-prey interaction, among others. The aim of our present study is to highlight the application of radio-collars for wildlife diseases monitoring. The spread of wildlife diseases and the efficacy of management actions for controlling them propose serious challenges for ecologists and conservationists, since it is difficult to re-capture (or simply observe) the same animal in pre-determined temporal interval, but such difficulty is overcome by the use of gps-gsm radio collars. Methods: In the present study we report, for the first time to our knowledge, the use of radio-collars in the monitoring of Iberian ibex affected by Sarcoptes scabiei in Sierra Nevada mountain range, Spain. Twenty-five moderate or slightly mangy animals were radio-collared between 2006 and 2013. Results: The radio-collars allowed us to confirm the presence of resistance to S. scabiei within Iberian ibex population. Twenty (80%) of the collared animals recovered totally from mange, while the disease progressed in the other five Iberian ibex (20% of the collared animals) and the animals died. The average estimated recovery time of the resistant animals was 245 +/- 277 days, and the estimated average survival time of the non-resistant Iberian ibex was 121 +/- 71 days. Non-resistant animals survived at least 100 days, while all of them died with less than 200 days. Sixty per cent of the resistant animals were recovered with less than 200 days. Conclusions: We report, for the first time, the successful use of radio collars for wildlife diseases monitoring using Iberian ibex/S. scabiei as a model. By using radio collars we documented that most of the Sarcoptes-infected Iberian ibex are resistant to this disease, and we estimated the average time for Iberian ibex recovering from mange infection and the average survival time of the non-resistant ones. We expect wider use of radio-collars for wild animals diseases monitoring, affected/not-affected animals interaction, and treatment efficacy, among others.	PT: J	 		 	 	 	 				 	1756-3305	 	"[Alasaad, Samer; Soriguer, Ramon C.] CSIC, Estn Biol Donana, Seville 41092, Spain. [Granados, Jose E.; Cano-Manuel, Francisco-Javier] Espacio Nat Sierra Nevada, E-18071 Granada, Spain. [Fandos, Paulino] Agencia Med Ambiente Agua, Consejeria Med Ambiente, Sevillam, Spain. [Perez, Jesus M.] Univ Jaen, Dept Biol Anim Biol Vegetal & Ecol, E-23071 Jaen, Spain.; Alasaad, S (reprint author), CSIC, Estn Biol Donana, Avda Amer Vespucio S-N, Seville 41092, Spain.; sameralasaad@hotmail.com"	 	 	 	 	 	 	 	10.1186/1756-3305-6-242	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alasaad,Samer;Jowers,Michael J.;Garrido-Garcia,Jose A.;Wandeler,Peter;Fickel,Joerns;Sanchez,Antonio;Soriguer,Ramon C."	Noninvasive molecular and morphological evidences for an undiscovered population of snow vole in Southern Spain	Mitochondrial Dna	 	2013	OCT	24	5	596	601	"Chionomys nivalis;mtDNA;owl pellet;Sierra Nevada;Sierra Penalara;Sierra Segura;RABBIT HEMORRHAGIC-DISEASE;BREEDING SUCCESS;SMALL MAMMALS;WILD;RABBIT;FOOD-HABITS;EAGLE OWL;DIET;DNA;SIZE;Genetics & Heredity ER"	Capturing wild animals can be time consuming and difficult or even impractical. Noninvasive sampling is potentially a cost-effective and efficient means to monitor wild animals, thereby avoiding the need of capture and disturb species in the wild. On the basis of the morphological and genetic analyses of owl pellet contents, a so far undetected European snow vole (Chionomys nivalis) population was discovered in the Sierra Segura mountain range (Southern Spain). The mtDNA sequence from the newly discovered haplotype was compared with sequences from vole populations of the Sierra Nevada and Sierra Penalara mountain ranges (Spain) and from Churwalden (Switzerland). The nine recovered haplotypes clustered in four distinct lineages according to their geographical origin. The vole sequence from the Sierra Segura owl pellet belonged to a new haplotype, constituting a new lineage. The evolutionary divergence between sequences from the Sierra Segura and other Spanish populations was higher than that among other Spanish haplotypes. The new snow vole haplotype from this new locality duplicates the number of occurrence sites of this critically endangered species in Southern Spain, which is of great interest for further conservation and management plans of the European snow vole in the most southwestern area of its entire distribution range.	PT: J	 		 	 	 	 				 	1940-1736	 	"[Alasaad, Samer; Jowers, Michael J.; Garrido-Garcia, Jose A.; Soriguer, Ramon C.] CSIC, Estn Biol Donana, Seville 41092, Spain. [Wandeler, Peter] Univ Zurich, Inst Evolutionary Biol & Environm Studies IEU, CH-8057 Zurich, Switzerland. [Alasaad, Samer; Sanchez, Antonio] Univ Jaen, Dept Biol Expt, E-23071 Jaen, Spain. [Fickel, Joerns] Leibniz Inst Zoo & Wildlife Res, Res Grp Evolutionary Genet, D-10315 Berlin, Germany.; Alasaad, S (reprint author), CSIC, Estn Biol Donana, Avda Americo Vespucio S-N, Seville 41092, Spain.; samer@ebd.csic.es"	 	 	 	 	 	 	 	10.3109/19401736.2013.772148	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alvarez-Ortega,Sergio;Pena-Santiago,Reyes"	Nematodes of the order Dorylaimida from Andalucia Oriental, Spain. Nevadanema nevadense gen. n., sp n. (Qudsianematidae) from Sierra Nevada National Park	Nematology	Nematology	2012	 	14	 	249	264	"description;Labronema;molecular;morphology;Nevadanema fimbriatum comb. n.;Nevadanema uniforme comb. n.;new combination;new genus;new species;SEM;taxonomy;LABRONEMA-THORNE;Zoology ER"	Nevadanema nevadense gen. n., sp. n. is described from natural highlands in the south-eastern Iberian Peninsula and is characterised on the basis of morphological, morphometric and molecular (D2/D3-LSU rDNA) data, including SEM study. The new genus is mainly distinguishable by its rounded and offset lip region with amalgamated lips, odontostyle comparatively attenuated, guiding ring double, odontophore rod-like, female genital system amphidelphic, pars refringens vaginae present, and short and rounded tail. It is morphologically close to Labronema, from which it differs in the nature of the lip region and odontostyle. Two species of Labronema, namely L fimbriatum and L. uniforme, are transferred to the new genus.	"PT: J; PN: 2"	 		 	 	 	 				 	1388-5545	 	"[Alvarez-Ortega, Sergio; Pena-Santiago, Reyes] Univ Jaen, Dept Biol Anim Biol Vegetal & Ecol, Jaen 23071, Spain.; Alvarez-Ortega, S (reprint author), Univ Jaen, Dept Biol Anim Biol Vegetal & Ecol, Campus Las Lagunillas S-N,Edificio B3, Jaen 23071, Spain.; saortega@ujaen.es"	 	 	 	 	 	 	 	10.1163/138855411X589309	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
