PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	VALLE F								MAP OF THE VEGETATION SERIES OF THE SIERRA-NEVADA MOUNTAINS SPAIN								Ecologia Mediterranea				11	2-3			183	200					1985	1985										3	0	0	3	0	3			0153-8756			BIOSIS:PREV198630081209		
J	Gusenleitner, J.								Neue Leptochilus-Arten aus dem Mittelmeergebiet und dem Iran (Hymenoptera, Eumenidae).								Entomofauna				6	9			81	101					1985	1985										0	0	0	1	0	1			0250-4413			ZOOREC:ZOOR12200006542		
J	VISERAS, E; CAMACHO, JPM				Camacho, Juan Pedro/L-6869-2014	Camacho, Juan Pedro/0000-0002-2507-9814			THE B-CHROMOSOME SYSTEM OF OMOCESTUS-BOLIVARI - CHANGES IN B-BEHAVIOUR IN M4-POLYSOMIC B-MALES								HEREDITY				54	JUN			385	390		10.1038/hdy.1985.55			1985	1985										6	0	0	5	0	6			0018-067X			WOS:A1985ALA3000015		
J	Traugott-Olsen, E.								Five new Elachista species from Sierra Nevada.								SHILAP Revista de Lepidopterologia				13	1			73	76					1985	1985										2	0	0	2	0	2			0300-5267			ZOOREC:ZOOR12200009707		
J	Traugott-Olsen, E.								Three new Elachista-species & supplement to the description of the five n. sp. from Sierra Nevada: Shilap Revta. Lepid. Vol. 13 no. 49 (1985): 73-79.								SHILAP Revista de Lepidopterologia				13	3			169	174					1985	1985										3	0	0	3	0	4			0300-5267			ZOOREC:ZOOR12200007938		
J	Traugott-Olsen, E.								Una neuva cita de Earias vernana (Huebner 1799) para la peninsula iberica.								SHILAP Revista de Lepidopterologia				13	3			231	231					1985	1985										0	0	0	0	0	0			0300-5267			ZOOREC:ZOOR12200007962		
J	STEINMANN, H								THE DERMAPTERA MATERIAL IN THE MUSEO-CIVICO DI-STORIA-NATURALE-DI-VERONA (ITALY)								ACTA ZOOLOGICA HUNGARICA				30	1-2			189	204					1984	1984										0	0	0	0	0	0			0236-7130			WOS:A1984SZ31600009		
J	Perez-Chiscano, J.L.; de Lope Rebollo, F.								Observaciones ornitologicas en la zona alta de Sierra Nevada.								Alytes (Merida)				2				160	170					1984	1984										0	0	0	0	0	0			0212-7075			ZOOREC:ZOOR12300060425		
J	DELGADO CALVO-FLORES R; ORTEGA BERNALDO DE QUIROS E								EDAPHOCLIMATE OF THE SOUTH-SOUTHEAST PART OF SIERRA-NEVADA SPAIN								Anales de Edafologia y Agrobiologia				43	7-8			987	1018					1984	1984										0	0	0	0	0	0			0365-1797			BIOSIS:PREV198580100290		
J	Zamora, R.; Camacho, I.								Evolucion estacional de la comunidad de aves en un encinar de Sierra Nevada.								Donana Acta Vertebrata				11	1			25	43					1984	1984										2	0	0	1	0	2			0210-5985			ZOOREC:ZOOR12100021520		
